SEZIONE,MUNICIPIO,TOTALE,PECORILLI SONIA,ROCCA FRANCESCO,RINALDI ROSA,BIANCHI DONATELLA,D'AMATO ALESSIO,AFFLUENZA
120,2,368,2,176,2,22,166,0.45544554455445546
121,2,408,4,163,2,27,212,0.44638949671772427
122,2,357,1,174,1,11,170,0.3333333333333333
123,2,475,2,177,0,37,259,0.44642857142857145
124,2,457,5,170,1,30,251,0.43690248565965584
125,2,419,3,219,0,20,177,0.44151738672286617
126,2,385,4,143,1,24,213,0.40398740818467993
127,2,366,1,154,0,13,198,0.44363636363636366
128,2,427,1,160,5,21,240,0.4153696498054475
129,2,328,3,119,2,23,181,0.4034440344403444
130,2,416,4,173,3,32,204,0.42276422764227645
131,2,451,3,188,4,22,234,0.43199233716475094
132,2,396,3,165,1,20,207,0.4168421052631579
133,2,457,2,179,6,37,233,0.4634888438133874
134,2,402,4,132,9,27,230,0.4191866527632951
135,2,383,3,139,2,30,209,0.42793296089385474
136,2,402,1,162,3,20,216,0.4313304721030043
137,2,437,1,207,0,17,212,0.40613382899628253
138,2,482,4,165,6,33,274,0.46124401913875596
139,2,382,2,146,2,25,207,0.40943193997856375
140,2,436,2,150,3,20,261,0.45416666666666666
141,2,435,5,167,3,26,234,0.4206963249516441
142,2,415,3,155,3,28,226,0.4336468129571578
143,2,428,2,182,2,23,219,0.43807574206755373
144,2,458,0,163,3,26,266,0.4071111111111111
145,2,325,2,152,4,21,146,0.33713692946058094
146,2,380,4,190,0,21,165,0.32506415739948674
147,2,465,5,188,0,29,243,0.46222664015904574
148,2,410,5,176,3,36,190,0.43803418803418803
149,2,383,1,163,5,38,176,0.42041712403951703
150,2,452,1,203,4,40,204,0.44011684518013633
151,2,549,7,196,2,39,305,0.47739130434782606
152,2,381,0,159,1,34,187,0.37835153922542203
153,2,395,3,163,3,28,198,0.39738430583501005
154,2,340,4,132,4,26,174,0.4052443384982122
155,2,391,2,164,1,31,193,0.4043433298862461
156,2,419,2,159,3,40,215,0.4284253578732106
157,2,307,4,146,3,21,133,0.3532796317606444
158,2,310,3,135,3,29,140,0.2916274694261524
159,2,364,6,164,1,27,166,0.419838523644752
160,2,360,5,164,3,29,159,0.4044943820224719
161,2,314,2,141,7,24,140,0.4120734908136483
162,2,295,0,100,5,26,164,0.4232424677187948
163,2,298,2,106,2,35,153,0.345707656612529
164,2,308,3,129,5,22,149,0.3769889840881273
165,2,410,2,167,6,41,194,0.4087736789631107
166,2,330,4,110,2,27,187,0.3937947494033413
167,2,343,3,133,4,14,189,0.40211019929660025
168,2,302,5,145,2,17,133,0.38569604086845466
169,2,367,3,147,2,26,189,0.40285400658616904
170,2,479,2,201,6,41,229,0.4601344860710855
171,2,415,3,173,4,21,214,0.4282765737874097
172,2,91,2,37,3,7,42,0.0896551724137931
173,4,335,3,153,4,38,137,0.3621621621621622
174,4,369,2,171,5,44,147,0.43617021276595747
175,4,286,2,126,3,41,114,0.34499396863691195
176,4,271,0,117,5,31,118,0.28829787234042553
177,4,222,3,104,1,33,81,0.2886866059817945
178,4,258,2,119,3,35,99,0.3712230215827338
179,4,295,2,145,5,30,113,0.38562091503267976
180,4,299,2,145,3,27,122,0.3534278959810875
181,4,229,2,105,2,33,87,0.21125461254612546
182,4,167,1,80,1,27,58,0.14509122502172025
183,4,242,2,105,2,37,96,0.3292517006802721
184,4,311,1,139,3,39,129,0.3742478941034898
185,4,426,6,143,6,112,159,0.46864686468646866
186,4,279,1,150,2,53,73,0.3985714285714286
187,4,343,4,181,2,48,108,0.4420103092783505
188,4,261,8,133,2,34,84,0.37073863636363635
189,4,240,1,140,2,25,72,0.3418803418803419
190,4,266,3,160,4,33,66,0.3481675392670157
191,4,283,1,121,5,28,128,0.37683089214380827
192,4,312,2,107,5,73,125,0.2926829268292683
193,4,196,7,97,2,30,60,0.20545073375262055
194,4,190,1,86,2,30,71,0.2289156626506024
195,4,157,3,46,5,20,83,0.13171140939597314
196,4,158,2,56,5,22,73,0.14863593603010347
197,4,223,2,91,1,44,85,0.2941952506596306
198,4,217,8,92,0,36,81,0.2595693779904306
199,4,260,12,83,4,40,121,0.37518037518037517
200,4,301,4,114,8,45,130,0.36047904191616764
201,4,369,3,174,1,55,136,0.38598326359832635
202,4,394,7,150,3,64,170,0.3373287671232877
203,4,388,9,186,3,43,147,0.420824295010846
204,4,298,2,151,8,42,95,0.29244357212953875
205,4,251,3,113,3,41,91,0.3079754601226994
206,4,251,1,109,1,37,103,0.35959885386819485
207,3,363,3,148,5,48,159,0.39200863930885527
208,3,391,5,186,2,33,165,0.42825848849945236
209,3,363,3,143,2,34,181,0.4011049723756906
210,3,354,8,153,1,48,144,0.39730639730639733
211,3,346,3,163,3,31,146,0.3887640449438202
212,3,355,7,143,4,51,150,0.37886872998932764
213,3,348,3,144,6,35,160,0.3858093126385809
214,3,316,2,145,3,32,134,0.32746113989637304
215,3,340,2,140,8,41,149,0.3165735567970205
216,3,370,3,157,2,42,166,0.4039301310043668
217,3,286,0,119,0,35,132,0.3798140770252324
218,3,319,7,162,1,22,127,0.3713620488940629
219,3,349,7,142,4,70,126,0.37246531483457845
220,3,298,4,113,5,29,147,0.30284552845528456
221,3,341,4,137,1,30,169,0.36587982832618027
222,3,407,4,157,0,42,204,0.4005905511811024
223,3,332,5,134,4,24,165,0.3701226309921962
224,3,355,3,165,2,35,150,0.40386803185437997
225,3,437,1,197,7,52,180,0.381993006993007
226,3,460,4,229,4,43,180,0.38917089678510997
227,3,271,1,109,2,40,119,0.2336206896551724
228,3,319,3,140,1,37,138,0.3713620488940629
229,3,332,4,137,2,48,141,0.3742953776775648
230,3,351,4,136,8,47,156,0.36410788381742737
231,3,374,7,146,7,28,186,0.4012875536480687
232,3,309,2,173,2,18,114,0.3568129330254042
233,3,444,1,206,7,34,196,0.4224548049476689
234,3,446,4,188,2,26,226,0.4276126558005753
235,3,417,2,166,5,37,207,0.3986615678776291
236,4,359,1,135,3,35,185,0.4394124847001224
237,4,365,5,143,8,50,159,0.32823741007194246
238,4,402,2,153,6,35,206,0.4594285714285714
239,4,408,3,163,6,46,190,0.4478594950603732
240,4,397,3,149,1,59,185,0.44407158836689037
241,4,273,4,122,3,29,115,0.3313106796116505
242,4,278,4,146,6,30,92,0.3177142857142857
243,4,425,8,175,8,52,182,0.43059777102330293
244,4,440,7,183,4,71,175,0.3907637655417407
245,4,331,1,142,4,46,138,0.36574585635359114
246,4,421,4,93,5,63,256,0.5060096153846154
247,4,364,0,118,6,31,209,0.4879356568364611
248,4,343,6,124,2,45,166,0.34964322120285424
249,4,379,0,133,1,47,198,0.4412107101280559
250,4,360,2,122,3,39,194,0.44226044226044225
251,4,487,6,167,5,62,247,0.5310796074154853
252,4,319,2,129,5,48,135,0.3713620488940629
253,4,119,1,69,2,15,32,0.09070121951219512
254,4,321,4,148,4,45,120,0.3292307692307692
255,4,313,3,145,6,36,123,0.313
256,4,314,2,154,15,29,114,0.3751493428912784
257,4,392,8,170,7,34,173,0.43171806167400884
258,4,302,5,144,9,47,97,0.32127659574468087
259,4,296,5,157,2,53,79,0.24584717607973422
260,4,245,1,156,7,29,52,0.3262316910785619
261,4,225,3,110,1,32,79,0.2880921895006402
262,4,452,6,228,0,63,155,0.4362934362934363
263,4,420,2,171,5,63,179,0.41543026706231456
264,3,258,6,154,1,16,81,0.34081902245706736
265,4,416,7,196,14,60,139,0.44349680170575695
266,4,402,6,209,3,43,141,0.4281150159744409
267,4,396,3,216,2,58,117,0.3811357074109721
268,4,270,4,127,0,37,102,0.29411764705882354
269,4,317,4,144,0,37,132,0.37648456057007124
270,4,338,6,153,4,60,115,0.3599574014909478
271,4,186,5,95,1,32,53,0.19334719334719336
272,4,133,5,67,5,23,33,0.17117117117117117
273,4,181,0,88,7,44,42,0.24896836313617607
274,4,196,3,99,3,35,56,0.18266542404473438
275,4,151,2,73,4,28,44,0.23742138364779874
276,4,154,2,81,2,40,29,0.2329803328290469
277,4,256,4,113,1,41,97,0.3248730964467005
278,4,334,3,165,5,42,119,0.371523915461624
279,4,162,4,96,0,29,33,0.23309352517985613
280,4,129,5,45,7,45,27,0.13915857605177995
281,4,155,0,76,3,37,39,0.1939924906132666
282,4,139,1,79,1,13,45,0.19744318181818182
283,4,173,2,84,1,34,52,0.20425029515938606
284,4,281,8,119,0,57,97,0.32560834298957125
285,3,464,3,194,6,59,202,0.39156118143459917
286,3,340,4,90,3,52,191,0.35639412997903563
287,3,288,2,97,5,45,139,0.3400236127508855
288,3,240,6,92,5,29,108,0.20905923344947736
289,3,341,1,155,2,29,154,0.3969732246798603
290,3,392,1,178,2,31,180,0.3632993512511585
291,3,372,3,197,1,37,134,0.425629290617849
292,3,214,1,88,2,27,96,0.2743589743589744
293,3,300,3,127,1,28,141,0.3856041131105398
294,3,293,5,88,6,36,158,0.3292134831460674
295,3,309,3,107,0,26,173,0.3547646383467279
296,3,326,7,133,1,25,160,0.31316042267050914
297,3,311,5,133,3,32,138,0.38875
298,3,376,1,148,9,24,194,0.4530120481927711
299,3,248,3,93,3,30,119,0.24124513618677043
300,3,355,5,144,0,29,177,0.41375291375291373
301,3,323,1,141,3,24,154,0.3295918367346939
302,3,344,3,132,7,31,171,0.4496732026143791
303,3,257,1,106,5,23,122,0.2725344644750795
304,3,269,3,105,3,32,126,0.3012318029115342
305,3,274,2,96,3,40,133,0.29653679653679654
306,3,250,7,111,1,26,105,0.27839643652561247
307,3,235,5,105,3,25,97,0.240532241555783
308,3,333,2,119,7,29,176,0.41263940520446096
309,3,393,2,160,3,23,205,0.42258064516129035
310,3,491,11,168,3,63,246,0.47996089931573804
311,10,390,7,220,1,41,121,0.293896006028636
312,3,339,4,148,3,32,152,0.38522727272727275
313,3,256,4,119,4,30,99,0.31683168316831684
314,10,386,4,231,1,51,99,0.3095429029671211
315,3,281,2,109,5,32,133,0.3160854893138358
316,3,282,5,102,7,39,129,0.3122923588039867
317,3,296,3,127,7,38,121,0.31092436974789917
318,3,289,6,96,7,35,145,0.3894878706199461
319,3,159,1,92,1,23,42,0.1678986272439282
320,3,153,6,69,2,22,54,0.1696230598669623
321,3,109,2,62,1,14,30,0.12442922374429223
322,3,135,0,86,2,11,36,0.13353115727002968
323,3,264,3,143,4,19,95,0.3354510800508259
324,3,261,2,154,2,37,66,0.3522267206477733
325,3,200,1,113,5,29,52,0.291970802919708
326,3,200,3,101,1,40,55,0.29411764705882354
327,3,212,5,115,6,24,62,0.2965034965034965
328,3,302,6,157,1,42,96,0.326133909287257
329,3,332,7,146,3,45,131,0.37599093997734995
330,3,371,2,156,7,48,158,0.3594961240310077
331,3,390,3,187,7,52,141,0.37900874635568516
332,3,299,5,159,2,43,90,0.29285014691478944
333,3,284,3,177,2,36,66,0.28600201409869086
334,3,312,3,167,6,39,97,0.3365695792880259
335,3,333,2,185,3,49,94,0.3454356846473029
336,3,281,4,181,1,28,67,0.3426829268292683
337,3,325,3,172,4,47,99,0.30893536121673004
338,3,277,4,162,2,36,73,0.34239802224969096
339,3,383,3,198,2,65,115,0.34598012646793136
340,3,222,1,88,1,45,87,0.3126760563380282
341,3,213,4,144,0,29,36,0.3328125
342,3,346,1,196,2,41,106,0.4357682619647355
343,3,318,5,125,5,42,141,0.4135240572171652
344,3,293,4,137,2,40,110,0.36716791979949875
345,3,344,4,145,2,39,154,0.4246913580246914
346,3,260,7,105,4,45,99,0.2495201535508637
347,3,363,1,122,0,37,203,0.44594594594594594
348,3,398,4,126,8,34,226,0.45537757437070936
349,3,386,6,163,6,51,160,0.44988344988344986
350,3,150,0,82,2,22,44,0.22865853658536586
351,3,402,1,186,7,53,155,0.3684692942254812
352,3,379,0,184,0,50,145,0.3847715736040609
353,3,294,3,138,2,41,110,0.35507246376811596
354,3,178,3,95,1,19,60,0.19755826859045506
355,3,311,3,156,3,46,103,0.3294491525423729
356,3,181,1,119,0,14,47,0.1586327782646801
357,3,308,6,179,1,33,89,0.2539159109645507
358,3,398,2,226,6,59,105,0.33671742808798644
359,3,257,1,153,2,38,63,0.31650246305418717
360,3,335,5,193,2,33,102,0.2907986111111111
361,3,316,1,164,2,31,118,0.31758793969849247
362,3,326,5,166,6,51,98,0.32796780684104626
363,3,325,5,161,3,36,120,0.26926263463131733
364,3,248,5,114,4,29,96,0.3229166666666667
365,3,443,6,203,12,52,170,0.38791593695271454
366,3,383,3,154,2,61,163,0.3316017316017316
367,3,337,5,157,5,39,131,0.39740566037735847
368,3,197,8,97,2,18,72,0.25485122897800777
369,3,195,2,98,1,30,64,0.2291421856639248
370,3,213,3,144,0,18,48,0.32370820668693007
371,3,173,4,103,4,26,36,0.25441176470588234
372,3,296,0,173,7,32,84,0.354916067146283
373,3,394,2,217,2,65,108,0.33474936278674594
374,3,340,6,171,1,48,114,0.31865042174320524
375,3,257,2,143,2,35,75,0.24406457739791074
376,4,337,1,237,1,32,66,0.35965848452508004
377,4,368,4,158,13,55,138,0.37627811860940696
378,4,372,4,162,7,46,153,0.27802690582959644
379,4,413,2,169,10,68,164,0.397497593840231
380,4,484,5,227,5,77,170,0.3903225806451613
381,4,232,8,115,2,37,70,0.31266846361185985
382,4,226,3,105,0,46,72,0.1905564924114671
383,4,259,5,113,2,47,92,0.3390052356020942
384,4,296,3,168,1,44,80,0.3238512035010941
385,4,402,3,200,1,76,122,0.32896890343698854
386,4,201,0,91,4,37,69,0.24482338611449453
387,4,266,1,155,1,40,69,0.2797055730809674
388,4,288,1,161,3,52,71,0.30605738575983
389,4,384,3,218,0,47,116,0.3221476510067114
390,4,379,3,213,2,56,105,0.3480257116620753
391,2,337,5,93,7,38,194,0.42820838627700125
392,2,173,8,57,0,16,92,0.1679611650485437
393,2,261,5,68,10,31,147,0.40717628705148207
394,2,201,6,55,8,29,103,0.2235817575083426
395,2,195,4,49,10,30,102,0.32231404958677684
396,2,225,4,36,9,31,145,0.28589580686149935
397,2,282,11,64,8,45,154,0.3592356687898089
398,2,170,1,69,2,25,73,0.27287319422150885
399,2,210,5,46,14,22,123,0.20114942528735633
400,2,240,5,65,13,29,128,0.3057324840764331
401,2,237,5,71,7,34,120,0.3521545319465082
402,4,408,5,177,5,73,148,0.27906976744186046
403,4,266,5,115,6,44,96,0.38
404,4,315,10,159,4,35,107,0.3620689655172414
405,4,271,3,138,3,41,86,0.3849431818181818
406,4,314,1,160,2,34,117,0.41153342070773263
407,4,413,6,173,8,37,189,0.38562091503267976
408,4,198,3,91,5,23,76,0.2907488986784141
409,4,226,3,127,0,25,71,0.19876868953386104
410,4,251,3,113,7,39,89,0.30609756097560975
411,4,312,2,136,1,45,128,0.33440514469453375
412,5,333,4,134,4,55,136,0.3588362068965517
413,5,213,4,54,7,34,114,0.2759067357512953
414,5,227,1,80,7,33,106,0.18455284552845527
415,5,374,3,118,20,60,173,0.35789473684210527
416,5,257,4,86,8,29,130,0.2817982456140351
417,5,248,5,78,8,39,118,0.2786516853932584
418,5,297,5,93,4,49,146,0.3535714285714286
419,5,366,3,129,15,59,160,0.3978260869565217
420,5,321,5,139,6,36,135,0.4099616858237548
421,5,287,4,122,5,37,119,0.36889460154241643
422,5,301,7,113,9,42,130,0.36797066014669927
423,5,278,3,123,6,32,114,0.351010101010101
424,5,323,10,134,3,40,136,0.3987654320987654
425,5,318,6,139,5,43,125,0.3672055427251732
426,5,307,5,144,6,26,126,0.29863813229571984
427,5,336,3,124,4,40,165,0.4097560975609756
428,5,343,11,166,3,40,123,0.4292866082603254
429,5,310,1,130,4,43,132,0.3808353808353808
430,5,342,3,111,10,57,161,0.37093275488069416
431,5,335,0,163,5,30,137,0.41409147095179233
432,5,313,9,126,4,46,128,0.375750300120048
433,5,331,8,147,5,58,113,0.402187120291616
434,5,331,3,161,1,55,111,0.38443670150987225
435,5,274,10,116,3,35,110,0.4114114114114114
436,5,311,2,123,5,40,141,0.3926767676767677
437,5,328,8,143,3,43,131,0.3966142684401451
438,5,372,6,169,1,43,153,0.45145631067961167
439,5,277,1,119,5,31,121,0.36351706036745407
440,5,322,3,155,3,37,124,0.368
441,5,298,1,121,4,44,128,0.3378684807256236
442,5,285,5,79,4,46,151,0.31986531986531985
443,5,260,5,84,12,37,122,0.3058823529411765
444,5,313,5,126,5,48,129,0.31841302136317395
445,5,310,2,133,2,26,147,0.3651354534746761
446,5,206,4,64,4,35,99,0.2682291666666667
447,5,269,3,105,4,47,110,0.277319587628866
448,5,155,6,52,8,23,66,0.1333907056798623
449,4,214,3,105,3,40,63,0.2830687830687831
450,5,313,6,137,8,48,114,0.328781512605042
451,5,285,3,123,4,29,126,0.3191489361702128
452,5,254,3,127,5,27,92,0.2319634703196347
453,5,221,3,94,3,20,101,0.23068893528183715
454,5,294,4,111,8,40,131,0.336
455,5,320,6,159,1,39,115,0.40973111395646605
456,5,270,3,134,3,39,91,0.35340314136125656
457,5,296,6,110,6,51,123,0.4289855072463768
458,5,360,4,163,3,47,143,0.43636363636363634
459,5,315,6,134,5,48,122,0.38414634146341464
460,5,337,4,151,3,57,122,0.43205128205128207
461,5,250,5,109,4,34,98,0.34916201117318435
462,5,310,0,128,5,45,132,0.36729857819905215
463,5,325,2,160,9,51,103,0.3607103218645949
464,5,318,1,137,6,33,141,0.4020227560050569
465,5,324,2,156,1,46,119,0.393681652490887
466,5,235,3,97,6,47,82,0.26765375854214124
467,5,361,1,182,1,48,129,0.3949671772428884
468,5,324,2,142,6,59,115,0.390832328106152
469,5,323,5,158,4,32,124,0.3641488162344983
470,5,259,7,122,3,46,81,0.3490566037735849
471,5,245,3,99,5,25,113,0.22940074906367042
472,5,297,1,131,5,29,131,0.495
473,5,257,4,117,2,36,98,0.2971098265895954
474,5,268,6,82,5,36,139,0.24930232558139534
475,5,467,7,173,5,67,215,0.44903846153846155
476,5,191,0,101,4,13,73,0.17867165575304023
477,6,257,3,124,0,60,70,0.23215898825654924
478,5,339,4,113,2,53,167,0.3
479,5,251,0,116,2,19,114,0.21289228159457166
480,5,285,7,127,4,39,108,0.37898936170212766
481,5,277,1,132,7,41,96,0.369826435246996
482,5,226,1,100,5,27,93,0.3476923076923077
483,5,294,1,121,5,45,122,0.3788659793814433
484,5,298,5,147,3,44,99,0.35182998819362454
485,5,259,4,104,2,42,107,0.3453333333333333
486,5,255,3,98,2,41,111,0.22039757994814174
487,5,240,3,109,7,41,80,0.3007518796992481
488,5,237,4,102,4,38,89,0.3185483870967742
489,5,194,6,86,9,24,69,0.2952815829528158
490,5,152,2,63,5,33,49,0.1384335154826958
491,6,370,4,204,3,57,102,0.2904238618524333
492,5,354,7,147,6,59,135,0.346718903036239
493,5,272,4,139,6,33,90,0.3087400681044268
494,5,319,3,131,6,39,140,0.3281893004115226
495,5,283,1,147,3,36,96,0.32792584009269987
496,5,352,3,153,11,53,132,0.37130801687763715
497,5,396,2,191,3,60,140,0.37183098591549296
498,6,323,5,164,6,47,101,0.30018587360594795
499,5,231,6,111,1,26,87,0.308
500,5,287,8,115,5,48,111,0.3412604042806183
501,5,238,4,120,4,37,73,0.30395913154533843
502,5,293,0,131,9,38,115,0.3455188679245283
503,5,348,3,187,13,33,112,0.4218181818181818
504,5,258,0,103,4,39,112,0.32950191570881227
505,5,320,10,133,4,70,103,0.36322360953461974
506,5,242,3,130,4,33,72,0.3201058201058201
507,5,222,2,104,2,31,83,0.21223709369024857
508,5,300,3,136,8,35,118,0.33112582781456956
509,5,344,6,138,8,46,146,0.36020942408376966
510,6,219,4,127,3,38,47,0.26417370325693607
511,5,307,7,153,1,35,111,0.3228180862250263
512,6,334,3,193,0,46,92,0.2702265372168285
513,11,264,3,135,2,39,85,0.1981981981981982
514,5,259,1,140,3,33,82,0.2949886104783599
515,6,320,7,185,2,51,75,0.26622296173044924
516,5,262,3,110,1,47,101,0.3137724550898204
517,5,175,3,67,4,34,67,0.21875
518,5,158,1,70,3,20,64,0.1943419434194342
519,6,257,2,167,3,31,54,0.24018691588785046
520,5,280,2,139,8,37,94,0.31496062992125984
521,6,295,1,172,3,49,70,0.23809523809523808
522,5,285,3,133,8,39,102,0.3302433371958285
523,6,180,1,104,1,17,57,0.14274385408406026
524,5,292,2,133,7,39,111,0.31808278867102396
525,5,237,2,103,2,30,100,0.3030690537084399
526,5,263,3,125,3,43,89,0.3267080745341615
527,5,268,4,125,4,47,88,0.3414012738853503
528,5,246,3,122,5,27,89,0.2963855421686747
529,5,305,2,135,4,46,118,0.370595382746051
530,5,177,2,93,4,37,41,0.27613104524180965
531,5,311,5,130,10,60,106,0.31162324649298595
532,5,275,12,113,7,42,101,0.2843846949327818
533,5,292,5,141,9,38,99,0.27625354777672656
534,6,334,3,200,5,43,83,0.31568998109640833
535,5,275,5,115,2,33,120,0.3055555555555556
536,5,330,3,146,1,48,132,0.3154875717017208
537,4,264,4,157,1,31,71,0.358695652173913
538,4,277,6,138,9,27,97,0.2466607301869991
539,4,335,0,198,2,38,97,0.4256670902160102
540,4,268,5,135,6,21,101,0.29646017699115046
541,4,320,2,172,4,37,105,0.38929440389294406
542,4,262,4,107,1,43,107,0.24103035878564857
543,4,237,4,99,3,43,88,0.32825484764542934
544,4,210,4,97,2,28,79,0.30390738060781475
545,4,303,3,127,3,34,136,0.37969924812030076
546,4,363,4,156,8,39,156,0.40878378378378377
547,4,254,2,132,1,28,91,0.2690677966101695
548,4,302,2,139,2,38,121,0.3723797780517879
549,4,255,3,113,4,30,105,0.3269230769230769
550,4,194,1,107,0,32,54,0.2840409956076135
551,4,205,3,109,12,29,52,0.28314917127071826
552,4,317,10,156,0,35,116,0.30776699029126214
