REVOLUZIONE CIVICA
LISTA CIVICA GUALTIERI SINDACO
SINISTRA CIVICA ECOLOGISTA
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
PD PARTITO DEMOCRATICO
DEMOS DEMOCRAZIA SOLIDALE
RICONQUISTARE L'ITALIA
LISTA CIVICA VIRGINIA RAGGI
MOVIMENTO CINQUE STELLE 2050
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE
LISTA CIVICA MICHETTI SINDACO
GIORGIA MELONI FRATELLI D'ITALIA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
LEGA SALVINI PREMIER
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
CALENDA SINDACO
MPL MOVIMENTO POLITICO LIBERTAS
PARTITO COMUNISTA MARCO RIZZO
