SEZIONE,MASSIMILIANO UMBERTI,ROBERTO SANTORO,TOTALE,AFFLUENZA,MUNICIPIO
539,181.0,211.0,392.0,0.48756218905472637,4
540,187.0,132.0,319.0,0.46098265895953755,4
541,179.0,161.0,340.0,0.4885057471264368,4
542,185.0,122.0,307.0,0.4514705882352941,4
543,178.0,95.0,273.0,0.35732984293193715,4
544,159.0,95.0,254.0,0.3659942363112392,4
545,228.0,143.0,371.0,0.4614427860696517,4
546,253.0,158.0,411.0,0.4735023041474654,4
547,189.0,120.0,309.0,0.42445054945054944,4
548,185.0,164.0,349.0,0.42665036674816625,4
549,203.0,134.0,337.0,0.4985207100591716,4
550,117.0,139.0,256.0,0.3550624133148405,4
551,123.0,117.0,240.0,0.38095238095238093,4
552,175.0,184.0,359.0,0.3971238938053097,4
553,149.0,143.0,292.0,0.34638196915776986,4
554,175.0,163.0,338.0,0.4604904632152589,4
555,152.0,123.0,275.0,0.33292978208232443,4
556,318.0,114.0,432.0,0.484304932735426,4
557,185.0,131.0,316.0,0.4087968952134541,4
558,258.0,118.0,376.0,0.5020026702269693,4
559,222.0,104.0,326.0,0.4387617765814266,4
560,212.0,100.0,312.0,0.5360824742268041,4
561,293.0,163.0,456.0,0.4779874213836478,4
562,271.0,202.0,473.0,0.49270833333333336,4
563,297.0,200.0,497.0,0.46448598130841123,4
564,150.0,146.0,296.0,0.3274336283185841,4
565,127.0,97.0,224.0,0.32,4
566,131.0,143.0,274.0,0.3242603550295858,4
567,175.0,158.0,333.0,0.378839590443686,4
568,357.0,186.0,543.0,0.5032437442075997,4
569,170.0,92.0,262.0,0.3266832917705736,4
570,147.0,93.0,240.0,0.33707865168539325,4
571,229.0,126.0,355.0,0.4856361149110807,4
572,280.0,145.0,425.0,0.48350398179749715,4
573,234.0,172.0,406.0,0.5615491009681881,4
574,286.0,89.0,375.0,0.6019261637239165,4
575,253.0,130.0,383.0,0.5432624113475177,4
576,252.0,166.0,418.0,0.5345268542199488,4
644,251.0,143.0,394.0,0.5123537061118335,4
645,318.0,165.0,483.0,0.5255712731229597,4
646,260.0,144.0,404.0,0.44739756367663347,4
647,270.0,143.0,413.0,0.5294871794871795,4
648,323.0,146.0,469.0,0.4875259875259875,4
649,317.0,112.0,429.0,0.5137724550898204,4
650,249.0,139.0,388.0,0.5480225988700564,4
651,387.0,146.0,533.0,0.5755939524838013,4
652,333.0,174.0,507.0,0.527027027027027,4
653,276.0,117.0,393.0,0.5574468085106383,4
654,274.0,141.0,415.0,0.538961038961039,4
655,193.0,212.0,405.0,0.31839622641509435,4
656,115.0,145.0,260.0,0.29579067121729236,4
2301,165.0,168.0,333.0,0.6403846153846153,4
2350,188.0,123.0,311.0,0.426027397260274,4
2520,239.0,214.0,453.0,0.5348288075560803,4
2523,217.0,157.0,374.0,0.4245175936435868,4
2572,10.0,11.0,21.0,,4
