SEZIONE,CANDIDATO,PREFERENZE,LISTA,MUNICIPIO
173,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
174,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
175,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
176,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
177,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
178,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
179,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
180,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
181,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
182,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
183,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
184,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
185,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
186,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
187,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
188,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
189,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
190,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
191,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
192,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
193,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
194,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
195,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
196,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
197,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
198,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
199,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
200,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
201,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
202,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
203,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
204,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
205,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
206,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
236,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
237,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
238,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
239,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
240,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
241,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
242,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
243,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
244,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
245,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
246,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
247,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
248,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
249,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
250,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
251,MARZIA COLITTI,0.0,RICONQUISTARE L'ITALIA,4
173,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
174,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
175,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
176,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
177,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
178,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
179,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
180,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
181,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
182,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
183,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
184,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
185,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
186,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
187,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
188,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
189,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
190,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
191,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
192,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
193,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
194,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
195,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
196,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
197,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
198,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
199,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
200,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
201,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
202,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
203,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
204,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
205,MICHELAFULVIA BLANDO,0.0,RICONQUISTARE L'ITALIA,4
