PARTITO COMUNISTA MARCO RIZZO
ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD
LIBERISTI ITALIANI
MOVIMENTO STORICO ROMANO LISTA NERONE
RICONQUISTARE L'ITALIA
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE
LISTA CIVICA VIRGINIA RAGGI
MOVIMENTO CINQUE STELLE 2050
CALENDA SINDACO
REVOLUZIONE CIVICA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
LISTA CIVICA MICHETTI SINDACO
LEGA SALVINI PREMIER
GIORGIA MELONI FRATELLI D'ITALIA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
DEMOS DEMOCRAZIA SOLIDALE
LISTA CIVICA GUALTIERI SINDACO
SINISTRA CIVICA ECOLOGISTA
PD PARTITO DEMOCRATICO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
POTERE AL POPOLO
