ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD
LISTA CIVICA GUALTIERI SINDACO
PD PARTITO DEMOCRATICO
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
SINISTRA CIVICA ECOLOGISTA
DEMOS DEMOCRAZIA SOLIDALE
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
REVOLUZIONE CIVICA
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE
RICONQUISTARE L'ITALIA
LIBERISTI ITALIANI
PARTITO COMUNISTA MARCO RIZZO
LEGA SALVINI PREMIER
GIORGIA MELONI FRATELLI D'ITALIA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
LISTA CIVICA MICHETTI SINDACO
CALENDA SINDACO
NOI X IL 9 MUNICIPIO
LISTA CIVICA VIRGINIA RAGGI
MOVIMENTO CINQUE STELLE 2050
