LISTA,CANDIDATO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,DOMENICO ANELLI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,MASSIMO ANTICOLI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,VIRGINIA CUCURACHI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RAFFAELE D'AMBROSIO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,DANIELE DAMIANI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,CHIARA DE MICHELI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,STEFANIA D'ERAMO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,BERARDINO DI CANIO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LUCIA FANFARILLO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,DEBORAH FIORI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ANNA MARIA MASSETTI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,DANIELE MICELLI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LUCIA MICELLI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,TIZIANO MICHELESSI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,GIOVANNI PAPA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,SALVATORE RIZZATO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ROMILDA SALVATI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ANGELO SCATOLINI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RINA GUADALUPE SILVA OVIEDO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ROBERTO SOPRANZI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LORENZO TUCCI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,FRANCESCO VALENTINI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,FRANCO ZOCCHI
LEGA SALVINI PREMIER,EMILIANO CORSI
LEGA SALVINI PREMIER,GIUSEPPINA GUADAGNO
LEGA SALVINI PREMIER,ANTONIO ACCOLLA
LEGA SALVINI PREMIER,DONATELLA BAGLI
LEGA SALVINI PREMIER,MASSIMO BORRACCINI
LEGA SALVINI PREMIER,MARTA BOTTICCHIO
LEGA SALVINI PREMIER,ANGELO CALLOCCHIA
LEGA SALVINI PREMIER,GAETANO CURI
LEGA SALVINI PREMIER,LUIGI DE RUBEIS
LEGA SALVINI PREMIER,MANUELA FABI
LEGA SALVINI PREMIER,MONICA FERDINANDI
LEGA SALVINI PREMIER,DOMENICO FILARDO
LEGA SALVINI PREMIER,RAMONA FIORILLI
LEGA SALVINI PREMIER,SERGIO FRUCI
LEGA SALVINI PREMIER,SIMONETTA GIAGNOLI
LEGA SALVINI PREMIER,PIERPAOLO LAURETTI
LEGA SALVINI PREMIER,TANIA LITTA
LEGA SALVINI PREMIER,CATIA MALDERA
LEGA SALVINI PREMIER,MAURO MAROCCHINI
LEGA SALVINI PREMIER,LUCA MUSCATELLO
LEGA SALVINI PREMIER,PAOLO PICCIRILLI
LEGA SALVINI PREMIER,ORIETTA PROIETTI
LEGA SALVINI PREMIER,GIULIA RUSSO
LEGA SALVINI PREMIER,TERESA TODISCO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,CLAUDIO BITTAU
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,VALENTINA BONANNI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LUCIA BUCCIARELLI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ALESSANDRO CESARETTI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,AMEDEO CURATOLO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,FABIANO DE VELLIS
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ORAZIO DELL'AVERSANO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ADEL ANTONIO FAHIM
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ANDRZEJ KRZYSZTOF KRZTON
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,FABIOLA LOMBARDI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,MARIA ANGELA MATAROZZO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,VALTER MUSU
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,VERONICA PAVIA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,MAURIZIO POMPONI
