LISTA,CANDIDATO
LISTA CIVICA GUALTIERI SINDACO,ROBERTO BAIOCCHI
LISTA CIVICA GUALTIERI SINDACO,GIULIA MARROCCHINI
LISTA CIVICA GUALTIERI SINDACO,EDMIR BINOSHAJ
LISTA CIVICA GUALTIERI SINDACO,ALESSANDRA BAILETTI
LISTA CIVICA GUALTIERI SINDACO,MASSIMILIANO BEZZI
LISTA CIVICA GUALTIERI SINDACO,FABIO CANALE
LISTA CIVICA GUALTIERI SINDACO,PRISCILLA DENISE CASSIOLI
LISTA CIVICA GUALTIERI SINDACO,MARIO CONGI
LISTA CIVICA GUALTIERI SINDACO,CRISTIAN DAMIANI
LISTA CIVICA GUALTIERI SINDACO,ARIANNA DENTE
LISTA CIVICA GUALTIERI SINDACO,VALERIO DI GIACOMO
LISTA CIVICA GUALTIERI SINDACO,NICOLA MARRO
LISTA CIVICA GUALTIERI SINDACO,EMANUELA MASTROPIETRO
LISTA CIVICA GUALTIERI SINDACO,GIACOMO MONTEFALCONE
LISTA CIVICA GUALTIERI SINDACO,BIANCA MARIA MORI
LISTA CIVICA GUALTIERI SINDACO,MARCO ROSSI
LISTA CIVICA GUALTIERI SINDACO,MATILDE SALVUCCI
LISTA CIVICA GUALTIERI SINDACO,MASSIMO SBARDELLA
LISTA CIVICA GUALTIERI SINDACO,EMANUELE SBRAGA
LISTA CIVICA GUALTIERI SINDACO,ANTONIO SOTILLO
LISTA CIVICA GUALTIERI SINDACO,PATRIZIA SUBISSI
PD PARTITO DEMOCRATICO,MANUEL GAGLIARDI
PD PARTITO DEMOCRATICO,PATRIZIA DE VIVO
PD PARTITO DEMOCRATICO,LORENZO ANGELINI
PD PARTITO DEMOCRATICO,LUDOVICA TRANQUILLI
PD PARTITO DEMOCRATICO,LUCA BEDONI
PD PARTITO DEMOCRATICO,ANDREA CARDELLI
PD PARTITO DEMOCRATICO,FABIO ECCA
PD PARTITO DEMOCRATICO,MARCO BERGONZOLI
PD PARTITO DEMOCRATICO,PAOLA RIPANI
PD PARTITO DEMOCRATICO,VALERIA ACAMPORA
PD PARTITO DEMOCRATICO,GIORGIO BARTOLELLI
PD PARTITO DEMOCRATICO,ADRIANO BURGIO
PD PARTITO DEMOCRATICO,FEDERICO CACCIATORI
PD PARTITO DEMOCRATICO,MASSIMILIANO GAROFALO
PD PARTITO DEMOCRATICO,STEFANO GIACCIO
PD PARTITO DEMOCRATICO,GIUSEPPE GRAZIOLI
PD PARTITO DEMOCRATICO,VALENTINA GUANTI
PD PARTITO DEMOCRATICO,GIULIO PIERANNUNZIO
PD PARTITO DEMOCRATICO,CLAUDIA POGGI
PD PARTITO DEMOCRATICO,RICCARDO POMPONI
PD PARTITO DEMOCRATICO,PAOLA VACCARI
PD PARTITO DEMOCRATICO,FRANCESCA ROMANA VECCHIO
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,DARIO CURTI
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,LILIANA CARTA
