LISTA,CANDIDATO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,EMANUEL AMBROSINI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,FRANCESCA BROGI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ANTONIO COLLABOLLETTA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ALESSANDRA CORRADINI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,NICOLA CRAMAROSSA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ETTORE DE VITO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,DIEGO FALCONE
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,EMANUELA GUTTORIELLO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIAMPIERO LEONARDI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,MAURIZIO LOMBARDI LEONARDI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,MARIA LUISA LO MONTE
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,MARIA ANGELA MATAROZZO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,FRANCESCA PETRUNGARO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ANTONELLA PONZIANI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,CRISTIANA REVERBERI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,FRANCESCA SMURRA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,DANIELE SOLA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LUCA ZANETTI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,SHADIA ZAPPI ABU DIAB
GIORGIA MELONI FRATELLI D'ITALIA,MAURIZIO BUONINCONTRO
GIORGIA MELONI FRATELLI D'ITALIA,FRANCO FEDERICI
GIORGIA MELONI FRATELLI D'ITALIA,LORENZO MEVI
GIORGIA MELONI FRATELLI D'ITALIA,ANDREA ANTONUCCI
GIORGIA MELONI FRATELLI D'ITALIA,NAUSICA CANGINI
GIORGIA MELONI FRATELLI D'ITALIA,CATERINA CARRAZZA
GIORGIA MELONI FRATELLI D'ITALIA,CLAUDIO CAU
GIORGIA MELONI FRATELLI D'ITALIA,CLAUDIA CESARONE
GIORGIA MELONI FRATELLI D'ITALIA,FABRIZIO CHIODI
GIORGIA MELONI FRATELLI D'ITALIA,NADIA VALERIA CONTINO
GIORGIA MELONI FRATELLI D'ITALIA,LUIGI DELL'ORCO
GIORGIA MELONI FRATELLI D'ITALIA,LUCIA DISTANTE
GIORGIA MELONI FRATELLI D'ITALIA,VALENTINA DONNINI
GIORGIA MELONI FRATELLI D'ITALIA,STEFANO DURANTE
GIORGIA MELONI FRATELLI D'ITALIA,MARCO FERDINANDI
GIORGIA MELONI FRATELLI D'ITALIA,ROBERTO GABINO
GIORGIA MELONI FRATELLI D'ITALIA,LUIGI GALLO
GIORGIA MELONI FRATELLI D'ITALIA,BARBARA GIOVANNINI
GIORGIA MELONI FRATELLI D'ITALIA,CATERINA GRILLONE
GIORGIA MELONI FRATELLI D'ITALIA,MARCO MARINI
GIORGIA MELONI FRATELLI D'ITALIA,VITTORIO PALAMENGHI
GIORGIA MELONI FRATELLI D'ITALIA,VANDA SORANNA
GIORGIA MELONI FRATELLI D'ITALIA,SABRINA VICINO
GIORGIA MELONI FRATELLI D'ITALIA,FRANCO ZAPPI
LEGA SALVINI PREMIER,CECILIA DI FEDE
LEGA SALVINI PREMIER,VITTORINA BRUNI
LEGA SALVINI PREMIER,CRISTIANO BERNABEI
LEGA SALVINI PREMIER,DANIELE BORGHESI
LEGA SALVINI PREMIER,MONICA CASSETTA
LEGA SALVINI PREMIER,VALERIO CIANCIULLI
LEGA SALVINI PREMIER,GUIDO COSTANTINI
LEGA SALVINI PREMIER,FRANCESCA ROMANA CRISTICINI
LEGA SALVINI PREMIER,LORENZO DE ANGELO
LEGA SALVINI PREMIER,SABRINA FERRANTE
LEGA SALVINI PREMIER,SILVIA GIULIANI
LEGA SALVINI PREMIER,VINCENZA GUARINO
LEGA SALVINI PREMIER,ANDREA LA LICATA
LEGA SALVINI PREMIER,FABIO MARCOVALDI
LEGA SALVINI PREMIER,MASSIMO MATTEOLI
LEGA SALVINI PREMIER,MAURO MONACO
LEGA SALVINI PREMIER,BARBARA PENNACCHIOTTI
LEGA SALVINI PREMIER,SALVATORE PRINCIOTTA
LEGA SALVINI PREMIER,MATTEO RANUCCI
LEGA SALVINI PREMIER,FLAVIA RENZULLI
LEGA SALVINI PREMIER,CESARE RICCHIUTO
LEGA SALVINI PREMIER,CRISTIAN RISA
LEGA SALVINI PREMIER,CARMELA RUSSO
LEGA SALVINI PREMIER,PIERO TERRACINA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,FABIO ASCANI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,PAOLO BARBATO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ROBERTO BERGAMINI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,SALVATORE BINANTI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,GERARDO CASARELLI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,MARCELLO CAVALLO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,MARIA GRAZIA CICCIOLI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,CRINA NICULINA CUIBUS
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,MASSIMO DE SIBI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,FRANCESCA DI MARTINO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,SIMONE DI PIETRO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ENRICO ELISEO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,VALENTINA FABIANI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ALESSIO FERRAZZOLI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,BARBARA GRANDE
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ALESSANDRA IMPERIALI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ELOISA MUSTAFA'
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ALESSANDRO LUCA PARRINI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,SERENA PICCARDI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,WANDA ROSSI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,FRANCA DANIELA ROSSI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,MARCO SCORDO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,AUGUSTA VALLILLO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,CARLO VITELLI
PARTITO COMUNISTA MARCO RIZZO,ANDREA ZEPPIERI
PARTITO COMUNISTA MARCO RIZZO,MASSIMO AMBROSINI
PARTITO COMUNISTA MARCO RIZZO,PASQUALE BELMONTE
PARTITO COMUNISTA MARCO RIZZO,ALESSANDRO BERARDI
PARTITO COMUNISTA MARCO RIZZO,ROMINA BETTI
PARTITO COMUNISTA MARCO RIZZO,CARMELO BONSIGNORE
PARTITO COMUNISTA MARCO RIZZO,VITTORIO CLEMENTI
PARTITO COMUNISTA MARCO RIZZO,PIETRO FIOCCHI
PARTITO COMUNISTA MARCO RIZZO,DAMIANO GRISPO
PARTITO COMUNISTA MARCO RIZZO,LAURA LAURENTINI
PARTITO COMUNISTA MARCO RIZZO,GABRIELLA MAZZULLO
PARTITO COMUNISTA MARCO RIZZO,SILVIA MINISCALCO
PARTITO COMUNISTA MARCO RIZZO,CLAUDIA MOLLICA
PARTITO COMUNISTA MARCO RIZZO,FABIO PETRA
PARTITO COMUNISTA MARCO RIZZO,LUIGI PATRIGNANI
PARTITO COMUNISTA MARCO RIZZO,DONATELLA PROIETTI
PARTITO COMUNISTA MARCO RIZZO,RENATO RAPINO
PARTITO COMUNISTA MARCO RIZZO,BRUNO ZANNI
REVOLUZIONE CIVICA,DANIELE BIANCHI
REVOLUZIONE CIVICA,BARBARA GORELLO
REVOLUZIONE CIVICA,MAURO COPPOLA
REVOLUZIONE CIVICA,VISSIA LOZZI
REVOLUZIONE CIVICA,FILOMENA CELIO
REVOLUZIONE CIVICA,RAFFAELLA GRANCINI
REVOLUZIONE CIVICA,CHRISTIAN LAURI
REVOLUZIONE CIVICA,FRANCESCA TRAETTA
REVOLUZIONE CIVICA,STEFANO ANTONELLI
REVOLUZIONE CIVICA,ALDO LANZA
REVOLUZIONE CIVICA,MIRKO CHIAPPERINO
REVOLUZIONE CIVICA,NIDIA YADIRA DI MARCO MALATESTA
REVOLUZIONE CIVICA,ANDREA BORIONI
REVOLUZIONE CIVICA,GIOVANNINA GENTILE
REVOLUZIONE CIVICA,LUCA SALVIO
REVOLUZIONE CIVICA,EMILIO STURLA FURNO'
REVOLUZIONE CIVICA,FABIO VIDETTA
REVOLUZIONE CIVICA,ANDREA BENEDETTI
POTERE AL POPOLO,VALENTINA MEROLLA
POTERE AL POPOLO,LAURA CARBONARI
POTERE AL POPOLO,CESIDIO FRACASSI
POTERE AL POPOLO,DOMENICO CALDERONI
POTERE AL POPOLO,ELISA DELLA LIBERA
POTERE AL POPOLO,AURA GHEZZI
POTERE AL POPOLO,FRANCESCA PULICE
POTERE AL POPOLO,TERESA ADAMO
POTERE AL POPOLO,FRANCESCO ROSSI
POTERE AL POPOLO,MARIA GRAZIA GRECO
POTERE AL POPOLO,PAOLO BURANI
POTERE AL POPOLO,ALESSANDRA BAIOCCHI
POTERE AL POPOLO,ADRIANO LAPEDOTA
POTERE AL POPOLO,SEBASTIANO BERGAMO
POTERE AL POPOLO,FABIO SARANDREA
POTERE AL POPOLO,STEFANIA CIANFROCCA
POTERE AL POPOLO,TIZIANO DI GIUSEPPE
MOVIMENTO CINQUE STELLE 2050,ENRICO LUPARDINI
MOVIMENTO CINQUE STELLE 2050,GIANFRANCO ESPOSITO
MOVIMENTO CINQUE STELLE 2050,VALENTINA VIVARELLI
MOVIMENTO CINQUE STELLE 2050,GIORGIO DI PIETRANTONIO
MOVIMENTO CINQUE STELLE 2050,ISABELLA SPACONE
MOVIMENTO CINQUE STELLE 2050,FRANCO D'ADAMO
MOVIMENTO CINQUE STELLE 2050,MARIA GRAZIA ALTIBRANDI
MOVIMENTO CINQUE STELLE 2050,SOFIA REBUCCI
