LISTA,CANDIDATO
REVOLUZIONE CIVICA,DAMIANO MALCANGI
REVOLUZIONE CIVICA,MIRANDA FILIPPETTI
REVOLUZIONE CIVICA,ANDREA BARZOTTI
REVOLUZIONE CIVICA,ILARIA RAMADAN
REVOLUZIONE CIVICA,GIUSEPPE LIGUORI
REVOLUZIONE CIVICA,ALESSANDRO PIRRONE
REVOLUZIONE CIVICA,GIOVANNINA GENTILE
REVOLUZIONE CIVICA,EMILIANO GIOIA
REVOLUZIONE CIVICA,JOSAFAT DE MARIA
REVOLUZIONE CIVICA,SASKA JOVANOVIC
REVOLUZIONE CIVICA,NICOLA CAPRERA
REVOLUZIONE CIVICA,MAURILIO BONAIUTO
REVOLUZIONE CIVICA,SELENE GEMELLI
REVOLUZIONE CIVICA,ALESSANDRA MASSA
REVOLUZIONE CIVICA,MIRKO ROSATI
REVOLUZIONE CIVICA,EDOARDO COFANI
REVOLUZIONE CIVICA,GIUSEPPINA SARLI
REVOLUZIONE CIVICA,EMILIANO ROSATI
REVOLUZIONE CIVICA,MAURO CALCOPIETRO
REVOLUZIONE CIVICA,MARCO SIMONETTI
MOVIMENTO IDEA SOCIALE M.I.S.,NICOLA DE ANGELIS
MOVIMENTO IDEA SOCIALE M.I.S.,GRAZIELLA PRALI
MOVIMENTO IDEA SOCIALE M.I.S.,VALENTINA ANGELONI
MOVIMENTO IDEA SOCIALE M.I.S.,MAURO BARTOLI
MOVIMENTO IDEA SOCIALE M.I.S.,MASSIMILIANO CACIOLO
MOVIMENTO IDEA SOCIALE M.I.S.,STEFANIA CAMODECA
MOVIMENTO IDEA SOCIALE M.I.S.,ANDREA CANARIS
MOVIMENTO IDEA SOCIALE M.I.S.,GIANFRANCO CAPOROSSI
MOVIMENTO IDEA SOCIALE M.I.S.,PAOLO CARNEVALE
MOVIMENTO IDEA SOCIALE M.I.S.,STEFANO CIMA
MOVIMENTO IDEA SOCIALE M.I.S.,FRANCESCO DESSI'
MOVIMENTO IDEA SOCIALE M.I.S.,ROBERTO DI CLEMENTE
MOVIMENTO IDEA SOCIALE M.I.S.,SALVATORE GIUSTINIANO
MOVIMENTO IDEA SOCIALE M.I.S.,ROBERTA GRAMMAROLI
