SEZIONE,GIORDANA PETRELLA,PAOLO EMILIO MARCHIONNE,TOTALE,AFFLUENZA,MUNICIPIO
309,162.0,308.0,470.0,0.49682875264270615,3
310,170.0,400.0,570.0,0.5882352941176471,3
312,170.0,262.0,432.0,0.48322147651006714,3
313,129.0,179.0,308.0,0.3728813559322034,3
315,128.0,226.0,354.0,0.387308533916849,3
316,123.0,261.0,384.0,0.4169381107491857,3
317,137.0,256.0,393.0,0.41151832460732984,3
318,96.0,246.0,342.0,0.462787550744249,3
319,112.0,90.0,202.0,0.28212290502793297,3
320,75.0,108.0,183.0,0.26598837209302323,3
321,82.0,76.0,158.0,0.22636103151862463,3
322,67.0,66.0,133.0,0.3057471264367816,3
323,148.0,160.0,308.0,0.4134228187919463,3
324,157.0,160.0,317.0,0.4283783783783784,3
325,120.0,142.0,262.0,0.3569482288828338,3
326,113.0,129.0,242.0,0.3394109396914446,3
327,142.0,112.0,254.0,0.3248081841432225,3
328,176.0,190.0,366.0,0.391025641025641,3
329,178.0,242.0,420.0,0.47297297297297297,3
330,165.0,252.0,417.0,0.5312101910828025,3
331,251.0,266.0,517.0,0.5078585461689588,3
332,163.0,239.0,402.0,0.36347197106690776,3
333,186.0,157.0,343.0,0.3514344262295082,3
334,185.0,195.0,380.0,0.4021164021164021,3
335,179.0,211.0,390.0,0.40082219938335045,3
336,186.0,143.0,329.0,0.39401197604790417,3
337,195.0,220.0,415.0,0.40057915057915056,3
338,177.0,150.0,327.0,0.4062111801242236,3
339,226.0,241.0,467.0,0.42648401826484017,3
340,92.0,173.0,265.0,0.3468586387434555,3
341,164.0,89.0,253.0,0.35684062059238364,3
342,202.0,189.0,391.0,0.4727932285368803,3
343,136.0,227.0,363.0,0.45660377358490567,3
344,151.0,254.0,405.0,0.5012376237623762,3
345,162.0,246.0,408.0,0.5024630541871922,3
346,99.0,194.0,293.0,0.3986394557823129,3
347,134.0,344.0,478.0,0.5519630484988453,3
348,112.0,349.0,461.0,0.5082690187431091,3
349,175.0,294.0,469.0,0.5421965317919075,3
350,86.0,107.0,193.0,0.26474622770919065,3
351,203.0,290.0,493.0,0.5250266240681576,3
352,184.0,273.0,457.0,0.518140589569161,3
353,160.0,206.0,366.0,0.41924398625429554,3
354,121.0,123.0,244.0,0.37888198757763975,3
355,152.0,214.0,366.0,0.41216216216216217,3
356,93.0,89.0,182.0,0.33891992551210426,3
357,163.0,169.0,332.0,0.42838709677419357,3
358,212.0,247.0,459.0,0.40547703180212014,3
359,146.0,172.0,318.0,0.375,3
360,219.0,194.0,413.0,0.3737556561085973,3
361,174.0,197.0,371.0,0.48370273794002605,3
362,182.0,213.0,395.0,0.42021276595744683,3
363,198.0,226.0,424.0,0.4953271028037383,3
364,135.0,194.0,329.0,0.4375,3
365,227.0,365.0,592.0,0.5285714285714286,3
366,153.0,296.0,449.0,0.4268060836501901,3
367,174.0,223.0,397.0,0.44456886898096304,3
368,125.0,136.0,261.0,0.3107142857142857,3
369,132.0,159.0,291.0,0.31630434782608696,3
370,159.0,83.0,242.0,0.3328748280605227,3
371,131.0,87.0,218.0,0.3011049723756906,3
372,181.0,204.0,385.0,0.2779783393501805,3
373,233.0,247.0,480.0,0.418848167539267,3
374,212.0,191.0,403.0,0.33278282411230387,3
375,178.0,146.0,324.0,0.2898032200357782,3
856,177.0,222.0,399.0,0.7838899803536346,3
1762,191.0,240.0,431.0,0.6347569955817378,3
2521,112.0,154.0,266.0,0.3773049645390071,3
2522,104.0,141.0,245.0,0.4188034188034188,3
2539,144.0,265.0,409.0,0.3405495420482931,3
2562,210.0,166.0,376.0,0.5074224021592443,3
2563,188.0,284.0,472.0,0.49631966351209256,3
2564,226.0,304.0,530.0,0.49625468164794007,3
