SEZIONE,PARTITO COMUNISTA MARCO RIZZO,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA MICHETTI SINDACO,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,LIBERISTI ITALIANI,RICONQUISTARE L'ITALIA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,REVOLUZIONE CIVICA,CALENDA SINDACO,POTERE AL POPOLO,TOTALE,MUNICIPIO,AFFLUENZA
2304,12,80,9,18,13,12,3,31,7,10,18,79,53,33,5,1,1,1,48,4,438,14,0.46844919786096256
2305,7,65,6,14,8,11,3,23,12,4,25,87,31,19,0,0,6,1,42,1,365,14,0.4727979274611399
2306,3,50,13,4,4,8,4,14,11,5,12,37,21,7,1,1,3,0,18,2,218,14,0.43339960238568587
2307,9,34,3,7,5,9,1,17,1,4,34,53,16,16,2,0,2,1,9,1,224,14,0.4132841328413284
2308,4,72,5,6,1,6,4,24,5,7,27,73,33,15,1,0,0,0,13,1,297,14,0.40408163265306124
2309,3,60,6,5,5,5,7,24,4,0,10,49,27,16,0,3,1,0,9,3,237,14,0.4647058823529412
2310,5,71,1,24,10,16,6,29,6,5,48,82,40,18,8,2,1,1,28,6,407,14,0.6585760517799353
2311,1,62,9,19,10,10,3,15,5,6,32,49,38,20,0,1,2,3,39,0,324,14,0.46088193456614507
2312,7,71,21,18,12,11,3,18,8,6,34,105,32,14,0,1,0,8,37,7,413,14,0.6210526315789474
2313,0,54,1,11,9,9,2,14,5,4,9,45,23,14,0,0,1,0,35,0,236,14,0.4259927797833935
2314,3,64,1,10,10,2,3,12,3,3,11,57,35,17,0,0,1,2,27,3,264,14,0.44221105527638194
2315,4,57,2,16,12,4,7,6,4,5,16,30,24,12,0,0,2,0,45,1,247,14,0.4862204724409449
2316,0,50,3,10,8,6,4,8,5,1,14,29,23,8,0,0,0,0,30,1,200,14,0.4098360655737705
2317,3,50,0,12,12,7,1,9,7,8,20,49,15,26,0,1,2,1,22,4,249,14,0.47248576850094876
2318,3,147,11,32,13,5,8,10,13,7,24,101,54,22,0,0,0,3,76,4,533,14,0.5004694835680751
2319,4,70,7,20,16,17,6,4,9,6,12,57,25,20,0,1,0,1,51,0,326,14,0.531810766721044
2320,7,81,3,17,12,14,5,13,7,7,18,68,32,16,0,1,0,0,44,3,348,14,0.4860335195530726
2321,3,83,6,12,11,5,2,5,9,5,12,67,28,28,0,0,0,1,55,4,336,14,0.5060240963855421
2322,0,18,0,9,2,1,0,17,4,1,10,63,32,24,1,0,0,0,7,1,190,14,0.3114754098360656
2323,6,74,5,6,1,5,2,15,4,7,19,56,27,13,0,1,2,1,36,3,283,14,0.4167893961708395
2324,6,201,5,35,3,1,1,11,10,8,35,89,52,26,2,1,6,2,20,2,516,14,0.5233265720081136
2325,4,50,14,9,4,3,11,12,9,5,33,70,28,16,0,0,1,0,19,1,289,14,0.43787878787878787
2326,2,78,4,14,16,2,8,12,5,2,19,61,19,21,1,0,0,2,20,7,293,14,0.4302496328928047
2327,4,51,4,16,11,2,2,6,5,4,25,4,24,11,0,1,0,0,19,3,192,14,0.4192139737991266
2328,6,103,5,12,11,10,5,14,4,2,14,44,21,19,0,1,1,3,33,4,312,14,0.5512367491166078
2329,4,76,1,17,12,3,4,20,1,7,17,67,27,11,0,0,6,2,35,3,313,14,0.4815384615384615
2330,6,51,0,19,10,7,1,8,3,4,11,61,15,5,0,2,2,0,25,3,233,14,0.48846960167714887
2331,7,58,3,7,9,4,14,6,6,3,16,71,26,11,0,4,3,0,36,0,284,14,0.4536741214057508
