SEZIONE,CANDIDATO,PREFERENZE,LISTA,MUNICIPIO
1023,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1127,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1194,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1195,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1230,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1231,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1232,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1233,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1234,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1235,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1236,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1237,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1238,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1239,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1240,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1241,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1242,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1243,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1244,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1245,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1246,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1247,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1248,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1249,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1250,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1251,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1252,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1253,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1254,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1255,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1256,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1257,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1258,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1259,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1260,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1261,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1262,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1263,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1264,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1265,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1266,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1267,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1268,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1269,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1271,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1272,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1274,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1275,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1276,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1277,EMANUEL AMBROSINI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1023,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1127,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1194,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1195,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1230,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1231,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1232,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1233,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1234,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1235,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1236,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1237,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1238,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1239,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1240,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1241,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1242,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1243,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1244,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1245,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1246,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
1247,FRANCESCA BROGI,0.0,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,8
