LISTA,CANDIDATO
PD PARTITO DEMOCRATICO,GIULIA CALLINI
PD PARTITO DEMOCRATICO,GIORGIO CARRA
PD PARTITO DEMOCRATICO,LIVIO RICCIARDELLI
PD PARTITO DEMOCRATICO,CLAUDIA SANTOLOCE
PD PARTITO DEMOCRATICO,JACOPO SCATA'
PD PARTITO DEMOCRATICO,ALESSANDRA SERMONETA
PD PARTITO DEMOCRATICO,DANIELA SPINACI
PD PARTITO DEMOCRATICO,GIORGIO BENIGNI
PD PARTITO DEMOCRATICO,FRANCESCA CALAMUSA
PD PARTITO DEMOCRATICO,NICCOLO' CAMPONI
PD PARTITO DEMOCRATICO,LUIGI COLACCHI
PD PARTITO DEMOCRATICO,ANNA MARIA FIORELLO
PD PARTITO DEMOCRATICO,SERGIO GRAZIOLI
PD PARTITO DEMOCRATICO,LUDOVICA JAUS
PD PARTITO DEMOCRATICO,IRMA LAURENTI
PD PARTITO DEMOCRATICO,FABIO LINARI
PD PARTITO DEMOCRATICO,DOMENICO MANENTE
PD PARTITO DEMOCRATICO,MARIA CRISTINA MARCUCCI
PD PARTITO DEMOCRATICO,ALESSANDRO MONCIOTTI
PD PARTITO DEMOCRATICO,DIANA PAULA PAULESCU
PD PARTITO DEMOCRATICO,STEFANO PEPPOLONI
PD PARTITO DEMOCRATICO,NICOLO' RYAN
PD PARTITO DEMOCRATICO,ANTONIO SERRA
PD PARTITO DEMOCRATICO,NICOLA TERRUSI
DEMOS DEMOCRAZIA SOLIDALE,MATTEO COSTANTINI
DEMOS DEMOCRAZIA SOLIDALE,CLAUDIO MARIO BETTI
DEMOS DEMOCRAZIA SOLIDALE,LUCIO BIGNAMI
DEMOS DEMOCRAZIA SOLIDALE,ALDO CAVALLO
DEMOS DEMOCRAZIA SOLIDALE,FEDERICA CIRAVEGNA
DEMOS DEMOCRAZIA SOLIDALE,FRANCESCA COLANTONIO
DEMOS DEMOCRAZIA SOLIDALE,SABRINA DE FEDERICIS
DEMOS DEMOCRAZIA SOLIDALE,JEANNETTE CALNEA DIMAANO
DEMOS DEMOCRAZIA SOLIDALE,MARIA GIUSEPPINA DI MONTE
DEMOS DEMOCRAZIA SOLIDALE,MARTINA FABIANI
DEMOS DEMOCRAZIA SOLIDALE,ERIKA GAMBERALE
DEMOS DEMOCRAZIA SOLIDALE,ROSARIA GAROZZO
DEMOS DEMOCRAZIA SOLIDALE,SALVATORE LA LICATA
DEMOS DEMOCRAZIA SOLIDALE,ROBERTO LATAGLIATA
DEMOS DEMOCRAZIA SOLIDALE,MOHAMMED NOOR
DEMOS DEMOCRAZIA SOLIDALE,ALESSANDRO MOTTA
DEMOS DEMOCRAZIA SOLIDALE,TEODOSIO ORLANDO
DEMOS DEMOCRAZIA SOLIDALE,VALERIO PERUZZI
DEMOS DEMOCRAZIA SOLIDALE,VALERIO PIERONI
DEMOS DEMOCRAZIA SOLIDALE,BRUNO PIETROBONO
DEMOS DEMOCRAZIA SOLIDALE,ANTONELLA POLLICITA
DEMOS DEMOCRAZIA SOLIDALE,GIANCARLO RUSSO
DEMOS DEMOCRAZIA SOLIDALE,GIADA TRAVAGLINI
DEMOS DEMOCRAZIA SOLIDALE,MD ABDUL WADUD
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,LEONE BARILLI BONACELLI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,GIANCARLA BABINO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,MASSIMO COCCIA
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ALESSANDRA CAZZOLA
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,GIOVANNI GIANNELLI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SOFIA GIANNOTTI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,FABRIZIO MENCARONI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DANIELA LEBANO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,LORENZO MINIO PALUELLO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ALESSIA LECCESE
