LISTA,CANDIDATO
REVOLUZIONE CIVICA,GIOELE LAVALLE
REVOLUZIONE CIVICA,GAETANA CULTRARO
REVOLUZIONE CIVICA,SASKA JOVANOVIC
REVOLUZIONE CIVICA,ILARIA RAMADAN
REVOLUZIONE CIVICA,GIUSEPPINA SARLI
REVOLUZIONE CIVICA,MATTEO MARCHESINI
REVOLUZIONE CIVICA,LUCIO MAZZANTI
REVOLUZIONE CIVICA,ANDREA PREVITI
REVOLUZIONE CIVICA,SALVATORE MICHELE GUIDA
REVOLUZIONE CIVICA,DANIELE LOPERFIDO
REVOLUZIONE CIVICA,GIORGIA BORIONI
REVOLUZIONE CIVICA,ANGELA PIPOLI
REVOLUZIONE CIVICA,MILA MORANDI
REVOLUZIONE CIVICA,ROMANO QUATTROPANETTI
REVOLUZIONE CIVICA,MASSIMO CENTI
REVOLUZIONE CIVICA,GIUSEPPE LIGUORI
REVOLUZIONE CIVICA,PIER FRANCESCO PICCIONE
LISTA CIVICA GUALTIERI SINDACO,RANIERO RANIERI
LISTA CIVICA GUALTIERI SINDACO,SARA MARTORANO
LISTA CIVICA GUALTIERI SINDACO,EGLE CAVA
LISTA CIVICA GUALTIERI SINDACO,RAJESH FRANCESCO CECCHINI
LISTA CIVICA GUALTIERI SINDACO,FRANCESCA DE CARLINI
LISTA CIVICA GUALTIERI SINDACO,SERENA FABRIZI
LISTA CIVICA GUALTIERI SINDACO,PAOLA FERRACCI
LISTA CIVICA GUALTIERI SINDACO,ALBERTO IACOPONI
LISTA CIVICA GUALTIERI SINDACO,MARCO IANZINI
LISTA CIVICA GUALTIERI SINDACO,BENEDETTA INSINGA
LISTA CIVICA GUALTIERI SINDACO,GIANLUCA LOFFREDI
LISTA CIVICA GUALTIERI SINDACO,FRANCESCA POLETTI
LISTA CIVICA GUALTIERI SINDACO,MARIA PAOLA PROCACCI
LISTA CIVICA GUALTIERI SINDACO,PAOLO PUGET
LISTA CIVICA GUALTIERI SINDACO,SIMONE SAGNOTTI
LISTA CIVICA GUALTIERI SINDACO,FLAVIA TAMARRI
LISTA CIVICA GUALTIERI SINDACO,MAURIZIO TOSON MARIN
