SEZIONE,NAOMI DURANTE,GIAN LUCA GISMONDI,MAURIZIO FIORAVANTI,FABRIZIO COMPAGNONE,CLAUDIO MATTEODA,VALTER MASTRANGELI,MONICA NATALI,SERAFINO MAURO,FRANCESCA FILIPPONI,NICOLA FRANCO,MARIA VITTORIA MOLINARI,TOTALE,AFFLUENZA
1133,3,1,5,67,3,19,1,1,67,74,4,245,0.4110738255033557
1134,6,1,2,92,2,21,1,2,66,95,0,288,0.4824120603015075
1135,3,1,6,65,2,29,0,0,53,98,6,263,0.4058641975308642
1757,1,1,1,83,5,29,1,1,106,154,4,386,0.8075313807531381
2110,2,3,2,81,0,28,0,1,93,196,4,410,0.43524416135881105
2510,1,4,6,109,1,36,1,2,120,239,7,526,0.48080438756855576
2540,5,7,1,94,0,68,0,1,127,213,0,516,0.4414029084687767
2541,3,0,1,60,0,37,1,0,106,165,7,380,0.4393063583815029
2542,5,4,4,86,3,56,1,1,136,205,0,501,0.43189655172413793
2555,5,1,6,89,0,43,0,2,132,188,6,472,0.472
2557,3,2,6,82,4,31,0,0,139,203,8,478,0.4131374243733794
2558,6,2,0,37,3,8,0,0,45,101,3,205,0.17212426532325778
2559,1,5,1,62,1,35,0,2,143,180,4,434,0.36076475477971737
2578,0,0,0,4,0,0,0,0,3,2,0,9,
