LISTA,CANDIDATO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,GIULIA TOMASSETTI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,TIZIANO BIANCOLILLO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,LAURA ALUISI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,EMILIANO COFANO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,FRANCESCA BUTANO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ALESSANDRO DI PAOLA
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ALESSANDRA CAZZOLA
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,GIOVANNI DELLA VALLE
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SIMONETTA CERVELLI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ALESSIO ESPOSITO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ALESSANDRA CIABUSCHI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,PAOLO FILIPPONI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,MONIA GATTI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DANIELE LASCO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,BIANCA GIOVANNINI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,LUCA MARIA LO MUZIO LEZZA
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,CARLA LUCILLA MALATESTA
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ANDREA ROSATI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DANIELA MICHELI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DANIELE ZANDONA'
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,MARIA GRAZIA NUZZO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,BERNARDINA MARIA ROSSI
LISTA CIVICA GUALTIERI SINDACO,MARIO DE VERGOTTINI
LISTA CIVICA GUALTIERI SINDACO,CLAUDIO LORENZINI
LISTA CIVICA GUALTIERI SINDACO,GRAZIELLA FAVIANI
LISTA CIVICA GUALTIERI SINDACO,DAVIDE FLORIO
