POTERE AL POPOLO
ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD
PARTITO COMUNISTA MARCO RIZZO
CALENDA SINDACO
REVOLUZIONE CIVICA
RICONQUISTARE L'ITALIA
MOVIMENTO STORICO ROMANO LISTA NERONE
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
SINISTRA CIVICA ECOLOGISTA
PD PARTITO DEMOCRATICO
LISTA CIVICA GUALTIERI SINDACO
DEMOS DEMOCRAZIA SOLIDALE
LEGA SALVINI PREMIER
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
LISTA CIVICA MICHETTI SINDACO
GIORGIA MELONI FRATELLI D'ITALIA
MOVIMENTO CINQUE STELLE 2050
LISTA CIVICA VIRGINIA RAGGI
CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE
