SEZIONE,MARCO DELLA PORTA,DOMENICO NASO,TOTALE,AFFLUENZA,MUNICIPIO
2330,138.0,88.0,226.0,0.47379454926624737,14
2331,150.0,102.0,252.0,0.402555910543131,14
2332,81.0,99.0,180.0,0.38961038961038963,14
2333,146.0,75.0,221.0,0.3810344827586207,14
2334,153.0,72.0,225.0,0.45180722891566266,14
2335,141.0,135.0,276.0,0.518796992481203,14
2347,197.0,296.0,493.0,0.405761316872428,14
2348,221.0,187.0,408.0,0.34372367312552654,14
2349,190.0,170.0,360.0,0.43795620437956206,14
2351,101.0,150.0,251.0,0.34958217270194986,14
2352,108.0,94.0,202.0,0.3775700934579439,14
2354,205.0,111.0,316.0,0.4463276836158192,14
2355,288.0,185.0,473.0,0.5558166862514688,14
2356,210.0,167.0,377.0,0.5287517531556802,14
2357,268.0,117.0,385.0,0.4854981084489281,14
2358,226.0,182.0,408.0,0.4897959183673469,14
2366,192.0,204.0,396.0,0.5006321112515802,14
2367,265.0,161.0,426.0,0.5226993865030675,14
2368,306.0,166.0,472.0,0.5357548240635641,14
2369,259.0,125.0,384.0,0.4169381107491857,14
2370,166.0,96.0,262.0,0.40873634945397813,14
2371,219.0,135.0,354.0,0.46701846965699206,14
2372,196.0,162.0,358.0,0.44806007509386736,14
2373,310.0,148.0,458.0,0.4598393574297189,14
2374,215.0,104.0,319.0,0.3914110429447853,14
2375,199.0,156.0,355.0,0.43558282208588955,14
2376,188.0,128.0,316.0,0.43169398907103823,14
2377,88.0,223.0,311.0,0.4185733512786003,14
2378,208.0,139.0,347.0,0.49642346208869814,14
2379,205.0,141.0,346.0,0.4650537634408602,14
2380,225.0,101.0,326.0,0.4670487106017192,14
2381,330.0,128.0,458.0,0.4908896034297964,14
2382,64.0,87.0,151.0,0.26444833625218916,14
2383,187.0,176.0,363.0,0.30788804071246817,14
2384,182.0,154.0,336.0,0.2976085031000886,14
2385,229.0,222.0,451.0,0.39388646288209606,14
2386,140.0,134.0,274.0,0.35723598435462844,14
2387,179.0,153.0,332.0,0.32773938795656465,14
2388,150.0,139.0,289.0,0.36536030341340076,14
2389,186.0,163.0,349.0,0.3270852858481724,14
2390,206.0,170.0,376.0,0.38524590163934425,14
2391,210.0,171.0,381.0,0.3584195672624647,14
2392,230.0,194.0,424.0,0.3988711194731891,14
2393,343.0,190.0,533.0,0.43157894736842106,14
2394,183.0,98.0,281.0,0.2787698412698413,14
2395,252.0,164.0,416.0,0.4301964839710445,14
2396,228.0,135.0,363.0,0.37655601659751037,14
2397,121.0,114.0,235.0,0.39166666666666666,14
2398,233.0,140.0,373.0,0.42194570135746606,14
2399,192.0,141.0,333.0,0.4258312020460358,14
2400,261.0,98.0,359.0,0.42942583732057416,14
2401,180.0,96.0,276.0,0.368,14
2402,173.0,197.0,370.0,0.27611940298507465,14
2403,181.0,213.0,394.0,0.30331023864511164,14
2427,105.0,73.0,178.0,0.357429718875502,14
2428,123.0,64.0,187.0,0.3887733887733888,14
2429,112.0,97.0,209.0,0.3554421768707483,14
2430,197.0,129.0,326.0,0.4272608125819135,14
2431,158.0,101.0,259.0,0.46415770609318996,14
2432,176.0,90.0,266.0,0.4691358024691358,14
2433,133.0,102.0,235.0,0.4400749063670412,14
2517,126.0,143.0,269.0,0.3516339869281046,14
2534,127.0,73.0,200.0,0.3968253968253968,14
2551,310.0,222.0,532.0,0.3970149253731343,14
2567,216.0,151.0,367.0,0.284275755228505,14
2587,2.0,1.0,3.0,,14
2588,3.0,1.0,4.0,,14
2589,3.0,2.0,5.0,,14
2590,3.0,0.0,3.0,0.42857142857142855,14
2599,15.0,12.0,27.0,,14
