LISTA,CANDIDATO
PARTITO COMUNISTA MARCO RIZZO,LAURA MONTECCHI
PARTITO COMUNISTA MARCO RIZZO,GIAMPAOLO BELLUCCI
PARTITO COMUNISTA MARCO RIZZO,CLAUDIA CECCHINI
PARTITO COMUNISTA MARCO RIZZO,FULVIO CILENTO
PARTITO COMUNISTA MARCO RIZZO,TOMMASO ESPOSITO
PARTITO COMUNISTA MARCO RIZZO,IVANO FIORAVANTI
PARTITO COMUNISTA MARCO RIZZO,LAURA FRESU
PARTITO COMUNISTA MARCO RIZZO,LUIGI STAZI
PARTITO COMUNISTA MARCO RIZZO,STEFANO MACRI
PARTITO COMUNISTA MARCO RIZZO,SILVIA MINISCALCO
PARTITO COMUNISTA MARCO RIZZO,LUCA PANTELLINI
PARTITO COMUNISTA MARCO RIZZO,LUCIANO PIACENTINO
PARTITO COMUNISTA MARCO RIZZO,ANDREA PIEVAIOLI
PARTITO COMUNISTA MARCO RIZZO,ANDREA POMENTI
PARTITO COMUNISTA MARCO RIZZO,GIULIANA ROSATI
PARTITO COMUNISTA MARCO RIZZO,INGRID SATTEL
PARTITO COMUNISTA MARCO RIZZO,ROBERTO STIVALA
PARTITO COMUNISTA MARCO RIZZO,MAURO TOPPI
PARTITO COMUNISTA MARCO RIZZO,STEFANIA VASSURA
LEGA SALVINI PREMIER,ALESSANDRO AGUZZETTI
LEGA SALVINI PREMIER,STEFANIA ANGELINI
LEGA SALVINI PREMIER,MONICA BARTOLUCCI
LEGA SALVINI PREMIER,VALTER BERRUTO
LEGA SALVINI PREMIER,GIANFRANCO BONO
LEGA SALVINI PREMIER,BIANCA BRAVACCINI
LEGA SALVINI PREMIER,MAURIZIO COLUCCI
LEGA SALVINI PREMIER,FABIO COMIDA
LEGA SALVINI PREMIER,MAURO CONTI
LEGA SALVINI PREMIER,PABLO DE LUCA
LEGA SALVINI PREMIER,FRANCESCA DE CESARE
LEGA SALVINI PREMIER,CLAUDIA DOMINICI
LEGA SALVINI PREMIER,SIMONA FANCELLO
LEGA SALVINI PREMIER,SIMONA FARES
LEGA SALVINI PREMIER,MARCO TULLIO MAMBOR
LEGA SALVINI PREMIER,LUCA MANTUANO
LEGA SALVINI PREMIER,MASSIMILIANO METALLI
LEGA SALVINI PREMIER,CATERINA RAGANELLA
LEGA SALVINI PREMIER,ANTONELLA RITI
LEGA SALVINI PREMIER,ANTONIO SABATINO
LEGA SALVINI PREMIER,GIOVANNI SALIS
LEGA SALVINI PREMIER,MATTEO SAMPIERI
LEGA SALVINI PREMIER,DIEGO SIANO
LEGA SALVINI PREMIER,CARMINE STORNAIUOLO
LISTA CIVICA MICHETTI SINDACO,AUGUSTO BONVICINI
LISTA CIVICA MICHETTI SINDACO,MARCO BOZZARINI
LISTA CIVICA MICHETTI SINDACO,ROBERTA CAPPELLUTI
LISTA CIVICA MICHETTI SINDACO,ROBERTO CARRARA
LISTA CIVICA MICHETTI SINDACO,ANDREA CERRETO
LISTA CIVICA MICHETTI SINDACO,MICHELA CORSI
LISTA CIVICA MICHETTI SINDACO,FEDERICO COLELLA
LISTA CIVICA MICHETTI SINDACO,ALESSANDRA MACELLARI
LISTA CIVICA MICHETTI SINDACO,ELISA MURRU
LISTA CIVICA MICHETTI SINDACO,ALESSANDRO PANFILO
LISTA CIVICA MICHETTI SINDACO,STEFANIA PIETROBATTISTA
LISTA CIVICA MICHETTI SINDACO,PAOLO ROSSINI
LISTA CIVICA MICHETTI SINDACO,FRANCESCO RUGGIERO
LISTA CIVICA MICHETTI SINDACO,MARIA GRAZIA SIMONI
LISTA CIVICA MICHETTI SINDACO,ANTONELLA SOLEMETITE
LISTA CIVICA MICHETTI SINDACO,ANTONIO SORRENTI
LISTA CIVICA MICHETTI SINDACO,MASSIMILIANO STAFFA
LISTA CIVICA MICHETTI SINDACO,MAURIZIO TAGLIACOZZO
LISTA CIVICA MICHETTI SINDACO,GIULIANA TARQUINI
LISTA CIVICA MICHETTI SINDACO,CINZIA ZORZAN
GIORGIA MELONI FRATELLI D'ITALIA,PIETRO MALARA
GIORGIA MELONI FRATELLI D'ITALIA,GIUSEPPE DE MARTINO
GIORGIA MELONI FRATELLI D'ITALIA,PIERFRANCESCO MARCHESI
GIORGIA MELONI FRATELLI D'ITALIA,SARA ADRIANI
GIORGIA MELONI FRATELLI D'ITALIA,FABRIZIO GIUSEPPE ALLIA
