SEZIONE,DANILO BALLANTI,FRANCESCA SEVERI,MARTA MONDAZZI,GABRIELE LAGO,TATIANA MELARAGNI,ELIO TOMASSETTI,PIETRANGELO MASSARO,ALESSANDRO GALLETTI,MASSIMO BOSCHI,FRANCESCA ANNA PERRI,GIULIA PEZZELLA,TOTALE,AFFLUENZA
1424,7.0,19.0,1.0,4.0,0.0,139.0,99.0,56.0,3.0,6.0,14.0,348.0,0.39500567536889897
1425,4.0,61.0,3.0,0.0,1.0,171.0,87.0,45.0,0.0,10.0,3.0,385.0,0.5039267015706806
1426,3.0,68.0,3.0,1.0,1.0,202.0,88.0,45.0,0.0,5.0,5.0,421.0,0.6557632398753894
1427,10.0,89.0,0.0,2.0,1.0,244.0,97.0,45.0,0.0,7.0,8.0,503.0,0.6327044025157232
1428,5.0,67.0,2.0,0.0,0.0,198.0,133.0,99.0,1.0,8.0,5.0,518.0,0.561822125813449
1429,8.0,59.0,1.0,1.0,0.0,216.0,134.0,79.0,2.0,17.0,6.0,523.0,0.6270983213429256
1430,1.0,78.0,3.0,0.0,2.0,186.0,112.0,59.0,2.0,3.0,3.0,449.0,0.5529556650246306
1431,4.0,78.0,0.0,1.0,0.0,211.0,85.0,65.0,0.0,3.0,6.0,453.0,0.5634328358208955
1432,9.0,51.0,5.0,2.0,0.0,196.0,109.0,54.0,3.0,8.0,2.0,439.0,0.5289156626506024
1433,0.0,58.0,1.0,2.0,0.0,178.0,54.0,40.0,0.0,1.0,5.0,339.0,0.5916230366492147
1434,2.0,55.0,0.0,2.0,0.0,165.0,101.0,64.0,1.0,5.0,3.0,398.0,0.5378378378378378
1435,5.0,67.0,3.0,0.0,0.0,169.0,89.0,56.0,6.0,9.0,3.0,407.0,0.5355263157894737
1436,7.0,50.0,1.0,2.0,1.0,146.0,109.0,57.0,4.0,10.0,2.0,389.0,0.5797317436661699
1437,9.0,94.0,3.0,1.0,0.0,201.0,118.0,84.0,2.0,7.0,2.0,521.0,0.5763274336283186
1438,3.0,107.0,0.0,1.0,0.0,199.0,97.0,71.0,0.0,3.0,1.0,482.0,0.5807228915662651
1439,5.0,99.0,3.0,1.0,0.0,165.0,88.0,60.0,0.0,3.0,0.0,424.0,0.5721997300944669
1440,2.0,96.0,0.0,0.0,0.0,151.0,108.0,59.0,0.0,1.0,0.0,417.0,0.5735900962861072
1441,6.0,63.0,0.0,1.0,2.0,149.0,94.0,84.0,7.0,9.0,3.0,418.0,0.5478374836173001
1442,10.0,73.0,4.0,2.0,0.0,180.0,116.0,60.0,2.0,2.0,4.0,453.0,0.583011583011583
1443,7.0,59.0,0.0,0.0,0.0,161.0,124.0,64.0,1.0,4.0,5.0,425.0,0.573549257759784
1444,8.0,68.0,0.0,0.0,0.0,153.0,69.0,69.0,1.0,7.0,2.0,377.0,0.5487627365356623
1445,9.0,92.0,2.0,1.0,3.0,199.0,126.0,69.0,0.0,4.0,1.0,506.0,0.579610538373425
1446,0.0,107.0,3.0,0.0,0.0,227.0,165.0,2.0,12.0,0.0,86.0,602.0,0.621900826446281
1447,1.0,51.0,1.0,0.0,0.0,142.0,80.0,34.0,0.0,2.0,6.0,317.0,0.5580985915492958
1448,6.0,84.0,1.0,3.0,0.0,231.0,143.0,89.0,0.0,11.0,5.0,573.0,0.610223642172524
1449,6.0,42.0,3.0,1.0,0.0,191.0,84.0,57.0,1.0,8.0,1.0,394.0,0.6127527216174183
1450,1.0,51.0,1.0,1.0,1.0,122.0,97.0,52.0,1.0,1.0,1.0,329.0,0.5501672240802675
1451,5.0,97.0,2.0,1.0,1.0,216.0,173.0,74.0,1.0,3.0,6.0,579.0,0.5896130346232179
1452,2.0,73.0,1.0,2.0,0.0,215.0,145.0,74.0,0.0,9.0,2.0,523.0,0.5817575083426029
1453,3.0,90.0,2.0,0.0,1.0,246.0,141.0,78.0,2.0,2.0,2.0,567.0,0.6169749727965179
1454,2.0,81.0,1.0,0.0,0.0,148.0,130.0,40.0,0.0,4.0,6.0,412.0,0.6041055718475073
1455,4.0,107.0,3.0,201.0,10.0,159.0,78.0,8.0,1.0,6.0,1.0,578.0,0.6422222222222222
1456,5.0,77.0,0.0,1.0,1.0,135.0,118.0,60.0,2.0,3.0,3.0,405.0,0.5785714285714286
1457,7.0,82.0,0.0,2.0,2.0,132.0,149.0,85.0,3.0,7.0,2.0,471.0,0.6007653061224489
1458,2.0,83.0,7.0,0.0,1.0,184.0,178.0,83.0,0.0,0.0,0.0,538.0,0.5991091314031181
1459,6.0,126.0,3.0,0.0,0.0,180.0,186.0,85.0,5.0,1.0,0.0,592.0,0.601015228426396
1460,1.0,119.0,1.0,0.0,0.0,136.0,153.0,76.0,4.0,1.0,7.0,498.0,0.5665529010238908
1461,1.0,50.0,0.0,1.0,0.0,96.0,110.0,34.0,0.0,0.0,1.0,293.0,0.549718574108818
1462,6.0,92.0,0.0,0.0,1.0,161.0,156.0,55.0,0.0,1.0,0.0,472.0,0.6186107470511141
1463,1.0,88.0,0.0,2.0,0.0,158.0,145.0,54.0,3.0,1.0,0.0,452.0,0.5671267252195734
