PARTITO DELLE BUONE MANIERE
MPL MOVIMENTO POLITICO LIBERTAS
"IL POPOLO DELLA FAMIGLIA ""NO GENDER NELLE SCUOLE"""
DEMOS DEMOCRAZIA SOLIDALE
LISTA CIVICA GUALTIERI SINDACO
PARTITO SOCIALISTA ITALIANO PSI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
SINISTRA CIVICA ECOLOGISTA
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
PD PARTITO DEMOCRATICO
CALENDA SINDACO
PARTITO COMUNISTA MARCO RIZZO
POTERE AL POPOLO
FIGLI D'ITALIA BAMBINI NEL MONDO CARLO PRIOLO SINDACO
MOVIMENTO STORICO ROMANO LISTA NERONE
REVOLUZIONE CIVICA
RICONQUISTARE L'ITALIA
GIORGIA MELONI FRATELLI D'ITALIA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
LISTA CIVICA MICHETTI SINDACO
LEGA SALVINI PREMIER
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE DI
PARTITO LIBERALE EUROPEO ROMA CON MICHETTI
ITALIA DEI VALORI
VERITA' 3V LIBERTA'
CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDACA
"SPORTIVI PER ROMA ""VIRGINIA RAGGI SINDACA"""
"MOVIMENTO CINQUE STELLE ""2050"""
"ROMA DECIDE ""VIRGINIA RAGGI SINDACA"""
"LISTA CIVICA ""VIRGINIA RAGGI"""
"CON LE DONNE PER ROMA ""VIRGINIA RAGGI SINDACA"""
PARTITO COMUNISTA DEI LAVORATORI
PCI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE
PROGETTO CIVICO ATTIVA ROMA
MOVIMENTO IDEA SOCIALE M.I.S.
ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD
