PARTITO COMUNISTA MARCO RIZZO
LISTA CIVICA VIRGINIA RAGGI
MOVIMENTO CINQUE STELLE 2050
REVOLUZIONE CIVICA
ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD
CALENDA SINDACO
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE
LISTA CIVICA GUALTIERI SINDACO
SINISTRA CIVICA ECOLOGISTA
PD PARTITO DEMOCRATICO
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
DEMOS DEMOCRAZIA SOLIDALE
GIORGIA MELONI FRATELLI D'ITALIA
LEGA SALVINI PREMIER
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
LISTA CIVICA CATALANO PRESIDENTE
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
