SEZIONE,PARTITO COMUNISTA MARCO RIZZO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,MOVIMENTO STORICO ROMANO LISTA NERONE,RICONQUISTARE L'ITALIA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,POTERE AL POPOLO,SETTIMO SOSTENIBILE LISTA CIVICA,REVOLUZIONE CIVICA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,CALENDA SINDACO,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,TOTALE,MUNICIPIO,AFFLUENZA
945,2,7,22,19,3,60,2,2,3,2,15,47,10,20,19,0,3,1,32,17,10,296,7,0.4134078212290503
946,10,8,32,12,2,95,4,4,0,5,26,95,33,26,2,2,7,1,44,31,27,466,7,0.5183537263626251
947,9,9,34,19,2,83,3,1,1,0,9,81,18,33,4,2,5,0,35,35,16,399,7,0.43042071197411
948,6,13,51,8,7,86,2,3,2,2,11,87,21,34,7,0,6,0,50,46,26,468,7,0.5306122448979592
950,5,15,37,14,4,59,2,1,0,1,12,79,9,22,1,3,7,2,40,26,17,356,7,0.45235069885641677
951,2,5,38,10,6,67,4,2,3,4,11,55,15,28,3,8,11,0,40,36,14,362,7,0.4713541666666667
952,4,8,34,20,4,84,3,11,2,2,17,82,17,28,4,2,7,3,59,38,22,451,7,0.5312131919905771
953,5,8,16,14,3,48,5,3,0,1,13,63,8,20,4,0,3,0,22,30,20,286,7,0.4386503067484663
954,7,9,30,14,4,96,5,1,0,7,9,59,21,51,2,1,11,0,50,37,15,429,7,0.49941792782305006
955,6,17,27,31,1,71,3,2,2,3,10,60,14,40,4,2,31,3,30,32,34,423,7,0.5334174022698613
956,8,14,37,52,9,95,4,0,3,6,12,65,21,25,0,1,13,2,36,36,24,463,7,0.49731471535982813
957,1,22,23,39,6,62,1,2,0,2,9,55,11,17,5,2,10,1,24,32,18,342,7,0.46216216216216216
958,3,9,26,25,4,72,2,2,2,6,9,56,11,18,4,0,9,0,15,22,17,312,7,0.4495677233429395
959,12,19,31,59,5,58,1,0,0,6,14,86,11,12,2,2,16,1,39,32,36,442,7,0.5017026106696936
960,6,30,27,47,6,59,0,1,3,4,6,79,13,8,10,4,12,0,29,31,23,398,7,0.5223097112860893
961,5,16,28,65,8,58,1,2,0,4,11,42,10,13,4,0,2,0,15,39,33,356,7,0.4558258642765685
962,6,18,39,13,9,125,9,1,1,6,17,66,31,23,9,6,6,8,122,25,15,555,7,0.5583501006036218
963,6,16,20,6,10,69,4,2,0,3,13,46,9,15,2,3,17,0,65,24,12,342,7,0.5221374045801527
964,5,17,33,16,9,80,6,0,3,1,5,55,15,12,4,0,5,0,47,41,6,360,7,0.4972375690607735
965,2,7,30,15,7,61,1,1,1,1,3,61,13,32,3,1,9,7,61,19,8,343,7,0.5029325513196481
966,3,10,31,12,11,103,3,4,2,4,15,68,21,53,2,1,2,1,128,19,25,518,7,0.5587918015102481
967,1,16,21,20,7,67,9,0,0,2,10,48,14,19,1,4,1,9,48,17,12,326,7,0.5335515548281505
968,5,18,33,8,10,134,10,0,2,3,6,51,29,19,4,2,4,8,83,27,15,471,7,0.5633971291866029
969,6,28,35,22,15,128,3,1,1,5,3,55,16,14,5,2,3,8,75,33,24,482,7,0.5657276995305164
970,3,14,31,11,6,121,10,0,0,4,9,76,20,17,2,0,1,1,89,23,8,446,7,0.574002574002574
971,5,6,30,13,7,62,2,2,1,2,11,74,17,9,2,0,1,0,62,25,25,356,7,0.5289747399702823
972,7,15,43,13,7,112,2,1,1,5,12,78,15,38,10,2,2,2,83,40,15,503,7,0.5408602150537635
973,7,19,35,10,8,96,6,0,3,5,6,59,11,17,4,3,5,0,68,22,21,405,7,0.5100755667506297
974,8,14,33,13,7,98,4,0,1,2,5,81,14,21,2,1,3,2,53,26,17,405,7,0.49693251533742333
975,4,15,38,17,5,114,8,2,2,2,8,69,17,30,6,0,1,2,62,40,23,465,7,0.5218855218855218
976,0,15,21,13,4,54,5,1,1,7,3,68,11,17,3,1,4,2,48,24,13,315,7,0.4381084840055633
977,8,20,35,12,10,113,10,3,2,4,13,77,17,22,6,2,4,0,63,31,27,479,7,0.535195530726257
978,3,10,30,13,6,103,7,0,0,0,8,54,13,17,2,0,0,8,71,34,19,398,7,0.5236842105263158
979,3,12,48,13,10,76,10,1,0,5,12,45,11,17,4,3,2,1,73,9,14,369,7,0.4855263157894737
980,8,13,50,15,4,72,6,0,2,0,12,54,12,22,1,1,2,3,54,28,20,379,7,0.4896640826873385
981,3,14,43,7,6,88,5,1,0,1,8,70,18,25,2,1,7,5,62,24,14,404,7,0.5674157303370787
982,1,12,40,16,10,94,22,0,0,3,8,66,11,28,5,1,4,2,64,17,6,410,7,0.5387647831800263
983,5,10,66,8,10,68,7,1,1,2,11,66,14,19,6,3,2,2,85,19,18,423,7,0.5451030927835051
984,0,10,29,7,4,72,4,0,0,5,9,56,7,8,2,0,2,4,73,14,15,321,7,0.5144230769230769
985,6,20,32,24,9,71,9,2,1,5,16,55,12,14,3,0,0,0,109,21,15,424,7,0.5367088607594936
986,7,24,25,15,10,58,4,0,1,4,15,53,17,20,4,0,2,1,60,23,11,354,7,0.43975155279503103
987,5,14,14,8,1,51,4,0,2,3,7,50,11,17,1,1,3,3,36,14,9,254,7,0.42833052276559863
988,5,10,23,24,14,96,6,0,1,1,10,95,20,13,4,2,3,1,54,40,22,444,7,0.4889867841409692
989,6,11,38,7,6,79,4,0,0,3,11,63,10,19,3,2,7,1,52,24,20,366,7,0.4753246753246753
990,2,13,20,14,5,95,7,1,2,1,8,41,7,24,1,0,2,1,49,29,17,339,7,0.4948905109489051
991,7,20,33,20,14,72,6,1,3,3,9,47,13,21,3,2,2,2,67,27,23,395,7,0.4876543209876543
992,5,13,41,14,10,85,5,0,0,2,13,54,8,23,4,1,2,4,69,27,36,416,7,0.537467700258398
993,5,12,30,2,5,107,5,1,0,3,14,67,9,6,3,0,1,5,82,22,16,395,7,0.5650929899856938
994,2,7,26,10,4,71,0,0,1,2,6,44,4,16,3,1,4,0,59,23,19,302,7,0.5261324041811847
995,2,11,33,14,3,115,13,1,2,2,13,83,14,26,4,1,2,1,96,21,25,482,7,0.5552995391705069
996,6,22,33,14,10,112,2,0,1,2,13,84,16,11,4,2,1,1,68,29,24,455,7,0.5963302752293578
997,0,9,51,19,4,126,7,0,1,7,16,62,7,14,1,0,1,4,84,21,33,467,7,0.5572792362768496
998,10,10,43,16,4,135,0,0,2,5,13,79,26,9,6,0,5,0,57,45,23,488,7,0.5570776255707762
999,2,16,34,14,8,85,10,0,0,4,12,60,6,16,3,0,3,0,43,20,10,346,7,0.5118343195266272
1000,3,22,32,17,9,84,4,0,0,1,1,47,4,8,4,0,1,3,48,19,13,320,7,0.5414551607445008
1001,4,14,22,19,9,69,5,1,4,6,7,40,18,13,5,1,6,0,22,28,4,297,7,0.5284697508896797
1002,3,10,29,27,8,105,4,1,2,0,14,76,10,35,4,1,3,2,74,27,24,459,7,0.568069306930693
1003,10,23,46,27,7,93,1,0,0,6,15,69,8,19,1,5,7,1,58,26,31,453,7,0.523094688221709
1004,5,9,61,25,6,92,8,2,0,0,7,65,19,22,1,0,0,2,80,35,34,473,7,0.5768292682926829
1005,5,16,30,20,5,66,5,0,2,0,17,68,1,11,2,0,1,0,58,5,12,324,7,0.5200642054574639
1006,4,6,53,26,4,66,3,0,0,2,9,36,3,14,5,0,0,1,38,14,18,302,7,0.5127334465195246
1007,3,11,45,32,16,89,2,0,0,2,8,67,16,22,2,2,6,2,59,19,24,427,7,0.5930555555555556
1008,4,14,60,19,4,129,9,0,0,7,12,79,20,24,3,0,9,3,71,37,25,529,7,0.49858623939679547
1010,9,28,53,26,8,127,6,0,1,8,15,93,25,18,5,7,3,1,72,48,28,581,7,0.529143897996357
1012,7,10,65,22,15,83,15,2,3,6,30,97,23,36,0,1,6,0,101,31,19,572,7,0.5370892018779343
1013,3,27,49,33,12,110,11,0,0,3,24,105,25,20,0,1,5,1,75,38,24,566,7,0.5112917795844625
1014,0,10,24,22,2,67,5,0,0,1,11,65,15,10,4,0,5,0,60,17,17,335,7,0.5611390284757118
1015,1,9,22,10,12,47,0,0,0,1,10,60,26,15,5,1,2,3,31,20,17,292,7,0.503448275862069
1016,2,9,17,17,3,29,1,2,0,3,4,24,12,8,8,3,2,1,23,21,5,194,7,0.46411483253588515
1017,4,26,34,18,9,88,10,3,5,1,14,83,20,28,2,1,1,2,52,29,18,448,7,0.5295508274231678
1018,7,8,35,16,8,66,3,2,7,4,13,83,19,31,0,2,5,1,49,31,28,418,7,0.5400516795865633
1019,4,17,47,11,7,82,2,0,1,0,15,87,25,33,3,2,0,12,64,39,35,486,7,0.5820359281437125
1020,23,8,38,3,6,67,2,3,0,2,13,88,17,30,3,0,1,2,5,62,21,394,7,0.4701670644391408
1021,1,15,42,12,12,75,3,0,1,2,18,51,14,23,3,1,3,3,54,30,18,381,7,0.5505780346820809
1022,2,26,39,14,11,109,5,2,0,1,7,65,21,19,0,2,9,6,59,30,16,443,7,0.5813648293963255
1024,4,6,39,15,6,57,2,1,0,4,14,96,13,29,6,3,12,0,44,29,17,397,7,0.43578485181119647
1025,5,9,27,8,5,67,1,0,0,3,10,78,15,20,2,1,13,2,47,34,21,368,7,0.4617314930991217
1026,5,6,16,11,6,47,6,1,2,1,7,28,8,21,1,3,9,1,21,18,10,228,7,0.41379310344827586
1027,0,15,33,18,12,74,5,1,0,0,10,59,6,13,0,3,5,0,35,55,39,383,7,0.46256038647342995
1028,2,2,31,8,3,46,2,1,0,2,11,56,6,22,0,1,15,2,30,27,20,287,7,0.40767045454545453
1029,3,8,23,19,10,51,2,2,1,1,13,62,10,28,2,2,14,0,42,29,29,351,7,0.43333333333333335
1030,8,7,17,9,2,71,1,1,2,8,13,56,13,28,7,0,6,3,17,38,19,326,7,0.3908872901678657
1031,1,6,23,7,6,59,3,0,0,0,11,60,18,20,4,0,7,1,31,36,18,311,7,0.3774271844660194
1032,2,6,21,12,4,49,0,3,0,5,3,33,9,35,9,3,7,1,20,32,36,290,7,0.39295392953929537
1033,6,9,26,17,9,61,1,0,1,3,8,56,19,28,5,2,5,2,27,25,20,330,7,0.4370860927152318
1034,1,7,22,13,2,40,0,0,2,2,15,42,14,29,5,6,7,0,19,35,23,284,7,0.4264264264264264
1035,3,3,37,4,5,44,0,0,0,2,1,45,6,25,6,0,5,1,26,30,17,260,7,0.41533546325878595
1036,5,6,24,9,4,56,2,0,2,1,17,29,10,14,3,2,34,0,21,29,16,284,7,0.4057142857142857
1037,2,7,17,10,0,101,3,2,0,4,8,43,4,19,3,1,28,0,21,30,24,327,7,0.4510344827586207
1038,6,9,27,13,4,34,1,0,2,4,10,38,12,33,5,2,14,3,33,32,31,313,7,0.42527173913043476
1039,2,2,21,11,1,43,0,2,2,3,10,42,4,18,5,0,11,1,14,29,14,235,7,0.3766025641025641
1040,3,4,17,16,2,58,7,1,0,1,10,56,7,32,2,1,8,3,31,35,15,309,7,0.36829558998808104
1041,6,6,32,9,5,55,1,0,0,0,8,60,12,32,5,2,10,0,32,30,18,323,7,0.4799405646359584
1043,1,5,9,12,5,52,1,0,0,5,10,44,9,27,0,0,1,15,26,28,13,263,7,0.39969604863221886
1044,5,1,14,38,1,35,0,0,0,2,5,49,13,29,2,1,5,1,24,35,9,269,7,0.3649932157394844
1045,2,7,19,23,2,56,2,0,0,0,11,52,9,18,10,1,9,1,32,40,17,311,7,0.42661179698216734
1046,4,9,13,20,1,48,0,0,2,3,6,41,15,25,0,2,9,0,19,21,10,248,7,0.393026941362916
1047,2,6,18,19,2,48,0,0,1,0,6,55,6,25,9,1,3,0,29,29,17,276,7,0.42073170731707316
1048,4,4,11,16,5,49,1,1,1,1,12,38,17,29,12,0,7,0,30,28,28,294,7,0.42424242424242425
1049,3,6,28,6,2,69,10,0,0,3,10,52,4,22,3,4,15,3,16,18,21,295,7,0.45314900153609833
1050,8,15,20,26,4,61,7,0,0,1,4,48,10,20,6,0,25,3,32,27,22,339,7,0.5467741935483871
1051,1,8,23,15,0,58,2,2,0,5,8,66,7,27,1,2,17,2,16,19,16,295,7,0.47275641025641024
1052,7,6,18,9,11,53,3,1,1,0,6,60,17,17,4,0,9,3,37,41,17,320,7,0.47477744807121663
1053,3,6,41,15,5,52,1,1,0,2,6,66,17,14,3,0,8,4,19,17,7,287,7,0.4053672316384181
1054,7,10,31,21,2,70,2,1,0,4,11,58,16,37,5,1,9,1,46,30,18,380,7,0.48717948717948717
1055,3,5,27,15,5,60,1,0,2,4,10,62,21,24,0,3,5,2,33,35,25,342,7,0.4379001280409731
1056,7,8,25,12,2,65,1,2,1,2,9,57,12,25,7,0,13,2,38,31,14,333,7,0.392688679245283
1057,6,3,9,9,4,35,3,0,2,5,9,35,10,27,1,7,6,2,23,15,11,222,7,0.45962732919254656
1058,4,8,36,24,7,79,3,0,0,0,10,85,16,24,1,2,11,3,37,39,38,427,7,0.5065243179122183
1060,1,15,42,17,4,84,17,0,0,6,15,63,11,32,6,3,29,2,46,27,18,438,7,0.4888392857142857
1061,5,9,28,7,0,48,0,1,0,3,12,46,23,21,1,2,7,3,31,53,41,341,7,0.4411384217335058
1062,4,8,23,9,3,42,2,1,0,17,9,62,15,25,2,2,9,2,18,42,17,312,7,0.36923076923076925
1063,2,15,27,11,10,75,2,0,2,5,14,60,25,23,4,11,6,5,31,28,23,379,7,0.474937343358396
1064,8,2,24,17,14,96,2,1,3,9,19,41,20,12,1,1,15,0,34,35,14,368,7,0.4791666666666667
1065,4,2,23,15,5,88,1,2,0,4,7,55,16,18,1,7,6,1,38,29,26,348,7,0.46837146702557203
1066,0,9,45,14,9,94,3,0,1,4,17,84,30,34,2,3,21,2,43,48,28,491,7,0.5504484304932735
1067,14,22,28,7,6,66,3,1,0,5,16,48,12,19,2,5,45,1,30,34,31,395,7,0.519053876478318
1068,1,4,20,8,4,52,1,1,0,1,8,34,16,15,1,1,9,2,37,27,16,258,7,0.5352697095435685
1069,3,19,9,20,4,46,3,0,1,3,7,51,12,24,3,1,0,1,33,23,23,286,7,0.45396825396825397
1070,4,3,16,2,3,15,2,1,0,1,7,43,4,27,2,1,3,0,10,25,19,188,7,0.36153846153846153
1071,1,5,41,8,4,67,2,0,0,1,18,68,22,24,0,2,8,0,39,35,38,383,7,0.46256038647342995
1072,4,9,37,11,9,107,5,1,0,3,13,62,23,26,1,2,11,2,63,47,28,464,7,0.5376593279258401
