SEZIONE,PARTITO COMUNISTA MARCO RIZZO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,MOVIMENTO STORICO ROMANO LISTA NERONE,RICONQUISTARE L'ITALIA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,POTERE AL POPOLO,SETTIMO SOSTENIBILE LISTA CIVICA,REVOLUZIONE CIVICA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,CALENDA SINDACO,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,TOTALE,MUNICIPIO,AFFLUENZA
1121,7,2,17,12,7,107,0,1,1,2,10,54,13,10,2,0,10,1,39,23,20,338,7,0.5540983606557377
1122,1,5,10,6,4,69,0,0,1,1,7,62,9,11,3,1,2,0,34,10,20,256,7,0.5079365079365079
1123,6,11,29,7,5,105,2,5,1,1,8,78,16,44,6,3,9,1,55,30,32,454,7,0.5536585365853659
1124,3,8,33,21,3,121,1,1,1,5,13,88,23,7,3,1,7,3,55,26,28,451,7,0.5262543757292882
1125,3,11,36,17,3,83,0,0,1,3,14,94,24,35,0,0,12,1,69,31,26,463,7,0.4883966244725738
1126,3,7,27,4,4,66,3,1,1,0,11,96,16,34,2,1,5,1,45,19,34,380,7,0.42696629213483145
1136,10,5,50,14,6,76,6,4,1,1,14,104,13,37,6,2,17,3,57,64,29,519,7,0.5274390243902439
1137,4,11,33,17,7,74,3,2,0,5,11,87,16,38,1,0,19,2,38,51,26,445,7,0.5016910935738444
1138,0,14,35,21,3,93,3,0,0,1,10,93,19,38,0,5,10,2,29,34,31,441,7,0.47521551724137934
1139,2,12,23,28,6,69,8,3,1,5,8,48,8,27,4,3,22,4,27,39,23,370,7,0.5457227138643068
1140,3,8,27,9,7,60,2,2,7,4,17,41,18,41,1,4,8,1,25,37,20,342,7,0.462787550744249
1141,4,11,28,11,3,85,2,3,0,0,7,59,14,23,3,0,12,1,41,32,20,359,7,0.4632258064516129
1142,4,4,20,13,2,59,5,1,1,2,7,63,12,22,2,3,7,1,33,40,28,329,7,0.45694444444444443
1143,2,11,33,22,2,77,15,1,2,1,8,59,19,25,1,1,8,0,28,33,25,373,7,0.4763729246487867
1144,9,11,39,22,5,65,7,6,2,3,14,130,19,34,2,2,7,2,52,39,17,487,7,0.5393133997785161
1145,8,2,28,9,2,58,2,3,1,0,6,53,13,17,1,3,2,1,46,31,22,308,7,0.5480427046263345
1146,3,6,46,47,1,52,0,0,0,1,10,39,16,23,2,12,6,3,25,28,17,337,7,0.5192604006163328
1147,4,3,18,23,5,35,4,1,2,1,13,47,12,27,3,0,8,0,22,27,21,276,7,0.4495114006514658
1148,3,12,29,27,4,87,8,1,0,0,10,68,9,24,4,3,11,5,44,43,44,436,7,0.5284848484848484
1149,4,6,17,14,6,64,2,13,0,3,10,51,8,13,0,0,7,0,17,28,18,281,7,0.4363354037267081
1150,4,6,31,31,7,85,1,0,0,3,11,57,15,21,1,1,13,0,41,49,36,413,7,0.48760330578512395
1151,7,1,50,32,3,91,0,1,4,1,7,60,6,33,2,2,12,1,39,28,21,401,7,0.48902439024390243
1152,3,13,36,7,8,103,3,0,0,0,20,130,21,34,2,5,24,2,36,67,56,570,7,0.5205479452054794
1153,5,12,33,12,6,90,3,1,1,2,10,89,25,49,7,3,25,3,43,83,57,559,7,0.48440207972270366
1154,5,4,15,9,5,44,4,0,2,3,19,69,22,25,2,1,13,1,17,50,38,348,7,0.4167664670658683
1155,3,10,18,6,3,51,4,1,4,1,21,108,23,44,2,0,22,3,24,53,32,433,7,0.3732758620689655
1156,12,9,33,10,6,53,8,1,0,0,28,117,16,40,1,4,19,4,27,65,48,501,7,0.48080614203454897
1157,3,12,17,14,6,53,5,1,2,1,11,74,14,18,1,3,15,0,26,44,34,354,7,0.4270205066344994
