SEZIONE,LORENZO MARIA SANTONOCITO,LORENZA BONACCORSI,TOTALE,AFFLUENZA,MUNICIPIO
2113,135.0,155.0,290.0,0.4142857142857143,1
2114,95.0,242.0,337.0,0.5037369207772795,1
2115,122.0,241.0,363.0,0.4820717131474104,1
2116,96.0,195.0,291.0,0.42543859649122806,1
2117,112.0,165.0,277.0,0.4446227929373997,1
2118,77.0,158.0,235.0,0.4094076655052265,1
2119,127.0,228.0,355.0,0.4574742268041237,1
2120,104.0,162.0,266.0,0.4478114478114478,1
2121,174.0,226.0,400.0,0.5194805194805194,1
2122,186.0,222.0,408.0,0.5491251682368775,1
2123,111.0,259.0,370.0,0.5692307692307692,1
2124,152.0,209.0,361.0,0.5084507042253521,1
2125,201.0,286.0,487.0,0.5584862385321101,1
2126,193.0,237.0,430.0,0.5740987983978638,1
2127,242.0,215.0,457.0,0.5066518847006651,1
2128,220.0,225.0,445.0,0.4994388327721661,1
2129,217.0,295.0,512.0,0.5663716814159292,1
2130,155.0,211.0,366.0,0.49795918367346936,1
2131,160.0,288.0,448.0,0.5276796230859835,1
2132,126.0,165.0,291.0,0.4330357142857143,1
2133,130.0,219.0,349.0,0.4154761904761905,1
2134,143.0,182.0,325.0,0.47584187408491946,1
2135,112.0,148.0,260.0,0.43261231281198004,1
2183,142.0,272.0,414.0,0.5136476426799007,1
2184,162.0,289.0,451.0,0.5414165666266506,1
2186,153.0,313.0,466.0,0.5277463193657984,1
2187,149.0,295.0,444.0,0.5235849056603774,1
2189,154.0,285.0,439.0,0.5251196172248804,1
2190,156.0,306.0,462.0,0.5378346915017462,1
2191,149.0,314.0,463.0,0.5231638418079096,1
2192,113.0,244.0,357.0,0.5211678832116788,1
2193,132.0,255.0,387.0,0.5666178623718887,1
2194,115.0,215.0,330.0,0.5339805825242718,1
2195,127.0,269.0,396.0,0.5832106038291606,1
2196,134.0,281.0,415.0,0.5886524822695035,1
2197,115.0,242.0,357.0,0.5211678832116788,1
2198,102.0,229.0,331.0,0.5817223198594025,1
2199,131.0,262.0,393.0,0.5670995670995671,1
2200,95.0,306.0,401.0,0.5985074626865672,1
2201,222.0,93.0,315.0,0.5431034482758621,1
2202,135.0,289.0,424.0,0.6424242424242425,1
2203,137.0,264.0,401.0,0.6039156626506024,1
2204,114.0,245.0,359.0,0.5583203732503889,1
2205,139.0,257.0,396.0,0.6130030959752322,1
2206,116.0,265.0,381.0,0.58887171561051,1
2207,135.0,293.0,428.0,0.5653896961690885,1
2208,124.0,293.0,417.0,0.5673469387755102,1
2209,132.0,247.0,379.0,0.5573529411764706,1
2210,147.0,164.0,311.0,0.5446584938704028,1
2211,57.0,168.0,225.0,0.44466403162055335,1
2212,125.0,123.0,248.0,0.4575645756457565,1
2213,76.0,195.0,271.0,0.4494195688225539,1
2518,105.0,180.0,285.0,0.4460093896713615,1
2519,129.0,328.0,457.0,0.4745586708203531,1
2574,2.0,1.0,3.0,,1
2575,0.0,1.0,1.0,,1
2576,3.0,5.0,8.0,,1
