CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC
LISTA CIVICA VIRGINIA RAGGI
PARTITO COMUNISTA MARCO RIZZO
LEGA SALVINI PREMIER
LISTA CIVICA MICHETTI SINDACO
GIORGIA MELONI FRATELLI D'ITALIA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
PICCA PRESIDENTE
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
POTERE AL POPOLO
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE
REVOLUZIONE CIVICA
CALENDA SINDACO
RICONQUISTARE L'ITALIA
PD PARTITO DEMOCRATICO
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
SINISTRA CIVICA ECOLOGISTA
DEMOS DEMOCRAZIA SOLIDALE - LABORATORIO CIVICO X -
LISTA CIVICA GUALTIERI SINDACO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE
MOVIMENTO CINQUE STELLE 2050
