SEZIONE,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,LISTA CIVICA GUALTIERI SINDACO,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,REVOLUZIONE CIVICA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,RICONQUISTARE L'ITALIA,LIBERISTI ITALIANI,PARTITO COMUNISTA MARCO RIZZO,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,CALENDA SINDACO,NOI X IL 9 MUNICIPIO,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
1673,3,7,24,3,7,3,2,1,5,1,0,6,17,32,8,4,3,26,3,15,31,201,9,0.44567627494456763
1674,7,22,66,8,18,14,7,3,7,1,0,2,20,67,15,5,9,41,3,26,37,378,9,0.5220994475138122
1675,4,5,56,4,9,2,1,2,2,0,0,3,30,70,10,2,6,37,1,20,23,287,9,0.4463452566096423
1676,0,12,37,5,4,6,4,1,0,2,0,2,11,55,25,4,9,22,0,17,30,246,9,0.4685714285714286
1677,7,28,77,6,7,11,6,5,2,2,4,2,27,111,26,6,18,88,4,32,24,493,9,0.5558060879368658
1678,9,23,85,12,24,3,3,3,0,2,1,5,31,81,15,9,10,65,5,44,51,481,9,0.5010416666666667
1679,9,20,83,4,11,15,1,1,2,3,0,6,21,46,10,7,9,42,1,22,43,356,9,0.5468509984639017
1680,3,13,48,4,4,4,5,0,6,0,0,6,33,46,10,6,5,23,0,23,39,278,9,0.4433811802232855
1681,1,15,43,4,4,1,4,2,3,1,0,0,28,42,17,6,9,24,0,20,24,248,9,0.3333333333333333
1682,8,15,72,6,22,9,7,0,2,0,1,4,31,48,8,8,9,2,1,23,35,311,9,0.47699386503067487
1683,0,17,63,2,9,6,6,0,4,1,0,3,32,80,16,4,10,33,1,20,45,352,9,0.43564356435643564
1684,6,8,43,1,6,6,2,0,0,0,0,1,25,76,14,4,7,15,0,19,26,259,9,0.34441489361702127
1685,12,15,80,6,10,5,2,1,1,0,0,4,31,78,19,2,10,35,0,24,48,383,9,0.4537914691943128
1686,4,29,100,6,5,3,20,17,2,0,1,3,13,48,9,9,9,57,3,25,30,393,9,0.5574468085106383
1687,8,39,123,5,18,12,10,2,3,3,0,2,29,95,13,6,11,53,2,45,66,545,9,0.5930359085963003
