CALENDA SINDACO
POTERE AL POPOLO
PARTITO COMUNISTA MARCO RIZZO
GIORGIA MELONI FRATELLI D'ITALIA
LEGA SALVINI PREMIER
LISTA CIVICA MICHETTI SINDACO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
DEMOS DEMOCRAZIA SOLIDALE
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
PD PARTITO DEMOCRATICO
LISTA CIVICA GUALTIERI SINDACO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
SINISTRA CIVICA ECOLOGISTA
REVOLUZIONE CIVICA
MOVIMENTO CINQUE STELLE 2050
LISTA CIVICA VIRGINIA RAGGI
ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD
LIBERISTI ITALIANI
