LISTA,CANDIDATO
PARTITO COMUNISTA MARCO RIZZO,ROBERTO CARACCIOLO
PARTITO COMUNISTA MARCO RIZZO,FEDERICO AMOROSO
PARTITO COMUNISTA MARCO RIZZO,ENRICO BARLETTA
PARTITO COMUNISTA MARCO RIZZO,MARCO BENTIVOGLI
PARTITO COMUNISTA MARCO RIZZO,EMILY BIRO'
PARTITO COMUNISTA MARCO RIZZO,JASMINE BIRO'
PARTITO COMUNISTA MARCO RIZZO,SIMONE CARATELLI
PARTITO COMUNISTA MARCO RIZZO,MARTINA CHIAPPARELLI
PARTITO COMUNISTA MARCO RIZZO,MARIA TERESA CHIEREGATO
PARTITO COMUNISTA MARCO RIZZO,MASSIMO COLA
PARTITO COMUNISTA MARCO RIZZO,MARCO DE SANTIS
PARTITO COMUNISTA MARCO RIZZO,FABIO FOCOLINI
PARTITO COMUNISTA MARCO RIZZO,ALICE LAVORETTI
PARTITO COMUNISTA MARCO RIZZO,VALENTINA LEONELLI
PARTITO COMUNISTA MARCO RIZZO,MATTEO MASTRECCHIA
PARTITO COMUNISTA MARCO RIZZO,CONCETTA OTERI
PARTITO COMUNISTA MARCO RIZZO,MARCO PAPARELLA
PARTITO COMUNISTA MARCO RIZZO,FABIO PETRA
PARTITO COMUNISTA MARCO RIZZO,LORETO VALLUCCI
PD PARTITO DEMOCRATICO,ILEANA ARGENTIN
PD PARTITO DEMOCRATICO,GIUSEPPE ACQUAFREDDA
PD PARTITO DEMOCRATICO,CRISTINA LAURA ASTORI
PD PARTITO DEMOCRATICO,LUCIANO BRAVI
PD PARTITO DEMOCRATICO,NINO BUFALINI
PD PARTITO DEMOCRATICO,CHIARA BUONOPERA
PD PARTITO DEMOCRATICO,ILARIA CECCARELLI
PD PARTITO DEMOCRATICO,LORENZO DE SANTIS
PD PARTITO DEMOCRATICO,ATTILIO FLOCCARI
PD PARTITO DEMOCRATICO,ANTONELLA GIACOMINI
PD PARTITO DEMOCRATICO,SIMONE LEPRI
PD PARTITO DEMOCRATICO,FABRIZIO MANTIONE
PD PARTITO DEMOCRATICO,ANDREA MAURIZI
PD PARTITO DEMOCRATICO,ANDREA MONTANARI
PD PARTITO DEMOCRATICO,GIANLUCA MURASECCHI
PD PARTITO DEMOCRATICO,ANGELO PARRAVANO
PD PARTITO DEMOCRATICO,ANULA PITAGAMA GALLATH RALALAGE
PD PARTITO DEMOCRATICO,ALESSANDRO PORRA
PD PARTITO DEMOCRATICO,STEFANIA PORTARO
PD PARTITO DEMOCRATICO,SABRINA RAGUCCI
PD PARTITO DEMOCRATICO,PAOLA SALA
PD PARTITO DEMOCRATICO,CLAUDIA SALERNO
PD PARTITO DEMOCRATICO,FRANCESCA SERVILIO
PD PARTITO DEMOCRATICO,EMANUELA VERRONE
DEMOS DEMOCRAZIA SOLIDALE,MASSIMO MORETTI
DEMOS DEMOCRAZIA SOLIDALE,Delia ABILA
DEMOS DEMOCRAZIA SOLIDALE,SERGIO BARBAGALLO
DEMOS DEMOCRAZIA SOLIDALE,GUERRINO BONCI
DEMOS DEMOCRAZIA SOLIDALE,FEDERICA CIRAVEGNA
DEMOS DEMOCRAZIA SOLIDALE,SUSANA ANGELINA CLAVARINO
DEMOS DEMOCRAZIA SOLIDALE,FABIO DE FLORENTIIS
DEMOS DEMOCRAZIA SOLIDALE,DANIELA DELLE MONACHE
DEMOS DEMOCRAZIA SOLIDALE,NICOLA DI FLORA
DEMOS DEMOCRAZIA SOLIDALE,ELIDA DI GENNARO
DEMOS DEMOCRAZIA SOLIDALE,GIOVANNA DI STEFANO
DEMOS DEMOCRAZIA SOLIDALE,MAURIZIO D'ONOFRIO
DEMOS DEMOCRAZIA SOLIDALE,MANUELA FRATIANNI
DEMOS DEMOCRAZIA SOLIDALE,MOLKA FRAJ
DEMOS DEMOCRAZIA SOLIDALE,REBECCA LINGUANTI
DEMOS DEMOCRAZIA SOLIDALE,DOMENICO LUCIANO
DEMOS DEMOCRAZIA SOLIDALE,IVANA MASCARO
DEMOS DEMOCRAZIA SOLIDALE,RAFFAELA MILO
DEMOS DEMOCRAZIA SOLIDALE,AMERIGO MIZZON
DEMOS DEMOCRAZIA SOLIDALE,TEODOSIO ORLANDO
DEMOS DEMOCRAZIA SOLIDALE,STEFANO PEPE
DEMOS DEMOCRAZIA SOLIDALE,KATIA PETRUCCI
DEMOS DEMOCRAZIA SOLIDALE,DANIELE ROMANO
DEMOS DEMOCRAZIA SOLIDALE,TEWODROS T MARIAM GEBREAB
LISTA CIVICA GUALTIERI SINDACO,SARA AHMED
LISTA CIVICA GUALTIERI SINDACO,PAOLA BERARDOZZI
LISTA CIVICA GUALTIERI SINDACO,LUIGI BUFFA
LISTA CIVICA GUALTIERI SINDACO,TIZIANA CANINI
LISTA CIVICA GUALTIERI SINDACO,GIANCARLO de CAPRARIIS
LISTA CIVICA GUALTIERI SINDACO,ANDREA DIORIO
LISTA CIVICA GUALTIERI SINDACO,MARISA FICARA
LISTA CIVICA GUALTIERI SINDACO,DAVIDE FILIPPI
LISTA CIVICA GUALTIERI SINDACO,DAVIDE FRUSTERI
LISTA CIVICA GUALTIERI SINDACO,MICHAEL ROBERT JONAS
LISTA CIVICA GUALTIERI SINDACO,MANOLO LO PINTO
LISTA CIVICA GUALTIERI SINDACO,MAURO BATTISTA MILANO
LISTA CIVICA GUALTIERI SINDACO,RICCARDO MURRU
LISTA CIVICA GUALTIERI SINDACO,SONIA PERNA
LISTA CIVICA GUALTIERI SINDACO,FLAVIO QUAGLIERO
LISTA CIVICA GUALTIERI SINDACO,VERONICA QUINTAVALLE
LISTA CIVICA GUALTIERI SINDACO,SILVIA SACCUTI
LISTA CIVICA GUALTIERI SINDACO,AGNESE SANTINI
LISTA CIVICA GUALTIERI SINDACO,ELISA SESSA
LISTA CIVICA GUALTIERI SINDACO,ADRIANO SIAS
LISTA CIVICA GUALTIERI SINDACO,GIANLUIGI TOMEI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,LIDIA ANGELINI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SILVIA BRUNI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,GIUSEPPINA CAPOZZI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ANNUNZIATA CIFARELLI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,FRANCO DURELLI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,TOMMASO FELICI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DANIELE GIUSTOZZI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,FEDERICA LORENZI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,FABIO MANENTI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ILARIA MAZZONI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SUSANNA POLIMANTI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,FRANCESCO PUJA
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ROBERTA RICCI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,GIAN LUCA RIPARBELLI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,GUIDO SILVESTRI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,NICOLA SIMONIELLO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SARAH TESTERINI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,FRANCESCA ZUBBANI
SINISTRA CIVICA ECOLOGISTA,ROBERTA SANTEUSANIO
SINISTRA CIVICA ECOLOGISTA,ELISABETTA PAPINI
SINISTRA CIVICA ECOLOGISTA,TERESA BOSSU'
SINISTRA CIVICA ECOLOGISTA,IVAN ERRANI
SINISTRA CIVICA ECOLOGISTA,EUGENIO BONDI'
SINISTRA CIVICA ECOLOGISTA,ANDREA CAFIERO
SINISTRA CIVICA ECOLOGISTA,LUIGI CAGNAZZO
SINISTRA CIVICA ECOLOGISTA,MARILISA CALO'
SINISTRA CIVICA ECOLOGISTA,MARIA ROSARIA BRUNA D'ERCOLE
SINISTRA CIVICA ECOLOGISTA,NADIA EVANGELISTA
SINISTRA CIVICA ECOLOGISTA,MASSIMO FABIANI
SINISTRA CIVICA ECOLOGISTA,VITO IEMME
SINISTRA CIVICA ECOLOGISTA,OLGA LORE'
SINISTRA CIVICA ECOLOGISTA,GISELA MAGGI
SINISTRA CIVICA ECOLOGISTA,FABIO MAGRINI
SINISTRA CIVICA ECOLOGISTA,ALESSANDRA MARTINELLI
SINISTRA CIVICA ECOLOGISTA,ENRICO PANDOLFI
SINISTRA CIVICA ECOLOGISTA,FABIO PERRONE
SINISTRA CIVICA ECOLOGISTA,GIUSEPPE REITANO
SINISTRA CIVICA ECOLOGISTA,ANDREA URBANI
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROBERTO GENTILE
