LISTA,CANDIDATO
SPORTIVI PER ROMA VIRGINIA RAGGI SINDACA,RODRIGO MILIANTE RIBEIRO
SPORTIVI PER ROMA VIRGINIA RAGGI SINDACA,ILARIA PATITUCCI
SPORTIVI PER ROMA VIRGINIA RAGGI SINDACA,CLAUDIA SPELONCA
SPORTIVI PER ROMA VIRGINIA RAGGI SINDACA,BRUNALDO TOMBELLINI
SPORTIVI PER ROMA VIRGINIA RAGGI SINDACA,SALVATORE UNEDDU
SPORTIVI PER ROMA VIRGINIA RAGGI SINDACA,LUCA VINCENZINI
MOVIMENTO CINQUE STELLE 2050,GIULIANO PACETTI
MOVIMENTO CINQUE STELLE 2050,GERMANA PAOLETTI
MOVIMENTO CINQUE STELLE 2050,PAOLO FERRARA
MOVIMENTO CINQUE STELLE 2050,ANNALISA BERNABEI
MOVIMENTO CINQUE STELLE 2050,DANIELE DIACO
MOVIMENTO CINQUE STELLE 2050,CAROLA PENNA
MOVIMENTO CINQUE STELLE 2050,ROBERTO DI PALMA
MOVIMENTO CINQUE STELLE 2050,ELEONORA GUADAGNO
MOVIMENTO CINQUE STELLE 2050,PIETRO CALABRESE
MOVIMENTO CINQUE STELLE 2050,SARA SECCIA
MOVIMENTO CINQUE STELLE 2050,ANGELO DIARIO
MOVIMENTO CINQUE STELLE 2050,VALENTINA VIVARELLI
MOVIMENTO CINQUE STELLE 2050,ANDREA COIA
MOVIMENTO CINQUE STELLE 2050,SIMONA DONATI
MOVIMENTO CINQUE STELLE 2050,CARLO MARIA CHIOSSI
MOVIMENTO CINQUE STELLE 2050,TERESA MARIA ZOTTA
MOVIMENTO CINQUE STELLE 2050,MASSIMO SIMONELLI
MOVIMENTO CINQUE STELLE 2050,COSTANZA SPAMPINATO
MOVIMENTO CINQUE STELLE 2050,ROBERTO ALLEGRETTI
MOVIMENTO CINQUE STELLE 2050,ANNA FUMAGALLI
MOVIMENTO CINQUE STELLE 2050,GIOVANNI BOCCUZZI
MOVIMENTO CINQUE STELLE 2050,PAOLA CHIOVELLI
MOVIMENTO CINQUE STELLE 2050,ROBERTO ROMANELLA
MOVIMENTO CINQUE STELLE 2050,VERONICA MAMMI'
MOVIMENTO CINQUE STELLE 2050,LINDA MELEO
MOVIMENTO CINQUE STELLE 2050,MARIA GIUSEPPINA CAMPANINI
MOVIMENTO CINQUE STELLE 2050,MARCO CERISOLA
MOVIMENTO CINQUE STELLE 2050,ROBERTA CAPOCCIONI
MOVIMENTO CINQUE STELLE 2050,ANTONINO DI GIOVANNI
MOVIMENTO CINQUE STELLE 2050,PAOLA BIGGIO
MOVIMENTO CINQUE STELLE 2050,ALBERTO ILARIA
MOVIMENTO CINQUE STELLE 2050,VINCENZO MAISANO
MOVIMENTO CINQUE STELLE 2050,MARCELLA SILVANA ROSELLA
MOVIMENTO CINQUE STELLE 2050,EUGENIO TOSATTI
MOVIMENTO CINQUE STELLE 2050,FEDERICO AMATO
MOVIMENTO CINQUE STELLE 2050,MARIA ELENA MAMMARELLA
MOVIMENTO CINQUE STELLE 2050,GIORGIO DI PIETRANTONIO
MOVIMENTO CINQUE STELLE 2050,NUNZIA VASSALLO
MOVIMENTO CINQUE STELLE 2050,ALESSANDRO MARCO GISONDA
MOVIMENTO CINQUE STELLE 2050,GILBERTO KALENDA
MOVIMENTO CINQUE STELLE 2050,ENRICO LUPARDINI
MOVIMENTO CINQUE STELLE 2050,ANDREA MAGGI
MOVIMENTO CINQUE STELLE 2050,ENRICO MALAGUTI
MOVIMENTO CINQUE STELLE 2050,GIOVANNI PALESTRINI
MOVIMENTO CINQUE STELLE 2050,SERGIO PAZZELLI
MOVIMENTO CINQUE STELLE 2050,SARA POMPILI
MOVIMENTO CINQUE STELLE 2050,FABIO TALAMONI
MOVIMENTO CINQUE STELLE 2050,ALESSANDRO VOLPI
ROMA DECIDE VIRGINIA RAGGI SINDACA,PAOLO DE PERSIS
ROMA DECIDE VIRGINIA RAGGI SINDACA,SANDRA COCCO
ROMA DECIDE VIRGINIA RAGGI SINDACA,FRANCESCO CLEMENTI
ROMA DECIDE VIRGINIA RAGGI SINDACA,ALESSANDRO NUNZIO PESCE
ROMA DECIDE VIRGINIA RAGGI SINDACA,GIAMPIERO MARINELLI
ROMA DECIDE VIRGINIA RAGGI SINDACA,GIORGIO BIONDI
ROMA DECIDE VIRGINIA RAGGI SINDACA,CARLO MARIA SIMONETTI
ROMA DECIDE VIRGINIA RAGGI SINDACA,SILVIA DI BLASIO
ROMA DECIDE VIRGINIA RAGGI SINDACA,FEDERICO AMADEI
ROMA DECIDE VIRGINIA RAGGI SINDACA,LUIGI MARGIOTTA
ROMA DECIDE VIRGINIA RAGGI SINDACA,LUCA DELLA SANTA
ROMA DECIDE VIRGINIA RAGGI SINDACA,MARCO BORGESE
ROMA DECIDE VIRGINIA RAGGI SINDACA,MARIO FRATINI
ROMA DECIDE VIRGINIA RAGGI SINDACA,SIMONE GALTIERI
ROMA DECIDE VIRGINIA RAGGI SINDACA,QUINTILIO SAVINA
ROMA DECIDE VIRGINIA RAGGI SINDACA,DOMENICO GAROFALO
ROMA DECIDE VIRGINIA RAGGI SINDACA,FABIO FEDERICI
