SEZIONE,FRANCESCO LADDAGA,MASSIMILIANO SCARINGELLA,MARCO DI CROCE,MARIO MUSUMECI,LUIGI AVVEDUTO,LORENZO MESSINA,SALVATORE VIVACE,MAURO ROTUNNO,LUCA DI EGIDIO,EMANUEL TROMBETTA,PASQUALE BELMONTE,TOTALE,AFFLUENZA
1062,89,1,0,17,114,3,15,2,19,68,4,332,0.39289940828402364
1063,132,0,2,5,143,4,18,5,31,67,2,409,0.5125313283208021
1064,165,1,3,9,100,1,18,0,37,57,8,399,0.51953125
1065,145,2,0,4,103,1,15,1,41,68,4,384,0.5168236877523553
1066,186,0,1,4,167,4,28,2,50,86,0,528,0.5919282511210763
1067,142,1,0,5,98,2,52,1,30,72,14,417,0.5479632063074902
1068,89,1,0,1,73,1,10,2,37,43,1,258,0.5352697095435685
1069,116,0,1,3,100,3,3,1,34,51,3,315,0.5
1070,41,1,0,1,85,2,5,0,10,49,4,198,0.38076923076923075
1071,129,0,0,2,136,0,12,0,41,76,1,397,0.47946859903381644
1072,186,1,0,4,131,1,15,2,72,85,6,503,0.5828505214368482
1073,74,0,0,2,64,1,1,0,4,44,6,196,0.3583180987202925
1076,158,1,2,3,156,8,15,1,27,118,10,499,0.5286016949152542
1077,166,1,1,5,126,3,15,3,33,139,7,499,0.5550611790878754
1078,107,1,2,1,103,0,12,1,30,114,5,376,0.5968253968253968
1079,145,1,3,4,108,1,10,0,35,80,10,397,0.5012626262626263
1080,94,1,1,0,115,1,9,1,31,108,4,365,0.47036082474226804
