PARTITO COMUNISTA MARCO RIZZO
PD PARTITO DEMOCRATICO
DEMOS DEMOCRAZIA SOLIDALE
LISTA CIVICA GUALTIERI SINDACO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
SINISTRA CIVICA ECOLOGISTA
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
LISTA CIVICA MICHETTI SINDACO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
LEGA SALVINI PREMIER
GIORGIA MELONI FRATELLI D'ITALIA
MOVIMENTO CINQUE STELLE 2050
LISTA CIVICA VIRGINIA RAGGI
LIBERISTI ITALIANI
RICONQUISTARE L'ITALIA
ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD
REVOLUZIONE CIVICA
CALENDA SINDACO
POTERE AL POPOLO
