RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
GIORGIA MELONI FRATELLI D'ITALIA
LEGA SALVINI PREMIER
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
PARTITO COMUNISTA MARCO RIZZO
REVOLUZIONE CIVICA
POTERE AL POPOLO
MOVIMENTO CINQUE STELLE 2050
LISTA CIVICA VIRGINIA RAGGI
SINISTRA CIVICA ECOLOGISTA CIACCHERI PRESIDENTE
PD PARTITO DEMOCRATICO
LISTA CIVICA GUALTIERI SINDACO
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
DEMOS DEMOCRAZIA SOLIDALE
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD
RICONQUISTARE L'ITALIA
CALENDA SINDACO
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE
