PARTITO COMUNISTA MARCO RIZZO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
LISTA CIVICA GUALTIERI SINDACO
SINISTRA CIVICA ECOLOGISTA
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
PD PARTITO DEMOCRATICO
DEMOS DEMOCRAZIA SOLIDALE
MOVIMENTO STORICO ROMANO LISTA NERONE
RICONQUISTARE L'ITALIA
ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
GIORGIA MELONI FRATELLI D'ITALIA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
LEGA SALVINI PREMIER
POTERE AL POPOLO
SETTIMO SOSTENIBILE LISTA CIVICA
REVOLUZIONE CIVICA
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE
CALENDA SINDACO
MOVIMENTO CINQUE STELLE 2050
LISTA CIVICA VIRGINIA RAGGI
