SEZIONE,RICONQUISTARE L'ITALIA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,POTERE AL POPOLO,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,PARTITO COMUNISTA MARCO RIZZO,REVOLUZIONE CIVICA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,LISTA CIVICA MICHETTI SINDACO,CALENDA SINDACO,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,SINISTRA CIVICA ECOLOGISTA,LISTA CIVICA GUALTIERI SINDACO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,TOTALE,MUNICIPIO,AFFLUENZA
408,1,1,9,20,14,5,4,7,68,6,20,18,36,3,9,1,4,16,1,62,305,4,0.4271708683473389
409,0,0,6,27,12,2,19,10,103,10,15,4,25,0,9,0,1,14,2,63,322,4,0.4827586206896552
410,0,1,13,49,23,2,2,11,101,6,10,17,35,3,9,0,5,14,4,61,366,4,0.43884892086330934
411,0,0,10,35,28,2,6,10,117,13,28,13,26,0,8,3,8,17,2,114,440,4,0.4700854700854701
449,0,4,5,35,31,3,1,5,57,13,20,13,26,4,10,2,7,12,3,48,299,4,0.5968063872255489
537,1,2,4,35,24,1,1,14,74,21,37,5,37,2,4,2,8,14,3,53,342,4,0.46216216216216216
538,2,1,5,24,25,6,1,13,83,13,40,6,43,2,6,5,5,25,1,53,359,4,0.4705111402359109
539,1,1,1,25,18,3,4,20,92,29,57,10,66,2,2,1,12,12,0,57,413,4,0.513681592039801
540,1,2,4,22,22,1,0,19,59,31,33,7,49,0,6,2,14,6,3,65,346,4,0.5
541,0,2,1,30,20,4,1,9,81,27,24,10,62,4,8,1,10,19,5,54,372,4,0.5344827586206896
542,2,0,6,28,17,4,3,6,84,9,23,8,50,0,7,4,12,18,5,45,331,4,0.48676470588235293
543,0,0,4,30,18,0,2,9,63,9,23,9,35,0,8,4,7,13,1,77,312,4,0.4083769633507853
544,0,1,4,30,20,3,1,3,65,14,30,8,36,1,6,2,20,11,3,47,305,4,0.43948126801152737
545,2,1,2,32,20,3,0,18,71,14,37,8,46,5,2,5,24,23,1,73,387,4,0.48134328358208955
546,0,2,9,35,24,6,0,14,89,22,19,7,46,1,5,6,15,21,0,123,444,4,0.511520737327189
547,2,1,1,38,12,7,1,11,76,7,14,7,54,0,9,3,20,23,2,63,351,4,0.48214285714285715
548,5,2,0,55,20,2,4,10,88,8,21,12,60,1,5,3,5,21,3,79,404,4,0.4938875305623472
549,0,1,0,27,24,4,1,11,75,11,19,10,40,1,16,1,16,22,2,70,351,4,0.5192307692307693
550,1,1,6,31,14,4,4,8,77,8,37,9,27,0,6,4,13,7,3,41,301,4,0.4174757281553398
551,2,2,9,20,23,5,3,12,73,8,17,14,25,2,4,3,7,16,2,38,285,4,0.4523809523809524
552,0,3,3,35,22,4,1,12,96,12,38,13,69,3,6,6,10,19,5,53,410,4,0.45353982300884954
553,1,1,6,43,27,3,0,5,95,10,70,12,30,4,6,3,4,24,3,54,401,4,0.47568208778173193
554,0,0,3,26,16,11,4,12,100,16,24,10,42,0,6,2,16,8,1,56,353,4,0.48092643051771117
555,1,2,7,41,20,5,0,7,72,9,60,6,16,1,4,1,7,6,3,56,324,4,0.3922518159806295
556,0,4,1,34,10,9,0,7,69,9,18,9,36,2,12,3,14,11,6,182,436,4,0.48878923766816146
557,2,1,3,20,12,5,1,1,78,7,27,18,19,1,3,2,7,10,4,105,326,4,0.4217335058214748
558,1,4,7,36,16,3,4,10,64,5,16,13,34,3,3,2,11,27,4,108,371,4,0.4953271028037383
559,0,1,8,36,15,5,1,6,66,7,16,6,15,2,6,3,46,14,3,80,336,4,0.4522207267833109
560,0,0,1,27,13,5,0,2,49,13,17,5,57,1,6,41,9,18,0,60,324,4,0.5567010309278351
561,0,4,19,30,30,8,4,5,91,22,24,9,54,3,8,4,8,28,0,128,479,4,0.5020964360587002
562,5,4,8,37,22,6,3,10,104,16,29,7,70,3,9,7,12,26,3,76,457,4,0.47604166666666664
563,0,4,8,60,38,8,1,11,133,9,39,14,63,2,3,6,8,33,12,97,549,4,0.5130841121495328
564,0,1,11,36,11,10,4,4,98,8,26,8,27,12,4,1,7,20,8,54,350,4,0.38716814159292035
565,2,1,7,33,16,9,3,6,81,9,15,4,18,9,1,2,3,17,3,38,277,4,0.39571428571428574
566,0,1,3,23,25,5,3,9,86,16,36,8,15,3,3,2,5,19,2,46,310,4,0.3668639053254438
567,0,1,10,51,43,5,8,15,72,12,29,13,25,1,4,5,6,12,4,59,375,4,0.42662116040955633
568,10,3,8,69,45,3,2,11,104,15,31,7,92,1,12,7,7,37,9,118,591,4,0.5477293790546802
569,2,1,6,26,24,6,1,7,51,4,19,7,38,4,4,0,3,16,8,68,295,4,0.36783042394014964
570,2,2,5,26,32,7,1,7,65,9,15,10,20,9,8,1,9,12,3,48,291,4,0.40870786516853935
571,10,1,2,28,27,4,1,7,78,7,18,6,53,6,10,3,6,28,5,79,379,4,0.518467852257182
572,1,1,11,58,32,5,2,7,94,10,16,9,65,2,2,2,5,27,5,109,463,4,0.5267349260523322
573,3,3,2,42,30,5,6,11,94,12,27,4,88,0,2,3,1,23,3,81,440,4,0.6085753803596127
574,0,2,1,40,17,0,2,4,65,5,7,8,62,1,12,2,10,28,4,93,363,4,0.5826645264847512
575,9,2,3,32,25,13,0,6,94,12,13,11,64,0,2,0,9,26,0,81,402,4,0.5702127659574469
576,0,1,1,49,27,4,1,12,85,21,20,14,57,3,9,1,13,18,6,92,434,4,0.5549872122762148
644,0,1,1,47,23,7,1,6,75,12,22,19,55,6,10,1,12,23,5,101,427,4,0.5552665799739922
645,0,3,6,50,39,5,3,7,89,11,12,10,72,1,13,8,10,37,6,107,489,4,0.5321001088139282
646,0,4,5,34,28,5,2,6,78,11,23,8,59,9,5,5,5,22,8,99,416,4,0.46068660022148394
647,0,3,6,44,17,2,0,7,73,16,19,11,60,7,15,4,4,29,7,93,417,4,0.5346153846153846
648,4,2,4,53,23,4,1,7,90,9,22,13,73,2,5,5,9,40,13,135,514,4,0.5343035343035343
649,0,0,3,25,19,11,2,12,74,9,21,11,62,9,7,5,15,48,3,137,473,4,0.5664670658682635
650,1,2,2,36,24,8,0,6,76,7,19,11,60,6,7,6,8,26,1,95,401,4,0.5663841807909604
651,3,5,5,42,35,9,0,8,84,10,16,13,98,5,10,14,15,34,2,140,548,4,0.591792656587473
652,0,5,9,30,28,7,6,12,98,15,11,9,86,3,5,4,10,36,4,123,501,4,0.5207900207900208
653,3,1,2,41,29,8,2,4,57,6,18,15,74,6,7,0,17,23,5,102,420,4,0.5957446808510638
654,3,1,6,28,29,6,0,4,80,13,6,5,65,10,7,9,12,30,11,96,421,4,0.5467532467532468
655,2,2,5,74,37,7,3,18,124,17,47,11,42,4,3,1,11,28,2,66,504,4,0.39622641509433965
656,3,0,2,48,28,1,1,3,76,12,44,14,15,1,1,2,3,12,2,53,321,4,0.3651877133105802
2301,0,1,2,48,29,5,2,7,93,10,43,19,40,0,2,1,1,25,1,84,413,4,0.7942307692307692
2350,2,1,2,54,24,3,0,8,52,8,37,15,31,2,6,0,8,12,2,83,350,4,0.4794520547945205
2520,0,1,8,30,45,5,2,11,109,6,47,7,55,7,16,7,7,32,9,91,495,4,0.5844155844155844
2523,1,4,5,48,37,6,0,5,82,16,22,14,63,0,3,2,4,15,3,92,422,4,0.4790011350737798
2572,0,0,2,1,0,0,0,0,4,0,1,3,1,1,0,0,0,1,0,6,20,4,
