SEZIONE,PARTITO COMUNISTA MARCO RIZZO,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,REVOLUZIONE CIVICA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,CALENDA SINDACO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,GIORGIA MELONI FRATELLI D'ITALIA,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA CATALANO PRESIDENTE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,TOTALE,MUNICIPIO,AFFLUENZA
1926,3,36,27,0,3,49,5,37,8,108,9,3,14,90,30,19,0,4,445,11,0.49832026875699886
1927,7,35,30,8,3,43,3,46,6,92,6,15,8,110,34,21,1,2,470,11,0.46168958742632615
1928,6,25,20,2,1,54,1,68,8,81,7,4,3,106,28,25,2,8,449,11,0.4074410163339383
1929,13,42,42,1,5,29,4,28,5,83,4,4,3,104,24,23,3,10,427,11,0.37390542907180385
1931,0,27,30,2,2,23,1,15,2,58,2,16,5,110,42,19,2,8,364,11,0.3510125361620058
1932,1,9,13,0,1,12,0,16,2,28,1,3,10,75,16,9,0,4,200,11,0.28901734104046245
1934,5,39,28,1,0,28,4,34,1,72,0,3,7,66,21,15,0,11,335,11,0.4607977991746905
1935,4,31,44,0,5,47,4,27,7,84,10,2,7,94,34,16,4,8,428,11,0.5077105575326216
1936,3,23,27,1,2,40,0,16,4,70,3,2,1,70,32,16,0,12,322,11,0.45098039215686275
2057,2,38,55,1,3,27,3,15,7,84,2,5,10,149,25,23,1,20,470,11,0.4931794333683106
2058,3,24,33,4,1,18,0,6,7,93,5,5,1,120,35,12,3,4,374,11,0.3238095238095238
2059,6,35,43,1,1,22,10,7,3,165,5,2,6,113,42,17,0,10,488,11,0.42545771578029645
2060,1,24,41,3,0,14,6,8,7,169,4,0,2,146,38,11,1,20,495,11,0.4483695652173913
2061,12,51,54,2,5,37,5,14,3,80,6,12,5,160,58,15,1,9,529,11,0.48800738007380073
2062,5,39,49,0,1,35,4,11,5,72,1,1,6,158,48,16,1,1,453,11,0.507847533632287
2063,5,53,62,2,1,29,1,18,18,73,8,7,3,108,39,14,3,7,451,11,0.3608
2276,2,22,38,1,2,18,1,22,6,66,5,0,1,92,32,14,3,6,331,11,0.5364667747163695
2549,8,56,75,3,2,65,3,31,12,118,10,11,12,141,67,15,4,14,647,11,0.5391666666666667
2553,8,38,49,0,4,57,0,23,0,50,3,11,2,79,22,23,0,7,376,11,0.43568945538818077
2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
2593,0,0,3,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,13,11,
2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,
