MOVIMENTO CINQUE STELLE 2050
LISTA CIVICA VIRGINIA RAGGI
RICONQUISTARE L'ITALIA
PARTITO COMUNISTA MARCO RIZZO
REVOLUZIONE CIVICA
POTERE AL POPOLO
CALENDA SINDACO
LEGA SALVINI PREMIER
GIORGIA MELONI FRATELLI D'ITALIA
LISTA CIVICA MICHETTI SINDACO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
SINISTRA CIVICA ECOLOGISTA
DEMOS DEMOCRAZIA SOLIDALE
LISTA CIVICA GUALTIERI SINDACO
PD PARTITO DEMOCRATICO
AURELIO IN COMUNE - EUROPA VERDE ECOLOGISTA - ROMA FUTURA
