LISTA CIVICA VIRGINIA RAGGI
RICONQUISTARE L'ITALIA
PARTITO COMUNISTA MARCO RIZZO
MOVIMENTO STORICO ROMANO LISTA NERONE
POTERE AL POPOLO
REVOLUZIONE CIVICA
ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD
MPL MOVIMENTO POLITICO LIBERTAS
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
LEGA SALVINI PREMIER
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
GIORGIA MELONI FRATELLI D'ITALIA
LISTA CIVICA MICHETTI SINDACO
CALENDA SINDACO
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
LISTA CIVICA GUALTIERI SINDACO
DEMOS DEMOCRAZIA SOLIDALE
IMPEGNO CIVICO CALISTE PRESIDENTE
SINISTRA CIVICA ECOLOGISTA
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
PD PARTITO DEMOCRATICO
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE
MOVIMENTO CINQUE STELLE 2050
