LISTA CIVICA VIRGINIA RAGGI
CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC
ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE
PD PARTITO DEMOCRATICO
DEMOS DEMOCRAZIA SOLIDALE
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
SINISTRA CIVICA ECOLOGISTA
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
LISTA CIVICA GUALTIERI SINDACO
RICONQUISTARE L'ITALIA
PARTITO COMUNISTA MARCO RIZZO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
GIORGIA MELONI FRATELLI D'ITALIA
LEGA SALVINI PREMIER
LISTA CIVICA MICHETTI SINDACO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
POTERE AL POPOLO
MOVIMENTO STORICO ROMANO LISTA NERONE
CALENDA SINDACO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE
REVOLUZIONE CIVICA
MPL MOVIMENTO POLITICO LIBERTAS
MOVIMENTO CINQUE STELLE 2050
