SEZIONE,FRANCESCA DEL BELLO,PATRIZIO DI TURSI,TOTALE,AFFLUENZA,MUNICIPIO
2144,363.0,103.0,466.0,0.548235294117647,2
2145,220.0,157.0,377.0,0.5703479576399395,2
2146,310.0,166.0,476.0,0.5330347144456887,2
2147,215.0,148.0,363.0,0.4378769601930036,2
2148,200.0,125.0,325.0,0.5327868852459017,2
2149,264.0,144.0,408.0,0.5190839694656488,2
2150,210.0,130.0,340.0,0.5714285714285714,2
2151,216.0,205.0,421.0,0.470917225950783,2
2152,238.0,176.0,414.0,0.518796992481203,2
2153,232.0,213.0,445.0,0.49887892376681614,2
2154,187.0,199.0,386.0,0.5251700680272109,2
2155,220.0,202.0,422.0,0.5248756218905473,2
2156,159.0,129.0,288.0,0.4114285714285714,2
2157,260.0,177.0,437.0,0.5117096018735363,2
2158,253.0,170.0,423.0,0.5522193211488251,2
2159,247.0,184.0,431.0,0.5211608222490931,2
2160,199.0,231.0,430.0,0.4638619201725998,2
2161,208.0,214.0,422.0,0.45376344086021503,2
2162,228.0,271.0,499.0,0.49405940594059405,2
2163,254.0,201.0,455.0,0.4961832061068702,2
2164,252.0,235.0,487.0,0.4793307086614173,2
2165,237.0,201.0,438.0,0.5201900237529691,2
2166,274.0,228.0,502.0,0.5397849462365591,2
2167,231.0,216.0,447.0,0.4775641025641026,2
2168,265.0,218.0,483.0,0.5052301255230126,2
2169,204.0,309.0,513.0,0.49185043144774687,2
2170,199.0,173.0,372.0,0.48627450980392156,2
2171,168.0,170.0,338.0,0.44473684210526315,2
2172,323.0,205.0,528.0,0.5360406091370559,2
2173,297.0,164.0,461.0,0.5372960372960373,2
2174,288.0,207.0,495.0,0.5210526315789473,2
2175,208.0,129.0,337.0,0.5160796324655437,2
2176,275.0,143.0,418.0,0.5257861635220126,2
2177,306.0,143.0,449.0,0.5263774912075029,2
2178,323.0,127.0,450.0,0.5428226779252111,2
2179,275.0,96.0,371.0,0.5322812051649928,2
2180,259.0,135.0,394.0,0.5083870967741936,2
2181,290.0,120.0,410.0,0.5176767676767676,2
2182,249.0,136.0,385.0,0.5085865257595773,2
2535,1.0,3.0,4.0,0.07272727272727272,2
2569,3.0,4.0,7.0,,2
2570,1.0,2.0,3.0,,2
2571,6.0,0.0,6.0,,2
