GIORGIA MELONI FRATELLI D'ITALIA
POTERE AL POPOLO
REVOLUZIONE CIVICA
MOVIMENTO IDEA SOCIALE M.I.S.
PARTITO COMUNISTA MARCO RIZZO
DEMOS DEMOCRAZIA SOLIDALE
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
SINISTRA CIVICA ECOLOGISTA
PD PARTITO DEMOCRATICO
LISTA CIVICA GUALTIERI SINDACO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE
CALENDA SINDACO
RICONQUISTARE L'ITALIA
MOVIMENTO STORICO ROMANO LISTA NERONE
LISTA CIVICA VIRGINIA RAGGI
MOVIMENTO CINQUE STELLE 2050
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
LEGA SALVINI PREMIER
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
LISTA CIVICA MICHETTI SINDACO
LISTA CIVICA LE TORRI NICOLA FRANCO PRESIDENTE
