SEZIONE,PARTITO DELLE BUONE MANIERE,MPL MOVIMENTO POLITICO LIBERTAS,"IL POPOLO DELLA FAMIGLIA ""NO GENDER NELLE SCUOLE""",DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,PARTITO SOCIALISTA ITALIANO PSI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,CALENDA SINDACO,PARTITO COMUNISTA MARCO RIZZO,POTERE AL POPOLO,FIGLI D'ITALIA BAMBINI NEL MONDO CARLO PRIOLO SINDACO,MOVIMENTO STORICO ROMANO LISTA NERONE,REVOLUZIONE CIVICA,RICONQUISTARE L'ITALIA,GIORGIA MELONI FRATELLI D'ITALIA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE DI,PARTITO LIBERALE EUROPEO ROMA CON MICHETTI,ITALIA DEI VALORI,VERITA' 3V LIBERTA',CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDACA,"SPORTIVI PER ROMA ""VIRGINIA RAGGI SINDACA""","MOVIMENTO CINQUE STELLE ""2050""","ROMA DECIDE ""VIRGINIA RAGGI SINDACA""","LISTA CIVICA ""VIRGINIA RAGGI""","CON LE DONNE PER ROMA ""VIRGINIA RAGGI SINDACA""",PARTITO COMUNISTA DEI LAVORATORI,PCI,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,PROGETTO CIVICO ATTIVA ROMA,MOVIMENTO IDEA SOCIALE M.I.S.,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,TOTALE,AFFLUENZA
991,0,0,0,2,28,4,17,9,6,64,100,1,5,0,0,0,0,45,7,10,22,8,2,0,5,2,1,39,2,25,1,0,3,0,0,2,3,413,0.5098765432098765
992,0,0,3,4,35,1,8,7,5,93,95,0,2,0,0,1,0,60,6,4,18,6,0,0,2,2,3,33,1,15,5,0,0,1,1,0,2,413,0.5335917312661499
993,0,0,1,5,28,1,8,1,1,84,99,0,3,0,0,2,0,47,12,9,6,9,0,0,3,4,0,23,0,10,3,0,0,0,0,0,1,360,0.5150214592274678
994,0,0,0,0,27,4,6,9,1,50,85,2,3,0,0,2,2,39,4,3,13,2,0,1,0,5,1,24,0,12,5,0,0,0,0,0,2,302,0.5261324041811847
995,0,0,0,2,36,1,7,5,2,98,129,1,0,0,1,1,2,66,16,5,14,13,0,0,3,2,0,33,0,11,2,0,2,0,1,0,1,455,0.5241935483870968
996,0,0,1,4,24,3,17,12,8,97,98,5,1,0,0,1,0,62,12,11,12,8,0,0,0,9,0,31,2,9,1,1,0,1,1,0,3,434,0.5688073394495413
997,0,0,2,6,37,1,14,10,2,102,92,2,3,0,0,0,0,53,12,6,12,5,1,4,5,5,3,39,0,23,2,0,1,1,0,0,4,447,0.5334128878281623
998,0,0,1,3,46,1,9,11,3,132,80,2,5,0,0,2,2,66,9,11,10,19,0,1,3,6,1,45,0,15,2,0,5,0,0,1,3,494,0.5639269406392694
999,0,1,0,2,26,1,13,6,2,78,69,1,3,0,0,2,0,39,12,8,15,10,0,0,1,0,0,36,0,12,1,0,1,0,0,0,3,342,0.5059171597633136
1000,1,0,2,3,18,1,16,9,4,69,83,0,2,0,0,0,1,42,2,4,8,4,0,0,1,6,1,29,11,0,0,0,0,1,0,0,1,319,0.5397631133671743
1001,0,1,0,7,18,0,11,18,6,45,57,1,4,0,1,3,2,39,8,4,9,6,0,0,2,2,0,41,1,11,2,0,0,2,0,0,2,303,0.5391459074733096
1002,0,1,1,6,28,2,6,17,7,76,118,1,6,0,0,1,1,61,2,16,28,11,2,0,1,5,4,31,1,22,2,0,0,3,0,0,0,460,0.5693069306930693
