SEZIONE,PARTITO DELLE BUONE MANIERE,MPL MOVIMENTO POLITICO LIBERTAS,"IL POPOLO DELLA FAMIGLIA ""NO GENDER NELLE SCUOLE""",DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,PARTITO SOCIALISTA ITALIANO PSI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,CALENDA SINDACO,PARTITO COMUNISTA MARCO RIZZO,POTERE AL POPOLO,FIGLI D'ITALIA BAMBINI NEL MONDO CARLO PRIOLO SINDACO,MOVIMENTO STORICO ROMANO LISTA NERONE,REVOLUZIONE CIVICA,RICONQUISTARE L'ITALIA,GIORGIA MELONI FRATELLI D'ITALIA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE DI,PARTITO LIBERALE EUROPEO ROMA CON MICHETTI,ITALIA DEI VALORI,VERITA' 3V LIBERTA',CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDACA,"SPORTIVI PER ROMA ""VIRGINIA RAGGI SINDACA""","MOVIMENTO CINQUE STELLE ""2050""","ROMA DECIDE ""VIRGINIA RAGGI SINDACA""","LISTA CIVICA ""VIRGINIA RAGGI""","CON LE DONNE PER ROMA ""VIRGINIA RAGGI SINDACA""",PARTITO COMUNISTA DEI LAVORATORI,PCI,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,PROGETTO CIVICO ATTIVA ROMA,MOVIMENTO IDEA SOCIALE M.I.S.,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,TOTALE,AFFLUENZA
1,1,0,0,1,29,3,17,4,8,83,105,3,0,0,0,0,1,108,4,24,23,15,1,0,0,2,3,52,0,21,6,0,0,2,0,1,7,525,0.5271084337349398
2,0,1,0,1,14,1,13,7,6,53,53,0,3,0,0,1,1,59,4,4,17,7,0,0,5,6,1,18,0,8,0,0,1,1,0,1,3,289,0.45085803432137284
3,0,4,0,1,25,1,12,11,6,55,62,0,4,0,0,0,0,44,4,9,20,7,5,0,0,4,2,32,1,11,0,0,1,5,0,0,7,333,0.4215189873417722
4,0,1,0,4,15,0,9,6,0,34,66,2,2,0,0,1,1,48,5,5,11,16,0,0,1,10,1,12,0,6,2,0,1,0,0,0,2,261,0.5294117647058824
5,0,0,1,1,15,0,15,25,7,67,81,1,5,0,1,3,0,61,4,11,16,14,0,0,0,5,2,18,0,7,3,0,0,3,2,0,3,371,0.5587349397590361
6,0,1,0,4,23,1,18,15,5,70,74,1,2,0,1,0,0,52,9,8,10,13,1,1,1,5,2,15,1,6,2,0,3,1,0,0,2,349,0.5109809663250366
7,0,0,0,5,38,0,32,25,1,99,86,0,6,0,0,0,0,31,8,2,15,2,1,0,6,7,3,36,0,9,4,0,1,0,0,1,0,418,0.5920679886685553
8,0,0,1,3,14,0,4,2,5,25,25,0,0,0,0,1,1,29,2,3,13,3,0,2,0,3,1,17,0,3,0,0,0,0,1,1,4,163,0.26633986928104575
9,0,0,0,1,16,1,22,24,5,63,67,0,6,0,0,0,3,89,5,6,12,9,1,0,2,5,0,26,2,10,0,1,1,2,0,0,2,381,0.5013157894736842
10,1,1,1,8,25,0,19,20,2,69,68,0,5,0,1,2,1,52,4,5,21,13,0,0,3,1,1,37,0,5,1,0,1,1,0,1,4,373,0.5290780141843971
11,0,0,1,8,28,1,24,13,13,104,97,0,7,0,0,0,0,68,4,5,14,11,0,0,3,6,0,19,0,10,1,0,1,1,0,0,1,440,0.5385556915544676
12,0,0,1,7,21,0,14,19,2,62,75,2,3,0,0,0,0,31,15,14,18,9,0,0,1,4,1,24,0,5,2,0,0,1,0,0,2,333,0.506079027355623
13,0,0,0,2,28,2,27,32,9,69,72,2,5,0,1,0,1,36,7,9,19,14,0,1,2,7,2,34,1,7,2,2,4,1,0,0,9,408,0.48513674197384066
14,0,0,3,8,30,3,23,28,7,124,134,1,6,0,0,1,1,81,7,19,27,19,0,0,1,7,1,31,0,3,0,0,0,1,0,0,3,570,0.5740181268882175
15,0,0,0,6,33,0,18,10,6,73,80,1,6,0,0,1,0,60,6,9,20,21,0,0,2,11,2,37,1,12,4,0,1,0,0,0,0,420,0.4767309875141884
16,0,0,1,7,24,3,14,13,1,64,89,1,3,0,0,1,0,71,2,4,14,18,0,0,2,3,1,30,0,7,0,0,0,1,0,0,2,377,0.4973614775725594
17,0,0,0,7,30,0,15,17,2,77,121,4,4,0,1,1,2,68,8,4,13,19,0,0,2,4,0,49,0,9,4,1,3,0,0,1,1,467,0.5436554132712457
18,0,0,0,1,16,1,7,3,1,50,115,0,0,0,0,0,0,41,5,7,11,25,0,0,1,0,2,6,0,8,2,0,1,1,0,1,0,306,0.5464285714285714
19,0,0,0,1,15,2,5,6,1,32,73,0,1,0,1,0,2,38,2,9,15,13,0,0,0,2,1,14,0,6,0,0,1,0,0,0,0,241,0.4573055028462998
20,0,0,0,6,24,0,3,8,2,54,161,1,3,0,0,0,0,63,14,14,23,19,0,2,3,4,1,20,1,10,0,0,0,0,0,0,0,436,0.5470514429109159
21,0,0,2,7,22,1,10,19,8,90,138,0,2,0,0,0,2,66,5,7,31,20,2,1,2,4,2,22,0,15,1,0,1,1,0,1,2,484,0.5714285714285714
22,0,0,0,8,25,3,6,12,2,87,126,2,2,0,0,0,1,71,6,12,26,28,0,1,2,9,2,23,3,18,0,1,1,0,0,2,2,482,0.5199568500539374
23,0,0,0,1,17,1,7,4,2,49,86,1,1,0,0,0,0,65,6,11,11,13,0,0,3,1,0,32,0,13,1,0,3,0,1,1,2,332,0.45604395604395603
24,0,1,0,7,23,0,8,5,3,45,88,1,3,0,2,1,2,70,7,8,16,15,0,0,2,5,1,24,1,13,0,0,2,0,1,1,3,358,0.43184559710494574
25,0,0,1,3,32,1,17,9,9,96,74,0,4,0,1,5,0,95,5,17,32,28,0,0,7,9,6,70,6,35,10,2,1,1,0,2,5,584,0.4944961896697714
26,0,0,0,3,12,1,13,2,2,48,45,1,3,0,0,0,0,41,3,3,14,5,0,0,0,4,0,12,0,6,1,0,0,0,0,0,3,222,0.4493927125506073
27,0,0,0,5,15,2,2,1,7,51,86,0,1,0,0,0,0,40,7,3,4,9,1,0,1,0,2,15,0,5,1,0,0,0,0,0,3,262,0.4952741020793951
28,0,1,0,5,21,0,10,11,1,58,131,0,0,0,0,0,3,42,7,5,10,17,2,1,5,3,0,12,0,5,1,0,2,1,0,0,2,357,0.4883720930232558
29,1,0,0,7,43,1,15,10,1,104,150,0,2,0,0,0,1,39,4,9,5,14,0,1,3,4,0,12,1,7,0,0,0,0,0,0,2,436,0.6228571428571429
30,0,0,2,4,24,0,9,16,6,78,186,0,1,0,1,1,1,66,10,19,4,13,0,0,0,2,0,17,1,10,1,0,0,0,1,0,0,476,0.6118251928020566
31,1,0,1,4,30,0,21,20,1,89,140,2,9,0,0,0,0,56,3,6,6,15,1,0,1,2,3,33,0,14,2,0,0,1,0,1,2,465,0.5636363636363636
32,0,0,0,3,30,6,15,15,7,73,162,2,10,0,2,0,0,79,4,7,16,13,0,1,2,2,1,32,0,11,0,0,1,1,0,1,1,497,0.5204188481675392
33,0,0,0,6,39,1,10,15,10,78,151,1,4,1,0,1,2,80,3,11,15,13,0,0,3,4,2,29,0,14,1,0,0,1,0,0,0,495,0.5249204665959704
34,0,0,0,5,29,0,18,7,1,98,241,2,1,0,0,0,1,75,7,12,25,16,1,0,0,4,1,18,0,8,1,0,1,0,0,2,3,580,0.6196581196581197
35,1,0,0,4,37,0,13,11,7,105,168,7,2,0,1,0,0,67,4,12,19,18,1,0,3,0,2,26,0,16,3,0,4,0,0,0,4,535,0.5821545157780196
36,0,0,0,6,30,2,9,12,6,85,129,0,5,0,0,1,0,84,7,8,11,16,0,0,0,1,5,29,1,12,1,0,0,2,0,1,1,466,0.4994640943193998
37,0,0,0,7,18,1,20,1,5,83,105,0,4,0,0,0,2,95,6,18,18,18,0,0,1,6,2,48,0,21,0,1,1,0,0,1,0,484,0.6157760814249363
38,0,0,1,4,17,5,12,3,3,66,107,0,3,0,0,0,0,69,6,10,10,16,0,0,3,6,0,27,0,10,2,0,0,2,0,1,0,383,0.5356643356643357
39,0,0,0,1,39,1,13,11,1,70,130,3,1,0,0,0,1,71,1,13,14,14,1,0,1,5,3,25,0,11,1,0,0,0,0,0,4,435,0.5738786279683378
40,0,0,0,6,22,1,12,12,7,87,122,1,3,0,1,0,0,70,6,7,14,9,0,0,1,4,1,18,0,15,1,0,1,0,0,0,1,425,0.5157766990291263
41,0,0,0,2,25,2,14,16,4,87,181,2,2,0,0,1,0,89,0,14,17,13,1,0,1,2,0,19,1,5,0,0,1,0,0,0,0,500,0.6075334143377886
42,0,0,3,3,18,1,14,11,2,61,105,1,1,0,1,0,1,67,3,4,7,14,0,0,5,0,2,34,0,7,2,0,0,2,0,0,1,370,0.5401459854014599
43,0,0,2,3,27,0,5,5,0,45,85,0,2,0,1,2,0,62,3,5,10,11,0,0,0,1,1,16,0,9,0,0,1,0,0,0,0,297,0.44328358208955226
44,0,0,0,1,19,0,7,5,2,71,64,4,3,0,0,2,0,56,4,7,6,10,0,2,3,3,0,38,0,10,1,0,0,1,0,0,2,321,0.48125937031484256
45,0,0,0,4,21,4,13,10,1,79,86,1,1,0,0,1,0,58,3,11,13,10,1,1,0,0,1,20,4,7,1,1,0,2,0,0,2,358,0.528023598820059
46,0,0,0,2,16,1,11,5,2,59,141,1,3,0,0,0,0,79,1,11,21,15,2,0,2,1,3,20,0,6,0,0,0,0,0,0,3,407,0.5740479548660085
47,1,0,0,5,24,5,14,9,3,72,120,1,2,0,0,0,0,51,9,13,8,7,0,1,1,5,2,30,0,8,3,0,0,0,0,0,0,394,0.5426997245179064
48,0,0,0,5,29,2,19,5,5,96,122,0,2,0,0,1,1,68,8,9,25,12,0,0,3,2,2,20,1,8,0,0,3,0,0,1,1,451,0.5486618004866181
49,0,0,0,2,20,4,14,12,0,90,88,3,3,0,0,2,0,64,3,11,10,12,0,0,2,0,5,39,1,9,5,0,1,1,0,0,2,409,0.5446071904127829
50,0,0,0,5,37,3,29,17,6,90,133,0,3,0,0,1,0,70,7,6,10,12,0,0,4,2,1,29,0,16,0,0,1,0,0,0,1,487,0.6195928753180662
51,0,0,0,9,21,0,12,10,1,78,85,2,2,0,2,1,0,81,7,10,11,9,0,2,1,4,0,31,0,18,1,1,1,0,1,0,2,404,0.507537688442211
52,0,0,4,6,26,2,11,14,1,105,136,2,2,0,0,1,2,98,3,8,17,5,0,0,0,3,1,23,0,10,1,0,0,0,1,1,2,487,0.5695906432748538
53,1,0,0,6,34,1,11,12,2,90,121,1,8,0,4,0,2,72,3,7,14,15,0,1,1,2,1,26,0,9,0,1,0,1,0,0,1,447,0.5457875457875457
54,0,1,0,7,32,0,11,14,5,104,119,2,2,2,0,1,1,89,11,8,9,25,0,0,3,4,0,36,0,10,1,1,0,0,0,0,8,506,0.5736961451247166
55,0,0,0,1,24,1,16,2,1,69,102,1,5,0,0,1,0,46,3,8,11,6,0,0,2,2,0,23,0,5,0,0,0,1,0,1,0,331,0.533011272141707
56,0,0,2,4,32,1,14,6,6,108,108,0,6,1,0,0,1,75,9,8,7,5,0,0,1,1,0,12,0,4,0,0,2,0,0,0,1,415,0.5293367346938775
57,0,0,1,2,27,1,11,6,3,81,166,0,1,0,0,0,0,86,6,4,11,2,0,0,1,5,4,24,0,9,1,0,0,0,0,1,0,453,0.5770700636942675
58,0,0,0,5,20,1,10,9,11,90,165,3,0,0,0,0,0,91,2,18,8,12,1,1,1,3,2,24,0,11,2,0,0,0,0,0,3,493,0.6154806491885143
59,0,0,0,6,27,0,7,7,5,69,116,1,2,0,0,2,0,55,3,5,18,28,0,1,3,1,2,16,0,9,0,1,1,1,1,0,3,391,0.5522598870056498
60,0,0,0,10,25,2,14,6,5,61,120,0,7,0,0,0,1,74,5,7,13,17,0,0,1,1,5,31,1,19,2,1,0,3,0,1,0,433,0.5167064439140812
61,0,0,0,0,24,0,11,9,4,84,142,0,1,0,0,0,0,54,6,15,15,8,0,0,0,5,2,20,0,7,0,0,0,0,0,0,2,409,0.6187594553706506
62,1,0,1,7,19,1,9,15,4,66,119,1,3,0,1,5,0,77,2,8,19,12,0,1,2,4,5,27,0,7,0,0,1,1,0,2,3,424,0.5660881174899867
63,0,0,0,11,26,4,27,6,9,74,227,0,0,0,0,0,0,86,4,12,16,19,0,0,0,5,0,25,2,9,3,0,0,0,0,0,0,565,0.5867082035306335
64,0,0,1,5,37,1,12,6,11,69,195,0,0,0,0,2,1,61,4,10,9,10,0,0,2,2,1,15,2,3,0,0,1,1,0,0,0,461,0.6034031413612565
65,0,0,1,7,28,0,9,10,2,84,152,3,4,0,0,0,0,104,4,16,24,15,1,0,2,3,0,23,4,14,0,0,0,0,2,0,5,522,0.6304347826086957
66,0,1,2,5,21,0,15,11,4,54,118,0,0,0,0,0,0,82,9,8,11,13,1,1,6,5,2,20,1,10,0,0,0,2,0,0,0,402,0.4843373493975904
67,0,0,0,2,27,2,14,4,2,68,84,3,4,0,1,1,0,70,8,16,12,19,3,2,4,8,4,47,0,13,3,1,1,1,0,1,2,427,0.428714859437751
68,0,0,0,3,20,1,25,12,4,71,93,1,6,0,0,0,1,79,2,8,19,18,0,1,6,6,2,52,0,16,2,0,0,0,0,0,5,454,0.5334900117508813
69,0,0,0,3,40,1,23,20,8,70,113,1,10,0,0,5,2,77,3,13,18,14,0,0,3,11,8,36,0,14,2,1,1,1,1,0,3,503,0.5485278080697928
70,0,0,0,0,22,0,28,5,4,69,101,0,6,0,3,1,0,54,10,16,10,15,0,0,4,5,2,35,3,11,3,0,2,1,0,0,0,411,0.576437587657784
71,1,1,1,2,23,0,33,11,9,80,90,0,3,0,2,0,0,67,10,12,9,17,1,0,1,2,2,62,1,12,2,0,0,1,0,0,0,455,0.4897739504843918
72,0,0,1,5,23,2,27,22,7,68,93,4,4,0,1,4,0,52,1,12,9,15,1,0,3,8,2,53,0,17,1,0,1,1,0,0,1,438,0.4872080088987764
73,0,1,0,11,41,2,58,19,13,126,131,4,5,0,1,1,1,50,3,8,21,7,2,2,4,5,3,36,1,17,1,1,3,2,0,0,4,585,0.5625
74,0,1,0,7,28,0,45,17,5,86,95,8,3,0,0,0,0,46,2,7,11,12,0,0,4,9,1,28,0,14,6,0,2,0,0,1,3,441,0.5817941952506597
75,0,0,0,7,34,1,43,10,4,93,138,3,1,0,0,0,0,74,9,6,15,17,1,0,6,8,3,40,1,16,0,0,2,1,1,1,1,540,0.547112462006079
76,0,0,2,7,36,0,21,12,10,101,152,3,6,0,1,1,0,64,10,9,7,21,0,0,5,6,2,35,1,14,1,0,1,2,0,0,5,537,0.5901098901098901
77,0,0,0,7,32,0,81,16,15,111,155,1,6,0,0,2,1,59,7,9,8,20,0,0,2,8,2,39,0,11,2,0,0,0,0,1,9,605,0.6092648539778449
78,0,0,1,2,16,2,17,8,9,77,96,2,3,0,2,0,2,45,3,8,9,24,0,1,2,7,3,28,0,21,1,0,1,0,0,0,5,395,0.4949874686716792
79,0,0,0,6,20,0,17,16,7,62,97,0,7,0,0,0,0,51,2,6,10,14,1,0,2,5,0,41,2,12,2,0,1,1,0,0,0,382,0.47102342786683105
80,0,0,0,5,24,0,20,10,5,76,84,2,1,0,2,0,0,50,8,6,5,18,0,2,2,1,3,39,1,19,0,0,2,0,0,0,0,385,0.48488664987405544
81,0,0,0,5,14,5,38,17,7,64,127,3,7,0,0,0,0,63,8,11,16,16,1,0,3,16,2,38,0,15,2,2,2,0,0,1,2,486,0.5203426124197003
82,0,0,0,6,33,1,41,14,0,87,116,1,6,0,0,1,0,58,5,9,12,18,1,0,2,9,0,29,1,12,3,0,2,1,1,1,3,473,0.503727369542066
83,1,0,1,10,19,1,58,23,8,92,175,3,3,0,1,0,0,53,8,11,13,10,0,1,2,8,2,38,1,16,1,0,1,2,0,0,4,567,0.5653040877367896
84,0,0,0,4,24,0,30,10,6,96,117,0,1,1,0,0,0,58,2,13,15,5,1,0,2,6,3,41,0,23,0,0,1,0,0,0,3,465,0.5218855218855218
85,0,0,0,3,40,0,67,7,3,92,160,3,3,0,2,1,0,58,2,7,25,11,1,1,1,17,4,51,1,21,1,0,1,3,0,0,5,591,0.5771484375
86,0,0,1,15,32,1,58,16,1,118,141,1,4,0,1,4,0,57,3,8,14,6,0,0,3,5,3,36,0,15,1,0,1,1,0,0,2,551,0.5867944621938233
87,0,0,0,8,39,1,39,10,10,81,157,2,1,0,0,1,1,54,7,11,21,11,1,1,1,3,2,32,2,15,1,1,1,0,0,0,3,517,0.55
88,0,0,2,4,28,2,46,10,6,97,100,1,5,0,0,0,0,51,9,8,12,10,1,0,2,4,5,41,0,16,2,1,0,1,1,1,5,472,0.5369738339021616
89,0,0,0,13,35,0,42,8,5,95,88,1,3,0,0,3,1,101,6,13,14,14,1,0,2,6,2,42,2,10,2,1,0,0,2,1,4,517,0.5770089285714286
90,0,0,0,2,18,1,22,13,3,82,78,2,5,0,0,1,3,55,9,9,14,22,0,1,2,5,2,38,0,25,2,0,1,4,0,3,0,422,0.4730941704035874
91,0,0,3,10,25,2,35,7,4,77,97,0,5,0,0,1,0,61,8,5,22,18,1,0,3,4,0,41,0,19,2,0,1,2,1,0,3,458,0.4851694915254237
92,0,0,5,5,29,0,45,18,4,86,160,0,8,0,0,3,2,56,8,14,15,10,2,1,4,1,3,37,1,21,0,0,0,1,0,0,3,542,0.6028921023359288
93,0,0,4,1,20,1,15,10,4,75,73,1,2,0,1,0,0,62,4,10,16,12,1,5,3,8,3,44,1,10,1,2,0,0,0,0,1,391,0.5241286863270778
94,0,0,1,13,32,0,40,6,4,66,80,0,6,0,0,2,0,79,11,11,13,12,3,3,3,7,3,54,0,16,4,1,1,2,0,0,4,477,0.5288248337028825
95,0,0,0,4,21,0,20,12,3,49,107,1,0,0,1,0,0,61,5,17,17,12,0,1,1,3,10,35,0,13,1,0,0,0,0,0,2,399,0.5291777188328912
96,1,0,1,8,24,2,27,13,3,63,112,0,6,0,0,0,0,79,7,14,18,14,0,0,2,7,5,54,0,18,0,0,1,0,0,1,1,481,0.5386338185890257
97,0,0,2,0,23,2,29,16,5,84,104,1,11,0,0,0,0,67,7,17,24,12,1,0,1,9,4,43,0,12,1,0,0,1,1,0,3,480,0.5504587155963303
98,0,0,0,1,9,4,23,5,5,55,66,1,1,0,0,1,0,89,4,14,9,7,0,0,3,2,2,37,1,11,1,0,2,0,1,0,0,355,0.4903314917127072
99,0,0,1,13,31,0,10,7,4,90,91,0,5,0,1,2,1,169,7,7,13,13,0,0,3,1,0,39,2,19,4,1,1,1,2,2,3,543,0.6149490373725934
100,0,0,0,2,42,2,26,20,5,96,140,1,7,0,0,3,0,72,7,10,22,13,0,1,2,1,4,39,2,24,2,0,1,0,2,1,5,557,0.5689479060265578
101,0,0,0,0,25,2,22,10,11,64,84,1,2,0,1,3,0,63,3,11,17,18,0,1,6,1,6,36,2,18,0,0,0,2,0,0,2,412,0.4818713450292398
102,0,0,0,1,29,0,14,9,0,57,154,1,2,0,1,0,0,87,10,20,25,22,2,1,1,1,4,28,0,14,0,0,0,0,1,1,0,486,0.5644599303135889
103,0,0,0,4,29,1,15,4,5,65,115,2,1,0,0,0,0,131,6,15,14,7,2,0,1,1,2,34,2,7,3,1,2,1,0,1,2,473,0.6142857142857143
104,0,0,0,8,21,1,16,9,6,74,125,1,5,0,0,0,1,90,4,19,11,8,0,0,3,3,1,29,0,11,4,0,0,0,0,0,0,450,0.4966887417218543
105,0,1,0,4,12,2,15,3,2,54,101,0,1,1,0,1,0,70,7,8,31,14,0,1,4,5,4,38,2,8,1,0,1,1,0,0,2,394,0.49066002490660027
106,0,0,0,0,17,3,11,3,4,49,101,1,1,0,0,3,1,62,10,9,30,21,2,1,3,2,1,43,0,20,4,0,0,1,0,3,0,407,0.4880095923261391
107,1,0,1,0,26,0,22,3,5,80,134,0,1,0,0,4,0,90,13,13,24,21,0,1,1,3,1,37,0,19,1,0,0,3,1,2,0,507,0.5348101265822784
108,1,0,1,1,20,3,4,3,7,58,119,0,0,1,0,1,0,73,15,9,15,18,6,2,0,2,4,45,1,16,2,0,1,1,0,0,1,436,0.4849833147942158
109,0,0,0,4,17,1,17,3,4,43,45,3,6,0,0,0,1,49,4,7,23,7,1,2,4,8,3,62,1,22,3,0,0,0,0,1,0,344,0.40093240093240096
110,0,0,0,4,14,1,15,11,6,45,26,1,1,0,0,0,0,44,7,10,14,7,2,2,2,1,2,61,1,14,1,0,6,1,1,0,0,304,0.3547257876312719
111,0,0,0,3,11,0,15,12,1,55,34,5,2,0,0,0,0,64,4,7,26,8,0,2,2,6,3,43,3,12,6,0,1,2,0,1,3,331,0.38002296211251435
112,0,0,0,5,12,1,18,13,9,57,40,1,1,0,0,0,2,45,5,10,14,5,1,1,4,3,2,45,1,17,3,0,4,1,0,0,2,323,0.3469387755102041
113,0,0,0,6,18,0,14,16,0,38,47,3,2,0,0,0,0,38,5,10,17,4,1,1,2,5,4,58,0,17,3,0,3,2,0,0,1,315,0.3551296505073281
114,0,0,2,2,32,1,17,6,4,78,113,1,1,0,0,1,0,74,9,10,23,20,0,0,3,7,4,82,0,25,6,3,0,2,0,0,2,528,0.5494276795005203
115,0,0,0,6,2,1,6,8,0,21,21,0,0,0,0,0,0,9,6,3,5,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,97,0.0969030969030969
116,0,1,0,6,11,1,7,21,1,50,40,4,8,0,0,1,0,54,11,8,37,21,0,1,8,6,2,60,0,23,1,2,3,1,0,0,2,391,0.37741312741312744
117,1,0,2,1,11,0,4,16,0,62,52,2,5,2,0,2,1,45,8,6,25,15,0,0,7,2,3,85,0,27,0,0,1,0,1,0,0,387,0.3560257589696412
118,0,0,4,0,15,1,13,9,8,46,57,1,5,0,0,2,0,41,8,12,20,8,0,2,2,7,3,53,1,9,1,0,0,1,2,1,4,336,0.35257082896117525
119,0,0,0,2,25,1,6,10,4,53,28,3,3,0,0,0,0,61,10,7,21,11,0,1,1,10,3,72,0,16,4,0,5,1,0,0,1,359,0.3495618305744888
120,0,0,0,6,21,3,13,9,2,84,175,1,2,0,0,8,0,58,1,14,14,16,1,1,2,1,2,13,0,3,1,0,0,0,0,1,0,453,0.5976253298153035
121,0,0,1,5,25,2,21,7,6,72,182,0,1,1,0,0,0,56,22,14,11,15,3,0,2,3,2,26,1,8,0,0,0,1,0,0,4,492,0.5747663551401869
122,0,0,0,5,30,0,11,8,2,58,200,0,0,0,0,0,0,50,5,9,28,34,0,0,1,2,0,11,0,5,1,0,0,1,0,0,0,461,0.6246612466124661
123,0,0,0,4,35,2,29,6,8,89,250,2,4,0,0,0,1,56,5,9,15,20,1,0,5,9,0,21,1,10,1,0,0,0,0,0,3,587,0.6298283261802575
124,0,1,2,8,42,0,21,13,3,104,239,3,2,0,0,0,0,73,6,13,19,17,0,1,5,0,1,16,0,5,0,1,2,0,0,0,2,600,0.6185567010309279
125,0,0,0,2,24,5,19,5,4,91,225,2,1,0,0,1,1,93,9,16,17,20,0,0,3,3,1,11,0,8,0,0,0,0,0,0,1,565,0.6334080717488789
126,0,0,0,5,30,4,13,11,11,81,212,2,1,0,2,0,1,55,3,13,21,23,0,0,2,1,2,14,0,8,0,3,2,2,0,1,2,528,0.5623003194888179
127,0,0,0,4,25,0,12,9,1,88,189,0,3,0,0,0,0,56,6,19,19,20,0,0,1,1,1,10,0,6,0,0,0,1,0,1,0,472,0.6051282051282051
128,0,0,0,8,38,0,26,15,7,95,212,1,1,0,0,1,0,70,7,11,26,15,1,0,2,1,2,20,0,3,2,0,0,2,0,0,3,570,0.5888429752066116
129,10,0,0,4,32,0,10,10,0,61,148,0,0,0,1,0,0,46,10,6,18,14,8,0,1,1,0,13,0,18,16,0,2,1,1,10,1,442,0.5901201602136181
130,1,0,0,3,49,1,13,11,1,71,185,0,1,0,0,2,0,69,14,13,22,23,0,0,3,2,2,13,1,10,0,0,0,3,0,0,2,515,0.5555555555555556
131,0,0,0,4,33,1,14,14,3,101,216,2,3,0,0,0,0,68,5,9,20,38,1,0,4,7,0,25,0,9,1,0,1,1,0,1,3,585,0.6144957983193278
132,0,1,0,2,38,0,15,3,9,71,205,4,0,0,0,1,2,68,6,5,15,18,5,0,1,4,2,30,0,4,1,0,0,1,0,1,1,514,0.5704772475027747
133,0,0,0,7,26,3,35,12,8,92,231,2,2,0,0,1,2,73,8,11,24,17,1,0,3,4,3,23,1,7,0,0,1,0,1,0,5,603,0.6354056902002108
134,0,1,0,8,23,3,24,20,7,93,175,3,3,0,1,0,6,61,6,10,15,18,0,2,7,3,1,12,5,8,1,3,1,1,0,0,3,524,0.5568544102019128
135,0,0,0,4,31,0,8,9,2,83,182,0,3,0,0,2,4,57,3,17,14,16,2,4,3,3,4,19,0,9,0,0,0,0,0,0,5,485,0.5600461893764435
136,3,0,0,4,37,0,18,8,4,76,209,0,1,0,0,0,1,64,4,11,12,14,0,0,2,2,1,26,0,11,1,0,3,0,0,0,1,514,0.562363238512035
137,0,0,0,2,34,1,11,6,6,82,231,1,0,1,0,0,0,81,8,11,30,14,0,0,0,1,1,18,0,4,0,0,0,0,0,0,4,547,0.5633367662203913
138,0,0,1,9,25,2,36,11,13,98,43,1,3,1,0,0,1,66,6,14,18,26,0,1,0,8,1,30,0,10,1,1,2,0,1,0,0,429,0.4328960645812311
139,0,0,0,2,16,2,13,6,4,79,175,0,1,0,0,1,1,58,7,15,17,17,0,1,2,1,0,14,1,9,1,0,0,0,0,0,1,445,0.4900881057268722
140,0,0,0,4,39,3,25,7,8,106,216,1,5,0,0,0,1,52,4,8,13,5,1,0,4,0,2,23,0,6,1,1,1,3,0,0,0,539,0.5890710382513661
141,0,0,2,0,32,4,26,9,8,124,217,1,1,0,0,0,2,63,5,13,26,21,2,2,3,2,2,32,1,7,0,0,0,2,0,0,2,609,0.6278350515463917
142,0,0,0,5,41,1,18,15,9,97,225,1,3,0,0,1,0,43,7,10,15,21,0,6,5,0,0,17,0,5,0,0,2,0,0,0,5,552,0.6119733924611973
143,0,0,3,3,22,0,7,10,9,68,241,1,1,0,0,0,1,83,9,18,19,10,1,0,1,0,1,16,0,6,0,0,0,0,0,0,2,533,0.6063708759954494
144,0,0,0,2,61,2,22,11,5,84,236,1,2,0,0,0,0,66,12,13,14,24,0,0,2,3,1,26,1,18,1,0,0,0,0,1,2,610,0.5776515151515151
145,0,0,1,7,35,6,11,2,3,74,178,1,0,0,0,2,0,57,5,4,14,22,1,1,1,0,1,19,0,6,0,0,0,0,0,0,0,451,0.5651629072681704
146,21,0,1,2,39,1,7,7,8,60,209,1,1,0,0,0,0,81,13,10,30,18,0,3,2,4,0,24,0,6,0,0,1,0,0,0,0,550,0.5876068376068376
147,0,0,0,4,25,1,18,10,13,110,180,1,1,0,0,0,0,88,3,17,18,25,0,0,0,5,1,25,0,12,2,0,3,0,0,0,0,562,0.5811789038262668
148,0,0,0,1,38,1,16,9,6,78,181,1,6,2,1,1,1,61,7,16,39,21,1,1,2,1,0,20,0,9,2,1,1,2,0,1,2,529,0.5864745011086474
149,0,0,1,6,42,0,12,5,8,83,146,2,4,0,1,0,1,69,8,8,38,14,0,0,0,0,1,40,0,12,0,0,1,0,1,1,0,505,0.5592469545957918
150,0,0,2,4,48,2,18,10,5,68,207,0,3,0,2,0,1,91,8,15,27,12,0,0,1,8,2,27,0,14,1,0,0,0,0,0,1,578,0.578
