SEZIONE,LISTA CIVICA VIRGINIA RAGGI,RICONQUISTARE L'ITALIA,PARTITO COMUNISTA MARCO RIZZO,MOVIMENTO STORICO ROMANO LISTA NERONE,POTERE AL POPOLO,REVOLUZIONE CIVICA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,MPL MOVIMENTO POLITICO LIBERTAS,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,LISTA CIVICA MICHETTI SINDACO,CALENDA SINDACO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,LISTA CIVICA GUALTIERI SINDACO,DEMOS DEMOCRAZIA SOLIDALE,IMPEGNO CIVICO CALISTE PRESIDENTE,SINISTRA CIVICA ECOLOGISTA,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,PD PARTITO DEMOCRATICO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
658,10,0,2,0,2,1,0,1,11,17,4,45,20,12,1,23,2,9,8,2,36,1,29,236,5,0.37942122186495175
659,18,4,6,0,3,3,4,2,13,19,3,53,11,28,4,12,0,5,6,6,46,2,57,305,5,0.46142208774583965
660,25,0,4,1,4,1,1,1,5,19,5,65,11,3,1,5,2,1,10,4,33,0,39,240,5,0.3785488958990536
661,24,1,0,1,3,6,1,1,15,22,18,79,16,34,6,16,0,5,9,4,53,8,50,372,5,0.40567066521264994
662,42,1,2,1,2,5,2,0,17,38,15,132,19,47,4,27,1,7,6,6,64,4,54,496,5,0.45588235294117646
663,29,1,5,0,7,4,0,0,8,32,12,95,6,29,6,15,1,7,6,7,53,6,43,372,5,0.4340723453908985
664,29,0,5,0,3,0,2,0,9,37,5,90,11,25,5,16,2,2,6,3,48,4,33,335,5,0.42458808618504434
665,24,0,4,1,5,3,2,1,17,39,6,125,7,47,13,10,7,4,11,3,59,7,49,444,5,0.5103448275862069
666,28,4,2,1,1,3,2,0,13,38,9,118,8,36,4,19,0,6,8,5,61,11,44,421,5,0.48783314020857477
667,25,1,2,0,4,3,4,0,14,36,7,94,11,25,7,13,3,4,25,7,44,7,49,385,5,0.46497584541062803
