SEZIONE,LISTA CIVICA VIRGINIA RAGGI,RICONQUISTARE L'ITALIA,PARTITO COMUNISTA MARCO RIZZO,MOVIMENTO STORICO ROMANO LISTA NERONE,POTERE AL POPOLO,REVOLUZIONE CIVICA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,MPL MOVIMENTO POLITICO LIBERTAS,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,LISTA CIVICA MICHETTI SINDACO,CALENDA SINDACO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,LISTA CIVICA GUALTIERI SINDACO,DEMOS DEMOCRAZIA SOLIDALE,IMPEGNO CIVICO CALISTE PRESIDENTE,SINISTRA CIVICA ECOLOGISTA,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,PD PARTITO DEMOCRATICO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
511,25,1,4,1,4,0,1,1,14,18,8,118,19,44,6,23,5,16,10,20,71,2,35,446,5,0.46898002103049424
514,17,0,4,2,4,2,3,0,28,36,5,117,8,27,8,10,3,11,12,16,45,0,35,393,5,0.4628975265017668
516,17,1,3,1,0,1,6,1,10,29,8,65,4,37,3,15,2,25,3,14,51,3,42,341,5,0.48575498575498577
517,22,0,3,0,7,1,3,0,11,18,2,62,5,15,0,18,3,5,1,6,36,0,22,240,5,0.6060606060606061
518,10,1,5,1,4,1,5,0,4,12,1,52,6,17,3,14,4,6,5,19,32,0,22,224,5,0.5925925925925926
520,24,2,4,0,7,0,1,1,14,33,4,73,9,31,6,30,1,10,12,19,55,3,39,378,5,0.4068891280947255
522,25,0,5,2,9,3,1,0,12,34,2,86,11,30,3,22,2,21,8,21,66,1,38,402,5,0.44567627494456763
524,29,2,6,0,7,3,2,0,11,31,7,86,10,30,4,27,5,15,8,23,58,1,35,400,5,0.4287245444801715
525,23,0,4,0,11,1,1,0,11,28,4,66,9,24,6,16,3,18,10,14,51,1,37,338,5,0.4004739336492891
526,34,0,6,1,12,2,5,2,15,31,3,60,10,33,10,27,1,12,8,20,37,1,30,360,5,0.44499381953028433
527,25,6,2,3,6,2,7,3,17,14,6,86,8,35,5,17,1,16,8,16,45,0,39,367,5,0.45875
528,35,2,3,0,6,2,5,1,15,27,6,67,9,31,2,19,7,18,8,19,59,1,33,375,5,0.4635352286773795
529,24,4,4,2,5,0,5,0,14,20,9,86,10,24,3,22,4,8,11,33,56,0,44,388,5,0.46916565900846435
530,34,2,1,1,8,2,6,0,11,20,3,61,6,32,0,12,1,7,2,7,31,2,28,277,5,0.4032023289665211
531,31,0,0,0,0,0,0,0,11,22,5,79,16,30,5,44,2,19,8,20,64,0,46,402,5,0.3767572633552015
532,40,1,1,2,7,4,6,0,20,20,11,77,16,27,10,42,2,4,14,20,47,2,44,417,5,0.41369047619047616
533,28,4,5,2,8,2,1,2,14,34,5,82,6,36,12,30,3,14,16,15,51,1,41,412,5,0.38721804511278196
535,25,0,5,2,5,3,1,0,16,40,8,59,17,67,4,9,1,11,11,11,58,2,46,401,5,0.40835030549898166
536,46,0,0,1,7,3,1,1,9,36,4,104,10,63,11,20,1,11,7,7,87,1,55,485,5,0.38188976377952755
578,22,0,7,1,4,2,4,2,22,39,5,90,19,52,5,21,3,8,7,14,69,1,47,444,5,0.7243066884176182
579,31,1,2,1,7,1,4,1,11,35,6,70,16,49,5,11,5,20,11,22,52,1,55,417,5,0.564276048714479
580,17,0,2,0,8,2,7,0,9,21,5,74,13,51,7,10,2,13,7,19,60,2,43,372,5,0.46851385390428213
581,19,1,4,1,5,3,1,1,12,15,2,56,8,49,4,20,3,14,10,31,61,2,41,363,5,0.47575360419397117
582,20,2,8,0,1,2,0,1,7,35,6,87,13,21,2,12,1,13,7,18,46,0,56,358,5,0.47291941875825627
583,20,2,6,1,4,2,5,1,12,20,6,73,9,34,6,13,2,23,6,20,55,3,40,363,5,0.45545796737766625
584,15,0,9,0,7,0,2,0,6,11,5,54,18,9,2,9,2,5,4,11,49,0,32,250,5,0.35765379113018597
585,18,0,2,2,5,2,3,3,8,18,7,50,11,29,2,13,0,1,1,13,58,1,30,277,5,0.3728129205921938
586,12,0,3,0,8,3,1,2,7,19,6,64,33,15,0,18,1,5,5,8,60,0,42,312,5,0.37545126353790614
587,21,0,2,1,2,2,2,1,9,29,7,66,13,25,3,16,0,34,7,13,54,4,48,359,5,0.4448574969021066
588,19,1,5,0,4,3,1,0,12,40,0,65,10,35,2,41,4,14,7,16,47,0,35,361,5,0.4069898534385569
589,13,0,4,0,4,0,2,0,5,35,4,113,10,14,1,10,1,3,2,2,33,1,26,283,5,0.36563307493540054
590,30,0,8,0,5,1,3,0,8,44,7,106,12,35,1,15,4,10,3,15,52,2,37,398,5,0.47664670658682634
591,27,0,2,2,10,0,1,0,12,42,4,81,11,34,5,23,6,10,12,8,61,3,33,387,5,0.47601476014760147
592,20,0,5,0,9,2,0,0,14,54,6,101,10,48,8,45,8,20,4,33,67,2,24,480,5,0.5155746509129968
593,28,1,6,1,1,1,1,2,16,49,18,122,9,52,7,24,4,17,3,8,70,1,31,472,5,0.590738423028786
594,26,0,4,3,4,2,0,1,6,52,4,85,9,33,1,25,1,16,6,10,54,2,38,382,5,0.503957783641161
596,35,1,4,1,4,0,1,0,28,47,8,88,13,63,8,30,2,16,8,10,93,2,49,511,5,0.7395079594790159
597,20,0,8,0,2,3,3,0,15,45,6,91,15,27,2,12,3,16,3,16,61,1,39,388,5,0.5598845598845599
598,20,3,2,1,1,0,2,0,16,72,5,101,6,49,5,21,0,9,5,9,72,6,42,447,5,0.5498154981549815
599,18,1,3,2,6,1,3,1,8,41,3,100,15,38,4,32,0,14,7,6,59,0,37,399,5,0.5691868758915835
600,29,0,11,0,4,1,4,0,9,30,7,92,10,50,3,26,7,22,3,10,78,2,36,434,5,0.5172824791418356
