SEZIONE,REVOLUZIONE CIVICA,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,RICONQUISTARE L'ITALIA,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,LISTA CIVICA MICHETTI SINDACO,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,CALENDA SINDACO,MPL MOVIMENTO POLITICO LIBERTAS,PARTITO COMUNISTA MARCO RIZZO,TOTALE,MUNICIPIO,AFFLUENZA
2442,0,9,4,5,2,78,1,0,7,19,0,5,94,22,23,5,20,0,2,296,15,0.44780635400907715
2443,0,10,3,4,0,94,1,2,16,16,1,7,57,21,19,11,25,0,4,291,15,0.4597156398104265
2444,1,9,5,4,11,77,0,1,10,19,0,5,53,13,16,0,16,1,0,241,15,0.47347740667976423
2445,1,9,2,2,4,74,0,2,15,10,0,4,64,17,21,4,15,0,1,245,15,0.44144144144144143
2446,0,16,6,0,3,42,1,0,20,15,0,2,65,18,19,8,7,0,1,223,15,0.4407114624505929
2447,0,10,3,2,0,103,1,0,15,28,1,6,45,9,24,5,26,0,1,279,15,0.48353552859618715
2448,2,11,4,4,6,81,1,1,7,21,0,9,10,47,19,6,10,0,2,241,15,0.43738656987295826
2449,0,6,2,0,6,69,1,0,11,10,6,7,48,22,10,5,51,0,1,255,15,0.5268595041322314
2450,1,19,6,6,2,67,0,1,14,20,1,8,62,21,34,11,36,0,1,310,15,0.4183535762483131
2451,0,24,8,1,9,84,2,0,15,21,0,17,76,21,19,4,58,1,5,365,15,0.48731642189586116
2452,1,16,2,3,5,99,0,0,13,20,2,16,73,18,20,7,57,0,2,354,15,0.5198237885462555
2453,0,19,6,1,2,58,0,0,17,23,0,8,75,7,22,8,26,0,2,274,15,0.5
2454,1,17,3,4,5,70,1,0,19,22,0,4,60,26,19,3,30,0,4,288,15,0.5026178010471204
2455,0,23,10,5,4,60,4,2,15,21,0,9,95,9,17,10,86,1,4,375,15,0.4652605459057072
2456,0,16,5,2,9,39,0,1,10,8,0,3,50,8,17,6,40,0,1,215,15,0.489749430523918
2457,0,18,3,3,7,61,0,0,3,12,8,3,72,18,15,3,38,0,5,269,15,0.5114068441064639
2458,0,21,2,6,4,99,1,0,10,13,3,10,71,20,18,8,66,1,2,355,15,0.60580204778157
2459,0,14,4,2,12,58,0,1,9,12,3,9,47,17,21,8,48,0,2,267,15,0.4306451612903226
2460,0,25,3,3,5,87,0,2,18,27,1,12,60,14,21,0,75,1,1,355,15,0.4551282051282051
2461,0,17,5,2,8,56,1,0,1,5,2,12,71,21,19,3,93,0,0,316,15,0.5365025466893039
2462,0,22,15,8,9,87,3,2,9,12,1,4,67,34,23,9,65,0,2,372,15,0.5261669024045261
2463,0,23,9,8,6,71,9,3,8,4,2,9,61,7,16,6,61,0,2,305,15,0.5332167832167832
2464,1,27,3,2,8,81,3,0,3,10,0,14,78,30,20,6,115,0,1,402,15,0.5877192982456141
2465,0,18,8,8,6,56,4,1,20,20,1,11,62,29,36,4,78,1,1,364,15,0.5141242937853108
2466,1,27,4,2,8,73,2,1,31,35,1,12,55,44,59,4,66,0,4,429,15,0.4886104783599089
2467,0,10,5,3,0,43,1,0,24,34,0,3,33,17,71,4,15,1,2,266,15,0.4935064935064935
2468,3,17,5,11,6,74,4,0,23,22,0,11,59,21,75,7,35,0,3,376,15,0.5115646258503401
2469,1,13,4,4,3,52,2,0,9,19,0,11,46,11,64,5,45,1,6,296,15,0.4860426929392447
2470,1,19,1,7,4,74,5,2,15,25,4,16,102,41,100,10,143,0,0,569,15,0.5524271844660195
2471,0,22,13,1,8,58,4,1,24,17,0,15,64,27,49,11,42,0,2,358,15,0.45031446540880504
2472,0,23,8,1,5,63,1,1,17,33,0,14,88,34,79,5,54,1,0,427,15,0.45717344753747324
