RICONQUISTARE L'ITALIA
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE
POTERE AL POPOLO
MOVIMENTO CINQUE STELLE 2050
LISTA CIVICA VIRGINIA RAGGI
PARTITO COMUNISTA MARCO RIZZO
REVOLUZIONE CIVICA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA
GIORGIA MELONI FRATELLI D'ITALIA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE
LEGA SALVINI PREMIER
LISTA CIVICA MICHETTI SINDACO
CALENDA SINDACO
ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA
DEMOS DEMOCRAZIA SOLIDALE
SINISTRA CIVICA ECOLOGISTA
LISTA CIVICA GUALTIERI SINDACO
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI
PD PARTITO DEMOCRATICO
