LISTA,CANDIDATO
RICONQUISTARE L'ITALIA,MARZIA COLITTI
RICONQUISTARE L'ITALIA,MICHELAFULVIA BLANDO
RICONQUISTARE L'ITALIA,LEONARDO CORAZZI
RICONQUISTARE L'ITALIA,LUCIA CIRILLO
RICONQUISTARE L'ITALIA,STEFANO GROSSI
RICONQUISTARE L'ITALIA,DOMENICO DE MASI
RICONQUISTARE L'ITALIA,CLAUDIO BARCA LEGRA
RICONQUISTARE L'ITALIA,MICHELE TAMBORRA
RICONQUISTARE L'ITALIA,VALERIO RIGA
RICONQUISTARE L'ITALIA,ADRIANO DRAGOTTA
RICONQUISTARE L'ITALIA,SIMONE DE ROSA
RICONQUISTARE L'ITALIA,ANNALISA MARCOZZI
RICONQUISTARE L'ITALIA,CLAUDIA VERGELLA
RICONQUISTARE L'ITALIA,NINO DI CICCO
RICONQUISTARE L'ITALIA,GIOVANNA CORICCIATI
RICONQUISTARE L'ITALIA,AGATA ANNA GIANNELLI
RICONQUISTARE L'ITALIA,GIAN MARCO ONORATI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,ALESSANDRA TRIGILA
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,RODOLFO MAROCCHINI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,MARIA RITA MARINETTI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,UMBERTO CIARAVOLA
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,EDOARDO MARIA CARPINETI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,NICOLETTA ROSSI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,STEFANO PALLINI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,FRANCO ROTUNNO
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,CARLA MOSCATELLI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,ALESSIO ABOAF
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,LETIZIA ROSSI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,PAOLO BALDASARRE
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,SILVIA BARCA
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,SIMONE DEL BROCCO
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,MAURO DELLA MORTE
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,DANIELA GRECHI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,ROSELLA SANTELLI
POTERE AL POPOLO,MICHELANGELO GIGLIO
POTERE AL POPOLO,MARGHERITA CANTELLI
POTERE AL POPOLO,MASSIMO CIPOLLONI
POTERE AL POPOLO,DAVIDE ANGELILLI
POTERE AL POPOLO,ALESSIA SCIANNIMANICO
POTERE AL POPOLO,LORENZO MASTROCESARE
POTERE AL POPOLO,FABIO MANFREDI
POTERE AL POPOLO,FRANCESCO della VOLPE
POTERE AL POPOLO,GIORDANO FUSA'
POTERE AL POPOLO,ELETTRA LUNA LUCASSEN
POTERE AL POPOLO,ANGELA GAMMUTO
POTERE AL POPOLO,LAURA CARBONARI
POTERE AL POPOLO,SERGIO CARARO
POTERE AL POPOLO,PIER LUIGI FRATINI
POTERE AL POPOLO,FABIO SARANDREA
POTERE AL POPOLO,LUCIA SCIALOTTI
POTERE AL POPOLO,MARIA ANTONIETTA DE GUIDO
POTERE AL POPOLO,GISELDA CINTI
MOVIMENTO CINQUE STELLE 2050,STEFANO ROSATI
MOVIMENTO CINQUE STELLE 2050,RITA LUCIA CATERINA TINNIRELLO
MOVIMENTO CINQUE STELLE 2050,ENRICO MALAGUTI
MOVIMENTO CINQUE STELLE 2050,PRIMULA MAICHNER
MOVIMENTO CINQUE STELLE 2050,FRANCESCO MUSUMECI
MOVIMENTO CINQUE STELLE 2050,DEBORAH SATURNI
MOVIMENTO CINQUE STELLE 2050,SANDRO ROSSI
MOVIMENTO CINQUE STELLE 2050,CRISTIANA MAROTTO
MOVIMENTO CINQUE STELLE 2050,MARCO MAZZOLA
MOVIMENTO CINQUE STELLE 2050,MONICA MARIA LUCAS
MOVIMENTO CINQUE STELLE 2050,ROBERTO SCARLATTEI
MOVIMENTO CINQUE STELLE 2050,PAOLA TURRIZIANI
MOVIMENTO CINQUE STELLE 2050,CARLO VIGEVANI
MOVIMENTO CINQUE STELLE 2050,GIULIANA FILIPPONE
MOVIMENTO CINQUE STELLE 2050,MARCO FRATINI
MOVIMENTO CINQUE STELLE 2050,MARIA COLANGELO
MOVIMENTO CINQUE STELLE 2050,STEFANO CASULA
MOVIMENTO CINQUE STELLE 2050,MARCELLA PAOLA COLELLI
MOVIMENTO CINQUE STELLE 2050,GIUSEPPE RATTI
MOVIMENTO CINQUE STELLE 2050,ROBERTA DI LUIGI
LISTA CIVICA VIRGINIA RAGGI,LORENZO SAPUTI
LISTA CIVICA VIRGINIA RAGGI,BARBARA FRANCESCA VARINI
LISTA CIVICA VIRGINIA RAGGI,MAURIZIO CESARINI
LISTA CIVICA VIRGINIA RAGGI,MARA LAUDAZI
LISTA CIVICA VIRGINIA RAGGI,ANTONIO DE CARLUCCIO
LISTA CIVICA VIRGINIA RAGGI,LUCILLA MOSCUZZA
LISTA CIVICA VIRGINIA RAGGI,ALESSANDRO MORGILLO
LISTA CIVICA VIRGINIA RAGGI,VIVIANA FOSCHI
LISTA CIVICA VIRGINIA RAGGI,ALESSANDRO TRIPODI
LISTA CIVICA VIRGINIA RAGGI,CATERINA NANNI
LISTA CIVICA VIRGINIA RAGGI,CRISTIANO SAGNOTTI
LISTA CIVICA VIRGINIA RAGGI,LUCIA MANCUSO
LISTA CIVICA VIRGINIA RAGGI,GIOVANNI DI LEO
LISTA CIVICA VIRGINIA RAGGI,JESSICA AMADEI
LISTA CIVICA VIRGINIA RAGGI,MARCO COLAROSSI
LISTA CIVICA VIRGINIA RAGGI,MARIA MARTINA PETRICCA
LISTA CIVICA VIRGINIA RAGGI,ALBERTO FRANCIOSI
LISTA CIVICA VIRGINIA RAGGI,MARCELLO GUIDO
LISTA CIVICA VIRGINIA RAGGI,RODRIGO PISANO
PARTITO COMUNISTA MARCO RIZZO,FRANCESCA MINGOZZI
PARTITO COMUNISTA MARCO RIZZO,KATIA CANTELMI
PARTITO COMUNISTA MARCO RIZZO,VALERIO CARIANI
PARTITO COMUNISTA MARCO RIZZO,MARTINA CHIAPPARELLI
PARTITO COMUNISTA MARCO RIZZO,IVAN COLLINI
PARTITO COMUNISTA MARCO RIZZO,ANTONELLA D'ANGELI
PARTITO COMUNISTA MARCO RIZZO,FELICE DELL'ARMI
PARTITO COMUNISTA MARCO RIZZO,MATTEO DI COCCO
PARTITO COMUNISTA MARCO RIZZO,KATIUSCIA MALGARINI
PARTITO COMUNISTA MARCO RIZZO,LOREDANA MASSARO
PARTITO COMUNISTA MARCO RIZZO,MICHAEL MORESI
PARTITO COMUNISTA MARCO RIZZO,MASSIMO MURU
PARTITO COMUNISTA MARCO RIZZO,STEFANO PANICCI
PARTITO COMUNISTA MARCO RIZZO,COSIMO PAPA
PARTITO COMUNISTA MARCO RIZZO,MARIA CRISTINA PETRIANNI
PARTITO COMUNISTA MARCO RIZZO,ANTONIO SOGA
PARTITO COMUNISTA MARCO RIZZO,SIMONE STAZI
PARTITO COMUNISTA MARCO RIZZO,MASSIMO TOTO'
REVOLUZIONE CIVICA,GERMANA DI PIETRO
REVOLUZIONE CIVICA,MARIA AGNESE CATINI
REVOLUZIONE CIVICA,NOEMI ARCESE
REVOLUZIONE CIVICA,SALVATORE CANNONE
REVOLUZIONE CIVICA,CLAUDIA NASTRUCCI
REVOLUZIONE CIVICA,GIANCARLO D'ANDREA
REVOLUZIONE CIVICA,PAOLO D'AMBROSIO
REVOLUZIONE CIVICA,PAOLA RICCARDI
REVOLUZIONE CIVICA,LUCA FERRAIOLO
REVOLUZIONE CIVICA,MARINA CICCACCI
REVOLUZIONE CIVICA,IVO MAZZONE
REVOLUZIONE CIVICA,VINCENZO SPINA
REVOLUZIONE CIVICA,FRANCESCA TRAETTA
REVOLUZIONE CIVICA,FRANCESCA MAZZONE
REVOLUZIONE CIVICA,CLAUDIA MARCELLA FIRMANI
REVOLUZIONE CIVICA,ROBERTO BRANDI
REVOLUZIONE CIVICA,DANIELE CHERUBINI
REVOLUZIONE CIVICA,ANDREA CHERUBINI
REVOLUZIONE CIVICA,SIMONE DE COLLIBUS
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,CRISTINA ANNA ABBRUZZESE
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIANCARLO AMANTE
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,DRUSILLA ANGELOTTI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,PIETRO PAOLO ARNO'
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ARMANDO COLAFRANCESCHI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LUCA DI GIORGIO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ROSA DI MEO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,PAOLA DULIZIA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,FRANCESCA FALCONI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,PAOLO GARZIA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ANNA MARIA GIANCRISTIANO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,STEFANO GIULIANI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,CORRADO IACOPONI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIAMPIERO LEONARDI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,MADDALENA PIAZZA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,MAURIZIO POMPONI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LUCIANO SABATINI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,FRANCESCA SINATO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ENRICO GUTIERREZ TOMASSETTI
GIORGIA MELONI FRATELLI D'ITALIA,LUCA SCERBO POLVERATO
GIORGIA MELONI FRATELLI D'ITALIA,MARIO CASCIANI
GIORGIA MELONI FRATELLI D'ITALIA,FRANCESCO CASTELLANI
GIORGIA MELONI FRATELLI D'ITALIA,ADRIANO CEDRONI
GIORGIA MELONI FRATELLI D'ITALIA,MARA CHIAPPARELLI
GIORGIA MELONI FRATELLI D'ITALIA,FEDERICA CODOGNI
GIORGIA MELONI FRATELLI D'ITALIA,VITO CONTINISIO
GIORGIA MELONI FRATELLI D'ITALIA,PATRIZIA DI BARTOLOMEO
GIORGIA MELONI FRATELLI D'ITALIA,ALFIO DI MARCO
GIORGIA MELONI FRATELLI D'ITALIA,CARLO VINCENZO GALLUZZO
GIORGIA MELONI FRATELLI D'ITALIA,GIANLUIGI LIMIDO
GIORGIA MELONI FRATELLI D'ITALIA,MATTEO MARIANI
GIORGIA MELONI FRATELLI D'ITALIA,ANTONIO MEZZATESTA
GIORGIA MELONI FRATELLI D'ITALIA,STEFANO MONACO
GIORGIA MELONI FRATELLI D'ITALIA,ALESSANDRO NARDONI
GIORGIA MELONI FRATELLI D'ITALIA,PATRIZIA NIEDDU
GIORGIA MELONI FRATELLI D'ITALIA,COSTANZA ONOFRI
GIORGIA MELONI FRATELLI D'ITALIA,IDA PAOLETTI
GIORGIA MELONI FRATELLI D'ITALIA,SERGIO PAONESSA
GIORGIA MELONI FRATELLI D'ITALIA,MATTIA PETRICCA
GIORGIA MELONI FRATELLI D'ITALIA,EMANUELA PROCOPIO
GIORGIA MELONI FRATELLI D'ITALIA,DARIA SCIARRA
GIORGIA MELONI FRATELLI D'ITALIA,CLAUDIA SPAZIANI
GIORGIA MELONI FRATELLI D'ITALIA,GIORGIO SPERANDIO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,DANIELE AMENDOLA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LUIGI BIONDI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,MARCO BONELLI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,GIUSEPPE CIMADORO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,FEDERICO CIRILLO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ALESSANDRO CONTI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,MARZIA CUCCHIARO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LUIGI DE VITIS
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,MAURO D'ONOFRIO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,CRISTIANO FEDERICI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ANDREA FOTI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ELISABETTA MARIANI BARTOLINI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,SALVATORE MAZZA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ELISABETTA MONTINARO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ANGELO MOZZETTA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,MICHELA PASQUALE
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,STEFANO POLASTRI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,MARINA POMANTE
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,DINO MARCO PRIMERANO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RITA REALI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,SILVIA SAMBIASE
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,DANIELA SCANDINARO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ROBERTO STERLICCHIO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ANDREA VENTURINI
LEGA SALVINI PREMIER,FEDERICO ALBANI
LEGA SALVINI PREMIER,BARTOLINO BISCEGLIA
LEGA SALVINI PREMIER,EDOARDO BISOGNI
LEGA SALVINI PREMIER,GENNARO CARLOZZI
LEGA SALVINI PREMIER,ROBERTA CHIATAMONE RANIERI
LEGA SALVINI PREMIER,PAOLA CAROLEO
LEGA SALVINI PREMIER,ENRICO CERA
LEGA SALVINI PREMIER,FABIO DI BELLO
LEGA SALVINI PREMIER,MICHELA ESPOSITO
LEGA SALVINI PREMIER,CINZIA FLATI
LEGA SALVINI PREMIER,FRANCESCO FARINA
LEGA SALVINI PREMIER,DOMENICO GIACCO
LEGA SALVINI PREMIER,LUIGI GIANNELLI
LEGA SALVINI PREMIER,FRANCESCA GIULIANO
LEGA SALVINI PREMIER,FRANCO LAMBOGLIA
LEGA SALVINI PREMIER,ALESSANDRO MARCHESE
LEGA SALVINI PREMIER,STEFANIA MARTELLONI
LEGA SALVINI PREMIER,FABRIZIO MONTANINI
LEGA SALVINI PREMIER,DARIO MUGNAINI
LEGA SALVINI PREMIER,LUCA PERCOSSI
LEGA SALVINI PREMIER,BENEDETTA ROCCI
LEGA SALVINI PREMIER,NADIA ROSSI
LEGA SALVINI PREMIER,NICOLINO VACCA
LEGA SALVINI PREMIER,DARIO ZIMBARDI
LISTA CIVICA MICHETTI SINDACO,ALESSANDRO ARLEO
LISTA CIVICA MICHETTI SINDACO,BENITO CONTENTA
LISTA CIVICA MICHETTI SINDACO,DANIELA DI CORATO
LISTA CIVICA MICHETTI SINDACO,ANTONIO FEGATILLI
LISTA CIVICA MICHETTI SINDACO,MAURO FILONARDI
LISTA CIVICA MICHETTI SINDACO,MANUELA MARIA GAROFALO PICA
LISTA CIVICA MICHETTI SINDACO,HODAN YUSUF TAHIR
LISTA CIVICA MICHETTI SINDACO,MAURO MEGARO
LISTA CIVICA MICHETTI SINDACO,PIERLUIGI MORELLI
LISTA CIVICA MICHETTI SINDACO,ALESSANDRO NARDI
LISTA CIVICA MICHETTI SINDACO,ILARIA NICOLOSI
LISTA CIVICA MICHETTI SINDACO,LUCIANO PALONI
LISTA CIVICA MICHETTI SINDACO,LOREDANA SANTARELLI
LISTA CIVICA MICHETTI SINDACO,STEFANIA STRIVIERI
LISTA CIVICA MICHETTI SINDACO,ALFREDO TOMA
LISTA CIVICA MICHETTI SINDACO,GIUSEPPE ZAMPELLA
CALENDA SINDACO,CECILIA STRATI
CALENDA SINDACO,SIMONETTA PIEZZO
CALENDA SINDACO,ELENA AMELTONIS
CALENDA SINDACO,VINCENZO ARRIGO BARSANTI
CALENDA SINDACO,ELIO CAPODAGLIO
CALENDA SINDACO,ANTONIO CASELLA
