SEZIONE,CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC,LISTA CIVICA VIRGINIA RAGGI,PARTITO COMUNISTA MARCO RIZZO,LEGA SALVINI PREMIER,LISTA CIVICA MICHETTI SINDACO,GIORGIA MELONI FRATELLI D'ITALIA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,PICCA PRESIDENTE,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,POTERE AL POPOLO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,REVOLUZIONE CIVICA,CALENDA SINDACO,RICONQUISTARE L'ITALIA,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE - LABORATORIO CIVICO X -,LISTA CIVICA GUALTIERI SINDACO,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
1993,2,16,1,28,5,51,3,9,8,4,1,0,11,1,53,2,0,3,6,6,1,46,257,10,0.38074074074074077
1994,2,29,8,32,11,66,7,12,10,5,1,3,16,0,51,2,3,11,8,10,1,59,347,10,0.40301974448315914
1995,4,20,13,43,7,66,7,16,13,4,1,3,25,4,63,8,11,9,8,24,6,79,434,10,0.46219382321618746
1996,1,18,5,29,15,78,8,12,13,4,2,2,41,1,73,11,3,8,5,37,6,54,426,10,0.4707182320441989
1997,0,9,1,38,4,78,6,4,6,5,2,1,66,0,90,10,2,4,11,28,3,44,412,10,0.555256064690027
1998,6,22,5,77,5,59,5,4,21,4,2,2,37,0,71,6,2,13,3,14,4,62,424,10,0.39078341013824885
1999,2,35,7,102,17,108,6,8,18,0,2,3,17,2,60,1,4,13,3,8,3,76,495,10,0.4227156276686593
2000,2,22,10,62,14,102,9,5,7,5,2,4,49,1,98,11,5,34,3,9,2,59,515,10,0.4909437559580553
2001,4,34,9,68,5,154,4,13,15,3,5,2,55,1,90,7,7,24,5,28,6,110,649,10,0.5200320512820513
2002,8,23,6,45,15,124,4,4,13,4,2,7,45,4,75,14,5,18,6,14,1,70,507,10,0.5090361445783133
2003,2,24,11,60,14,118,12,8,8,1,7,2,24,2,59,8,6,9,2,10,4,60,451,10,0.44742063492063494
2004,5,26,10,67,17,91,20,18,18,7,3,2,29,1,91,3,0,16,10,13,0,79,526,10,0.4372402327514547
2005,7,22,4,39,12,87,6,4,27,3,1,4,67,0,131,3,9,11,6,24,5,101,573,10,0.47433774834437087
2006,62,15,5,29,78,17,8,8,13,3,1,0,35,1,69,12,4,4,5,9,0,1,379,10,0.4211111111111111
