SEZIONE,CALENDA SINDACO,POTERE AL POPOLO,PARTITO COMUNISTA MARCO RIZZO,GIORGIA MELONI FRATELLI D'ITALIA,LEGA SALVINI PREMIER,LISTA CIVICA MICHETTI SINDACO,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,DEMOS DEMOCRAZIA SOLIDALE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,LISTA CIVICA GUALTIERI SINDACO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,REVOLUZIONE CIVICA,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,LIBERISTI ITALIANI,TOTALE,MUNICIPIO,AFFLUENZA
164,76,5,3,77,18,12,23,5,2,13,106,14,10,6,0,22,13,4,0,409,2,0.47447795823665895
165,132,5,8,85,14,12,38,5,1,11,129,31,12,14,0,30,17,4,0,548,2,0.5586136595310908
166,125,4,4,59,12,17,16,8,4,3,94,19,28,22,3,16,11,0,1,446,2,0.5419198055893074
167,122,3,3,59,56,17,24,7,3,7,97,20,20,12,1,15,10,7,1,484,2,0.5817307692307693
168,82,5,3,99,28,14,9,5,2,5,74,17,16,10,0,15,4,2,2,392,2,0.49936305732484076
169,152,1,8,72,21,11,29,2,1,16,71,31,14,8,6,21,12,2,3,481,2,0.5320796460176991
170,180,11,3,109,23,10,29,5,2,4,123,37,20,12,3,24,7,3,0,605,2,0.6262939958592133
171,140,6,2,91,19,6,14,6,9,10,117,28,15,19,0,13,9,1,0,505,2,0.5592469545957918
172,11,0,1,20,4,0,5,4,0,3,28,12,2,1,0,8,5,0,0,104,2,0.48372093023255813
391,56,3,3,31,11,2,8,1,1,11,59,14,15,11,0,18,21,3,3,271,2,0.35149156939040205
392,29,0,1,32,8,3,6,0,5,6,65,21,3,11,1,10,5,5,1,212,2,0.46593406593406594
393,98,6,8,40,17,9,5,3,12,3,68,23,14,21,0,22,13,4,0,366,2,0.593192868719611
394,35,14,10,27,7,2,4,1,5,2,53,26,19,22,1,18,14,11,1,272,2,0.46815834767641995
395,49,5,4,31,10,6,5,3,9,4,47,29,12,18,0,28,13,5,1,279,2,0.44711538461538464
396,53,13,6,25,7,7,8,2,17,9,64,40,13,17,6,21,13,9,0,330,2,0.4558011049723757
397,53,13,11,27,18,9,9,6,7,12,59,35,22,20,2,25,24,6,1,359,2,0.4818791946308725
398,27,4,1,43,13,6,3,0,8,4,34,44,12,9,0,12,15,0,0,235,2,0.35987748851454826
399,27,19,3,24,7,6,3,2,12,9,62,17,19,24,1,17,15,6,1,274,2,0.44844517184942717
400,55,0,0,33,14,7,2,3,28,10,52,45,25,23,0,13,19,0,0,329,2,0.42727272727272725
401,45,7,6,35,12,12,6,7,9,8,50,25,4,31,1,18,11,7,2,296,2,0.46614173228346456
2136,171,0,0,64,23,11,25,6,3,6,76,34,14,5,2,23,0,0,0,463,2,0.5943517329910141
2137,158,5,5,74,53,9,23,5,11,4,97,39,24,13,1,15,11,3,0,550,2,0.5445544554455446
2138,138,1,1,59,49,7,22,3,1,12,135,31,15,7,0,17,18,0,0,516,2,0.6035087719298246
2139,91,3,4,39,70,11,9,6,4,5,135,24,11,15,0,24,8,5,0,464,2,0.5266742338251986
2140,90,1,4,54,76,7,9,2,5,4,107,23,14,9,0,20,12,12,0,449,2,0.4944933920704846
2141,90,3,1,60,37,10,17,4,4,14,102,27,7,8,0,17,19,1,1,422,2,0.4861751152073733
2142,92,4,2,50,53,10,10,5,0,9,120,26,20,15,1,20,9,3,0,449,2,0.577120822622108
2143,117,5,4,44,53,7,8,0,3,4,96,32,12,14,0,22,10,2,1,434,2,0.5364647713226205
2144,103,6,4,38,58,6,7,3,1,5,165,25,27,12,2,19,11,0,0,492,2,0.5788235294117647
2145,94,2,2,61,56,10,19,2,5,5,84,20,2,12,2,16,8,0,0,400,2,0.6051437216338881
2146,131,3,3,82,64,10,22,4,4,7,117,22,11,15,2,23,8,1,0,529,2,0.5923852183650616
2147,66,7,4,68,70,4,12,7,2,5,79,21,15,17,3,29,14,2,0,425,2,0.5126658624849216
2148,55,4,7,42,60,7,7,3,1,7,79,9,8,12,4,31,10,3,0,349,2,0.5721311475409836
2149,75,10,4,41,68,12,9,6,0,6,74,22,25,8,0,27,10,1,1,399,2,0.5076335877862596
2150,85,1,4,36,57,6,8,3,1,1,69,18,8,7,0,15,21,0,3,343,2,0.5764705882352941
2151,135,0,3,88,46,13,24,8,3,6,73,21,14,8,0,9,19,2,0,472,2,0.5279642058165548
2152,172,3,2,93,37,9,27,6,0,4,64,25,11,3,1,10,5,2,0,474,2,0.5939849624060151
2153,165,1,3,87,38,8,40,9,7,6,78,32,13,2,1,14,4,3,3,514,2,0.5762331838565022
2154,128,0,0,105,35,21,30,4,7,6,68,18,3,2,0,5,9,0,0,441,2,0.6
2155,124,1,3,110,26,20,30,6,0,2,83,30,5,3,0,11,6,3,2,465,2,0.5783582089552238
2156,94,2,2,102,18,9,21,1,6,1,61,13,5,4,0,5,11,0,1,356,2,0.5085714285714286
2157,176,6,3,75,42,14,33,5,5,5,76,38,8,10,0,18,6,0,2,522,2,0.6112412177985949
2158,144,3,3,80,34,13,19,4,6,7,80,36,15,10,10,8,12,0,4,488,2,0.6370757180156658
2159,218,0,0,70,43,11,14,8,2,3,72,21,11,12,0,6,5,1,0,497,2,0.6009673518742442
2160,159,3,0,106,32,12,27,9,2,4,78,27,7,0,0,11,6,0,4,487,2,0.5253505933117584
2161,202,1,3,101,35,12,24,3,1,2,42,27,9,9,0,11,8,2,0,492,2,0.5290322580645161
2162,198,0,3,109,41,10,37,7,3,2,72,44,7,2,0,9,7,1,4,556,2,0.5504950495049505
2163,200,3,1,79,34,15,39,7,3,9,74,45,5,3,0,4,2,2,3,528,2,0.5757906215921483
2164,212,1,1,108,36,11,30,4,10,5,76,36,8,4,1,20,5,0,3,571,2,0.562007874015748
2165,171,1,2,97,32,9,25,5,1,3,64,38,5,8,0,14,13,0,1,489,2,0.5807600950118765
2166,214,2,2,119,36,8,21,3,4,2,63,35,13,7,2,12,8,0,2,553,2,0.5946236559139785
2167,185,3,1,110,36,19,36,7,2,6,59,40,3,7,2,10,3,0,1,530,2,0.5662393162393162
2168,195,3,2,105,37,9,36,7,7,3,75,40,11,3,0,9,5,0,2,549,2,0.5742677824267782
