LISTA,CANDIDATO
CALENDA SINDACO,MARINELLA ANTONIA INGUSCIO
CALENDA SINDACO,MARCO DOLFI
CALENDA SINDACO,SOFIA PALMA BIANCONE
CALENDA SINDACO,FRANCESCO CAPONE
CALENDA SINDACO,LILIANA CHERUBINI
CALENDA SINDACO,VITTORIO COCUZZOLI
CALENDA SINDACO,FABIO CORTESE
CALENDA SINDACO,FEDERICO d'AUDINO
CALENDA SINDACO,ALESSANDRO FAENZA
CALENDA SINDACO,PAOLO GALASSO
CALENDA SINDACO,ILARIA GARCOVICH
CALENDA SINDACO,FEDERICO GOYA
CALENDA SINDACO,LORENZO INNOCENTI
CALENDA SINDACO,RITA LATTANZI
CALENDA SINDACO,FRANCESCO LAVERGATA
CALENDA SINDACO,SERENA MASSARI
CALENDA SINDACO,MARIA BEATRICE MATTEI
CALENDA SINDACO,SILVIA NIGRO
CALENDA SINDACO,LUCA OLIVETTI
CALENDA SINDACO,MARCO PACIOTTA
CALENDA SINDACO,ADAMO PALMIERI
CALENDA SINDACO,ULDERICO SCONCI
CALENDA SINDACO,ALDO STEVANIN
CALENDA SINDACO,NEVIO ZAGARIA
POTERE AL POPOLO,MARGHERITA CANTELLI
POTERE AL POPOLO,BIANCA HAYDEE CLEMENTE
POTERE AL POPOLO,BARBARA CACCHIONE
POTERE AL POPOLO,ELETTRA LUNA LUCASSEN
POTERE AL POPOLO,MICHELANGELO TRONTI
POTERE AL POPOLO,DOMENICO CALDERONI
POTERE AL POPOLO,LORENZA MASI
POTERE AL POPOLO,FRANCESCO DELLA VOLPE
POTERE AL POPOLO,MARGHERITA FILIPPOZZI
POTERE AL POPOLO,LUDOVICA SPINOLA
POTERE AL POPOLO,MASSIMO MONDELLI
POTERE AL POPOLO,FRANCESCO SCHETTINO
POTERE AL POPOLO,PAOLO BADALI'
POTERE AL POPOLO,TIZIANA PICA
POTERE AL POPOLO,RICCARDO ANIELLO
POTERE AL POPOLO,GIULIA LAPENNA
POTERE AL POPOLO,ALESSANDRO PERRI
PARTITO COMUNISTA MARCO RIZZO,MARCO BERTUCCELLI
PARTITO COMUNISTA MARCO RIZZO,DECIO ALEMANNI
PARTITO COMUNISTA MARCO RIZZO,MARCO CASTELLANO
PARTITO COMUNISTA MARCO RIZZO,GIULIA CATINO
PARTITO COMUNISTA MARCO RIZZO,BENEDETTO CROCCO
PARTITO COMUNISTA MARCO RIZZO,LORENZO DI MARCELLO
PARTITO COMUNISTA MARCO RIZZO,ALBERTO FONTANESI
PARTITO COMUNISTA MARCO RIZZO,ANGELO GIANCOTTI
PARTITO COMUNISTA MARCO RIZZO,VALENTINA LEONELLI
PARTITO COMUNISTA MARCO RIZZO,SILVANA MARCONATO
PARTITO COMUNISTA MARCO RIZZO,BEATRICE NENCHA
PARTITO COMUNISTA MARCO RIZZO,LUCIANO PIACENTINO
PARTITO COMUNISTA MARCO RIZZO,LUCA SERNI
PARTITO COMUNISTA MARCO RIZZO,SIMONE SORRENTINO
PARTITO COMUNISTA MARCO RIZZO,LUIGI STAZI
PARTITO COMUNISTA MARCO RIZZO,GIUSEPPE TARANTINI
PARTITO COMUNISTA MARCO RIZZO,PAOLA TENTI
PARTITO COMUNISTA MARCO RIZZO,GIUSEPPINA ZINFOLLINO
GIORGIA MELONI FRATELLI D'ITALIA,HOLLJWER PAOLO
GIORGIA MELONI FRATELLI D'ITALIA,SANDRA ALESSIA BERTUCCI
GIORGIA MELONI FRATELLI D'ITALIA,ELISABETTA BIANCHI
GIORGIA MELONI FRATELLI D'ITALIA,MARIA PIA CAMUSI
GIORGIA MELONI FRATELLI D'ITALIA,ROBERTO CAPPIELLO
GIORGIA MELONI FRATELLI D'ITALIA,FRANCESCO CIPOLLI
GIORGIA MELONI FRATELLI D'ITALIA,ENRICO COLA
GIORGIA MELONI FRATELLI D'ITALIA,CATIA COX
GIORGIA MELONI FRATELLI D'ITALIA,CARLO D'AMICO
GIORGIA MELONI FRATELLI D'ITALIA,STEFANIA DE BELLIS
GIORGIA MELONI FRATELLI D'ITALIA,ALESSANDRO DE FEO
GIORGIA MELONI FRATELLI D'ITALIA,DANIELA DE GIORGI
GIORGIA MELONI FRATELLI D'ITALIA,ROBERTA DONDA
GIORGIA MELONI FRATELLI D'ITALIA,SIMONE GASPARINI
GIORGIA MELONI FRATELLI D'ITALIA,ANGELO GIZZI
GIORGIA MELONI FRATELLI D'ITALIA,MARIANO GRIMALDI
GIORGIA MELONI FRATELLI D'ITALIA,EMANUELE IANNUZZI
GIORGIA MELONI FRATELLI D'ITALIA,CARLO MARCHETTI
GIORGIA MELONI FRATELLI D'ITALIA,LUCA MORINI
GIORGIA MELONI FRATELLI D'ITALIA,ROMINA NICOLETTI
GIORGIA MELONI FRATELLI D'ITALIA,SIMONE PELOSI
GIORGIA MELONI FRATELLI D'ITALIA,LEONORA PERESSO
GIORGIA MELONI FRATELLI D'ITALIA,FABRIZIO ROSSI
GIORGIA MELONI FRATELLI D'ITALIA,CHIARA TOGLIANI
LEGA SALVINI PREMIER,FRANCESCO DE SALAZAR
LEGA SALVINI PREMIER,IVANA ABENAVOLI
LEGA SALVINI PREMIER,CRISTINA ARNDT
LEGA SALVINI PREMIER,MICHELE BANDINI
LEGA SALVINI PREMIER,BARBARA BARUCCA
LEGA SALVINI PREMIER,CLAUDIA BELLOCCHI
LEGA SALVINI PREMIER,PAOLO CALDANI
LEGA SALVINI PREMIER,ALESSANDRO CHIAVARELLI
LEGA SALVINI PREMIER,ALESSANDRA COSTANTINI
LEGA SALVINI PREMIER,FIORENTINO FEBBRARO
LEGA SALVINI PREMIER,RICCARDO LEONE
LEGA SALVINI PREMIER,MICHELE LICATA
LEGA SALVINI PREMIER,FRANCESCO LO TARTARO
LEGA SALVINI PREMIER,ADRIANO LUBRANO
LEGA SALVINI PREMIER,NICOLA MANCINI
LEGA SALVINI PREMIER,FRANCESCO MOSCA
LEGA SALVINI PREMIER,CARLOTTA NICOTERA
LEGA SALVINI PREMIER,GIUSEPPE OCCHIPINTI
LEGA SALVINI PREMIER,FRANCESCA PERUZY
LEGA SALVINI PREMIER,ANTONIO PETRONGOLO
LEGA SALVINI PREMIER,URBANO SALVATORI
LEGA SALVINI PREMIER,ANTONELLA SCARAMUZZINO
LEGA SALVINI PREMIER,CLAUDIA TOMASELLI
LEGA SALVINI PREMIER,URSULA BENEDIKTA TROIANI
LISTA CIVICA MICHETTI SINDACO,ATTILIO ACHILLI
LISTA CIVICA MICHETTI SINDACO,MARIA GABRIELLA BRANNETTI
LISTA CIVICA MICHETTI SINDACO,ROBERTO CALDARA
LISTA CIVICA MICHETTI SINDACO,ANNA CARDELLA
LISTA CIVICA MICHETTI SINDACO,LAURA D'ANNIBALE
LISTA CIVICA MICHETTI SINDACO,FEDERICO DE BENEDICTIS GENNARI
LISTA CIVICA MICHETTI SINDACO,LUCA DI PLACIDO
LISTA CIVICA MICHETTI SINDACO,LUCA EUSEPI
LISTA CIVICA MICHETTI SINDACO,MONICA FIORENTINI
LISTA CIVICA MICHETTI SINDACO,GABRIELE GALLUCCI
LISTA CIVICA MICHETTI SINDACO,MARIO ORABONA
LISTA CIVICA MICHETTI SINDACO,BARBARA PALUCCI
LISTA CIVICA MICHETTI SINDACO,ALESSANDRO PANFILO
LISTA CIVICA MICHETTI SINDACO,RICCARDO SALVI
LISTA CIVICA MICHETTI SINDACO,ANTONINO SPRIZZI
LISTA CIVICA MICHETTI SINDACO,RACHELE TROIANI
LISTA CIVICA MICHETTI SINDACO,MARIA GRAZIA VENEZIANI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,MICHELE ACCETTURO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,SIMONE ATTIANESE
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,DOMENICO BARRECA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LUCA BELLIENI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ANTONELLA BETTI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,SIMONE CANTARINI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,FEDERICA CATENACCI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,CINZIA CERRONE
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ROSANNA CONZ
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,AGOSTINO COSTANTINI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,TITO DE MICHELI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,GIANCARLO FERI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LUCIA FUGGETTA
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,ALESSANDRO GOLIZADEH AKHLAGHI
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,GIORGIO GOMATO
FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LUIGI IAVARONE
