LISTA,CANDIDATO
LIBERISTI ITALIANI,TERESA DEVITO
LIBERISTI ITALIANI,DARIO CACACE
LIBERISTI ITALIANI,DAVIDE CAPERNA
LIBERISTI ITALIANI,DOMENICO GAROLLO
LIBERISTI ITALIANI,PAOLA LEONI
LIBERISTI ITALIANI,MARGARITA GOLOVACHEVA
LIBERISTI ITALIANI,SERGIO MANTO
LIBERISTI ITALIANI,LUCA VISCONTI
LIBERISTI ITALIANI,BARBARA BERNAUDO
LIBERISTI ITALIANI,EMANUELA BONFILI
LIBERISTI ITALIANI,CLAUDIA CANINI
LIBERISTI ITALIANI,CRISTIANA CARDARELLI
LIBERISTI ITALIANI,ANDREA DE ANGELIS
LIBERISTI ITALIANI,FULVIO DIANA
LIBERISTI ITALIANI,MAURO MOSSA
LIBERISTI ITALIANI,CRISTINA SPARVIERI
LIBERISTI ITALIANI,FABIO TIDEI
MOVIMENTO STORICO ROMANO LISTA NERONE,NATALINA BELELLI
MOVIMENTO STORICO ROMANO LISTA NERONE,EMANUELA BONAMORE
MOVIMENTO STORICO ROMANO LISTA NERONE,NICOLETTA BORSEI
MOVIMENTO STORICO ROMANO LISTA NERONE,RENATO BRUNI
MOVIMENTO STORICO ROMANO LISTA NERONE,CARLO CARLI
MOVIMENTO STORICO ROMANO LISTA NERONE,CARMELO CATANZARO
MOVIMENTO STORICO ROMANO LISTA NERONE,GIAMMARINO MAURILIO COLNAGO
MOVIMENTO STORICO ROMANO LISTA NERONE,NAZZARIO LETI MAGGIO
MOVIMENTO STORICO ROMANO LISTA NERONE,VERENA LUTHI
MOVIMENTO STORICO ROMANO LISTA NERONE,FLUTURA MALOKU
MOVIMENTO STORICO ROMANO LISTA NERONE,TOSHKA MARINOVA MARINOVA
MOVIMENTO STORICO ROMANO LISTA NERONE,PIETRO NOTARGIOVANNI
MOVIMENTO STORICO ROMANO LISTA NERONE,MARIA VERONICA OROFINO
MOVIMENTO STORICO ROMANO LISTA NERONE,SERENA PICCOLOMINI
MOVIMENTO STORICO ROMANO LISTA NERONE,ANDREA POLI
MOVIMENTO STORICO ROMANO LISTA NERONE,GIORGIO VITALI
RICONQUISTARE L'ITALIA,NINO DI CICCO
RICONQUISTARE L'ITALIA,GIUSEPPINA LAUDONI
RICONQUISTARE L'ITALIA,PIERFRANCESCO MELFI
RICONQUISTARE L'ITALIA,MARINELLA SALA
RICONQUISTARE L'ITALIA,LUIGI ALTOBELLI
RICONQUISTARE L'ITALIA,ORAZIO FIDERIO
RICONQUISTARE L'ITALIA,PATRIZIA RICCHIUTO
RICONQUISTARE L'ITALIA,MAURIZIO SAVONI
RICONQUISTARE L'ITALIA,LUCA BENNATI
RICONQUISTARE L'ITALIA,RUGGERO MONACO
RICONQUISTARE L'ITALIA,ALESSANDRO CARITA'
RICONQUISTARE L'ITALIA,FRANCESCO MARIA VALERIANI
RICONQUISTARE L'ITALIA,MANUEL BARBA
RICONQUISTARE L'ITALIA,AGATA ANNA GIANNELLI
RICONQUISTARE L'ITALIA,MARIA CRISTIANO
RICONQUISTARE L'ITALIA,ROSA SPADAFORA
RICONQUISTARE L'ITALIA,EMILIANO ALFEDI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,SIMONE DEL BROCCO
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,DANIELA TODARO
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,ALESSIO ABOAF
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,BARBARA VACATELLO
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,GENNARO CONTARDI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,JACQUELINE ROXANA QUIMI CATALAN
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,SIMONE SVELTO
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,ANNA SCUTTI MARCHESANI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,MASSIMO DI GREGORIO
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,NICOLETTA ROSSI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,SERGIO NICOLAMME
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,ALFREDO FAVA
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,ALESSANDRO SERGIO
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,ROSANNA PETRUZZI
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,FABIO MASTELLONE
IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,PATRIZIA FAVA
LISTA CIVICA VIRGINIA RAGGI,PATRIZIA FARRONI
LISTA CIVICA VIRGINIA RAGGI,ALBERTO FRANCIOSI
LISTA CIVICA VIRGINIA RAGGI,LUCILLA MOSCUZZA
LISTA CIVICA VIRGINIA RAGGI,FRANCESCO SARTINI
LISTA CIVICA VIRGINIA RAGGI,ANA CONSTANZA ESCOBAR
LISTA CIVICA VIRGINIA RAGGI,DANIELE BIANCONI
LISTA CIVICA VIRGINIA RAGGI,MARIA ANTONIETTA BLOIS
LISTA CIVICA VIRGINIA RAGGI,MARCELLO GUIDO
LISTA CIVICA VIRGINIA RAGGI,ALBERTO CAVAZZANI
LISTA CIVICA VIRGINIA RAGGI,TANIA VANNUTELLI
LISTA CIVICA VIRGINIA RAGGI,PIETRO CONTI
LISTA CIVICA VIRGINIA RAGGI,LAURA ROSATI
LISTA CIVICA VIRGINIA RAGGI,BARBARA FRANCESCA VARINI
LISTA CIVICA VIRGINIA RAGGI,DAVIDE CARLO MARIA FERRARIS
LISTA CIVICA VIRGINIA RAGGI,ARIANNA RENDINA
LISTA CIVICA VIRGINIA RAGGI,FAUSTO LUIGI CAGGIA
LISTA CIVICA VIRGINIA RAGGI,ANNA CHIARA TORTI
LISTA CIVICA VIRGINIA RAGGI,FRANCESCO CONDELLO
MOVIMENTO CINQUE STELLE 2050,MARINA RITA LOCATELLI
MOVIMENTO CINQUE STELLE 2050,SIMONE SAID ABDEL AZIZ
MOVIMENTO CINQUE STELLE 2050,MARINA BATTISTI
MOVIMENTO CINQUE STELLE 2050,CARLO MASULLO
MOVIMENTO CINQUE STELLE 2050,PATRIZIA PERROTTA
MOVIMENTO CINQUE STELLE 2050,SERGIO IESCONE
MOVIMENTO CINQUE STELLE 2050,RICCARDO MARSELLA
MOVIMENTO CINQUE STELLE 2050,GIANLUCA EGEO LONDEI
MOVIMENTO CINQUE STELLE 2050,ALESSANDRO GINESTRI
MOVIMENTO CINQUE STELLE 2050,ALFIO PETRALIA
MOVIMENTO CINQUE STELLE 2050,GIUSEPPE ROSSIELLO
MOVIMENTO CINQUE STELLE 2050,RIZIERO AGOSTINELLI
MOVIMENTO CINQUE STELLE 2050,PAOLA BARILE
MOVIMENTO CINQUE STELLE 2050,FABRIZIO DADO'
MOVIMENTO CINQUE STELLE 2050,ANTONIO DI PINO
MOVIMENTO CINQUE STELLE 2050,ELENA GIULIA ESPOSITI
MOVIMENTO CINQUE STELLE 2050,MICHELE MIRANTE
MOVIMENTO CINQUE STELLE 2050,CHIARA PETRAGNANI
MOVIMENTO CINQUE STELLE 2050,MARCO INCOGNITO RANDAZZO
MOVIMENTO CINQUE STELLE 2050,FABRIZIO ROMANI
MOVIMENTO CINQUE STELLE 2050,CLELIA TANZARELLA
MOVIMENTO CINQUE STELLE 2050,GILBERTO KALENDA
MOVIMENTO CINQUE STELLE 2050,RAFFAELLA MARIA TIBERI
MOVIMENTO CINQUE STELLE 2050,RITA LUCIA CATERINA TINNIRELLO
CALENDA SINDACO,LIVIA PANDOLFI
CALENDA SINDACO,GIOVANNI PASSALACQUA
CALENDA SINDACO,SILVIA AMBROSIO
CALENDA SINDACO,ALESSANDRO ARISTA
CALENDA SINDACO,CHIARA ATTILI
CALENDA SINDACO,FELICIA BELLONE
CALENDA SINDACO,GIANFRANCO BUSSETI
CALENDA SINDACO,ANDREA CALDERONE
CALENDA SINDACO,MARIA COCCIANTE
CALENDA SINDACO,LUCA COCOCCIA
CALENDA SINDACO,VALERIO D'ANGELI
CALENDA SINDACO,GIANFRANCO D'ARIENZO
CALENDA SINDACO,WALTER FELICIANI
CALENDA SINDACO,MASSIMO GARIBALDI
CALENDA SINDACO,STEFANO LA TORRE
CALENDA SINDACO,STEFANO MASELLI
CALENDA SINDACO,PAOLO PINO
CALENDA SINDACO,ROMAN PASTORE
CALENDA SINDACO,FEDERICO POLELLA
CALENDA SINDACO,ALESSIA SALINETTI
CALENDA SINDACO,LUISA SAULINO
CALENDA SINDACO,MIRKO SOTORINO
CALENDA SINDACO,DEBORA TERENZI
CALENDA SINDACO,ANTONELLO VENEZIANO
REVOLUZIONE CIVICA,DANIELE CHERUBINI
REVOLUZIONE CIVICA,LUCA CASANTINI
REVOLUZIONE CIVICA,VALENTINA CALABRO'
REVOLUZIONE CIVICA,ROBERTO BRANDI
REVOLUZIONE CIVICA,PAOLA RICCARDI
REVOLUZIONE CIVICA,SAMUELE SICA
REVOLUZIONE CIVICA,PATRIZIA RICCIONI
REVOLUZIONE CIVICA,MATTEO MARCHESINI
REVOLUZIONE CIVICA,CLAUDIA MARCELLA FIRMANI
REVOLUZIONE CIVICA,LUCIO MAZZANTI
REVOLUZIONE CIVICA,SIMONE DE COLLIBUS
REVOLUZIONE CIVICA,LIDIA MERLO
REVOLUZIONE CIVICA,ANDREA CHERUBINI
REVOLUZIONE CIVICA,ANDREA PREVITI
REVOLUZIONE CIVICA,SALVATORE MICHELE GUIDA
REVOLUZIONE CIVICA,GERMANA DI PIETRO
REVOLUZIONE CIVICA,NOEMI ARCESE
REVOLUZIONE CIVICA,LUCA FERRAIOLO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ANTONELLA AURORA ARCIULO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,STEFANO ARDIZZONE
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,VIRNA DI MATTEO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,MONICA FEMIA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,FRANCESCO GIRONE
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ENRICO GUTIERREZ TOMASSETTI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,MARIANA LAIOLO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,AMEDEO LONGOBARDI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LUISA LUZZI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,STEFANO MARRARA
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,IDA FELICITA MICHELETTI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,AGNESE ADELE MORETTONI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIANLUCA PECIAROLO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,FRANCESCO PIZZINI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,CRISTIANO RIGGIO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ALESSANDRO RUBINI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,CLAUDIO SPITALERI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LUDOVICA TEDONE
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,MONICA TOMASSONI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,SUSANNA VENANZONI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,ROSSANO ZIZZARI
LISTA CIVICA MICHETTI SINDACO,EMANUELE ASTORINO
LISTA CIVICA MICHETTI SINDACO,ELEONORA ATTENNI
LISTA CIVICA MICHETTI SINDACO,AUGUSTO BONVICINI
LISTA CIVICA MICHETTI SINDACO,MICAELA CECI
LISTA CIVICA MICHETTI SINDACO,FRANCESCA CONSORTI
LISTA CIVICA MICHETTI SINDACO,ANTONIO DE NAPOLI
LISTA CIVICA MICHETTI SINDACO,LUCA GARGIULO
LISTA CIVICA MICHETTI SINDACO,ALESSIA GRIPPO
LISTA CIVICA MICHETTI SINDACO,FRANCESCO INNOCENTI
LISTA CIVICA MICHETTI SINDACO,FEDERICA LONGO
LISTA CIVICA MICHETTI SINDACO,LUIGI MARCELLI
LISTA CIVICA MICHETTI SINDACO,DOMENICO MAZZACUVA
LISTA CIVICA MICHETTI SINDACO,ROBERTO PANFILIO
