SEZIONE,MARIO FALCONI,MONICA PICCA,TOTALE,AFFLUENZA,MUNICIPIO
2009,241.0,216.0,457.0,0.4725956566701138,10
2010,143.0,154.0,297.0,0.31663113006396587,10
2011,97.0,117.0,214.0,0.28609625668449196,10
2012,120.0,135.0,255.0,0.2961672473867596,10
2013,212.0,198.0,410.0,0.47453703703703703,10
2014,138.0,128.0,266.0,0.31220657276995306,10
2015,191.0,152.0,343.0,0.36645299145299143,10
2016,193.0,200.0,393.0,0.31693548387096776,10
2017,260.0,196.0,456.0,0.4537313432835821,10
2018,175.0,146.0,321.0,0.4798206278026906,10
2019,350.0,188.0,538.0,0.5445344129554656,10
2020,198.0,127.0,325.0,0.4231770833333333,10
2021,218.0,164.0,382.0,0.506631299734748,10
2022,192.0,166.0,358.0,0.4525916561314791,10
2023,197.0,184.0,381.0,0.49738903394255873,10
2024,197.0,133.0,330.0,0.4370860927152318,10
2025,244.0,227.0,471.0,0.5192943770672547,10
2026,187.0,183.0,370.0,0.3969957081545064,10
2027,195.0,180.0,375.0,0.4380841121495327,10
2028,238.0,161.0,399.0,0.4618055555555556,10
2029,198.0,143.0,341.0,0.377212389380531,10
2030,119.0,143.0,262.0,0.31153388822829964,10
2031,158.0,234.0,392.0,0.32157506152584087,10
2032,233.0,176.0,409.0,0.33279088689991865,10
2033,232.0,176.0,408.0,0.4088176352705411,10
2034,238.0,225.0,463.0,0.3807565789473684,10
2035,255.0,171.0,426.0,0.47544642857142855,10
2036,316.0,197.0,513.0,0.565600882028666,10
2037,203.0,177.0,380.0,0.4935064935064935,10
2038,183.0,226.0,409.0,0.4642451759364359,10
2039,213.0,149.0,362.0,0.5370919881305638,10
2040,220.0,136.0,356.0,0.5166908563134979,10
2041,165.0,183.0,348.0,0.5321100917431193,10
2042,273.0,209.0,482.0,0.5210810810810811,10
2043,230.0,219.0,449.0,0.4074410163339383,10
2044,210.0,146.0,356.0,0.4564102564102564,10
2045,173.0,233.0,406.0,0.43329775880469584,10
2046,155.0,213.0,368.0,0.3471698113207547,10
2047,161.0,183.0,344.0,0.3269961977186312,10
2048,163.0,182.0,345.0,0.3893905191873589,10
2049,234.0,186.0,420.0,0.45701849836779107,10
2050,247.0,137.0,384.0,0.4085106382978723,10
2051,323.0,210.0,533.0,0.5009398496240601,10
2052,272.0,174.0,446.0,0.43940886699507387,10
2053,243.0,224.0,467.0,0.38884263114071604,10
2054,228.0,233.0,461.0,0.38512949039264827,10
2055,163.0,169.0,332.0,0.3554603854389722,10
2056,167.0,223.0,390.0,0.29839326702371843,10
2185,196.0,178.0,374.0,0.4174107142857143,10
2188,155.0,162.0,317.0,0.3681765389082462,10
2257,224.0,210.0,434.0,0.4033457249070632,10
2515,191.0,273.0,464.0,0.4448705656759348,10
2516,255.0,226.0,481.0,0.38144329896907214,10
2532,266.0,182.0,448.0,0.41947565543071164,10
2536,216.0,150.0,366.0,0.3449575871819039,10
2538,181.0,208.0,389.0,0.3191140278917145,10
2548,232.0,295.0,527.0,0.4985808893093661,10
2552,236.0,216.0,452.0,0.45841784989858014,10
2556,175.0,232.0,407.0,0.330625507717303,10
2560,226.0,252.0,478.0,0.3763779527559055,10
2591,15.0,14.0,29.0,,10
2603,2.0,2.0,4.0,,10
