SEZIONE,ENRICO MICHETTI,ROSARIO TREFILETTI,LUCA TEODORI,VIRGINIA RAGGI,FRANCESCO GRISOLIA,CRISTINA CIRILLO,FABRIZIO MARRAZZO,MARGHERITA CORRADO,GIAN LUCA GISMONDI,PAOLO BERDINI,GIUSEPPE CIRILLO,PAOLO ORONZO MAGLI,FABIOLA CENCIOTTI,ROBERTO GUALTIERI,CARLO CALENDA,MICAELA QUINTAVALLE,ELISABETTA CANITANO,CARLO PRIOLO,SERGIO IACOMONI,MONICA LOZZI,GILBERTO TROMBETTA,ANDREA BERNAUDO,TOTALE,AFFLUENZA
140,87,0,3,45,0,1,3,0,0,0,0,0,0,190,247,1,6,0,0,1,1,0,585,0.639344262295082
141,125,2,4,51,0,0,2,0,0,2,0,0,1,208,245,1,2,0,0,0,2,0,645,0.6649484536082474
142,95,5,5,24,0,1,0,0,0,8,0,1,0,180,261,1,1,0,0,1,0,0,583,0.6463414634146342
143,142,0,1,32,0,0,0,0,0,1,0,0,3,123,263,1,2,0,0,0,1,0,569,0.6473265073947668
144,137,0,2,64,0,0,1,0,1,2,0,0,2,199,273,1,2,0,0,0,0,0,684,0.6477272727272727
145,105,0,1,34,0,0,0,0,0,0,0,0,2,141,202,1,0,0,0,2,0,0,488,0.6115288220551378
146,165,3,2,43,0,1,0,1,0,0,0,0,1,138,224,1,1,0,0,0,0,1,581,0.6207264957264957
147,151,1,2,58,0,4,2,0,0,1,0,0,0,191,203,3,3,0,0,0,0,0,619,0.640124095139607
148,151,1,2,36,1,1,2,0,1,2,0,0,0,151,198,1,6,2,1,1,1,0,558,0.6186252771618626
149,138,0,0,57,0,1,0,1,1,0,0,0,1,152,145,2,4,0,1,0,1,1,505,0.5592469545957918
150,155,0,1,62,0,0,0,0,0,1,0,0,2,161,235,0,3,0,2,0,1,1,624,0.624
151,158,3,1,37,0,0,0,0,2,2,1,0,0,230,320,1,2,0,0,0,0,1,758,0.7212178877259753
152,171,0,2,64,0,0,0,0,0,4,0,0,0,168,162,0,2,0,2,0,0,6,581,0.6083769633507854
153,100,0,4,75,0,1,0,0,0,1,0,0,2,120,239,3,2,0,1,0,1,0,549,0.5865384615384616
154,131,0,2,49,1,1,0,0,0,2,0,0,1,132,178,1,1,0,0,0,0,0,499,0.6183395291201983
155,144,0,2,51,0,0,0,0,0,1,1,0,0,153,221,0,1,0,0,0,3,1,578,0.6400885935769657
156,128,0,2,60,0,1,2,0,1,4,0,0,0,168,198,3,3,0,1,0,0,0,571,0.6166306695464363
157,152,1,0,48,0,3,0,0,0,5,0,0,0,118,121,4,3,0,1,0,0,4,460,0.5010893246187363
158,92,0,3,59,0,2,0,1,1,4,0,0,0,129,150,2,3,0,0,0,0,0,446,0.5837696335078534
159,165,1,0,51,0,1,1,0,0,1,0,0,5,116,159,0,1,0,1,1,0,1,504,0.6050420168067226
160,130,0,1,54,0,0,0,0,0,2,0,0,1,147,169,1,0,0,0,0,1,1,507,0.5565312843029637
161,132,0,2,42,1,0,0,0,0,1,0,0,0,135,122,0,0,0,0,0,1,0,436,0.5518987341772152
162,83,0,0,52,0,0,1,0,0,1,0,0,2,148,104,2,4,0,0,0,0,1,398,0.5967016491754122
163,109,0,1,75,0,1,2,0,0,2,0,1,0,144,124,0,2,0,2,2,2,2,469,0.5623501199040767
164,131,2,3,56,0,2,0,0,1,3,0,0,1,130,121,2,2,1,0,0,0,1,456,0.5290023201856149
165,154,0,4,66,0,0,2,0,1,3,1,0,0,192,176,4,3,0,0,0,0,0,606,0.617737003058104
166,88,11,2,55,0,1,0,0,0,2,0,0,1,159,174,0,2,0,1,2,0,0,498,0.6051032806804374
167,131,3,5,46,0,2,0,0,0,2,1,0,0,139,171,1,3,0,3,0,1,0,508,0.6105769230769231
168,138,2,2,39,0,0,1,0,0,0,0,0,1,122,125,2,3,0,0,1,0,1,437,0.556687898089172
169,139,1,2,36,0,3,1,0,0,1,0,0,0,173,190,5,2,0,1,1,1,2,558,0.6172566371681416
170,145,0,1,51,0,0,0,0,0,1,0,0,2,167,267,1,6,0,0,2,0,1,644,0.6666666666666666
171,128,1,0,36,0,0,0,0,1,0,0,0,0,177,198,2,3,0,0,0,0,0,546,0.6046511627906976
172,25,0,3,28,0,0,0,0,0,0,0,0,0,43,14,1,0,0,0,0,0,0,114,0.5302325581395348
173,132,1,5,68,2,0,2,0,0,3,0,0,0,132,100,2,3,0,0,2,0,0,452,0.5044642857142857
