SEZIONE,MASSIMILIANO DE JULIIS,TERESA MARIA DI SALVO,TOTALE,AFFLUENZA,MUNICIPIO
1647,71.0,143.0,214.0,0.46120689655172414,9
1648,151.0,248.0,399.0,0.5355704697986577,9
1649,155.0,256.0,411.0,0.49399038461538464,9
1650,142.0,267.0,409.0,0.4993894993894994,9
1651,147.0,302.0,449.0,0.46917450365726227,9
1652,227.0,368.0,595.0,0.5260831122900088,9
1653,200.0,334.0,534.0,0.5110047846889952,9
1654,114.0,147.0,261.0,0.4660714285714286,9
1655,126.0,275.0,401.0,0.5949554896142433,9
1656,128.0,203.0,331.0,0.48533724340175954,9
1657,119.0,179.0,298.0,0.4263233190271817,9
1658,144.0,261.0,405.0,0.5886627906976745,9
1659,135.0,188.0,323.0,0.4785185185185185,9
1660,108.0,158.0,266.0,0.48717948717948717,9
1661,116.0,177.0,293.0,0.5149384885764499,9
1662,124.0,188.0,312.0,0.49445324881141045,9
1663,123.0,164.0,287.0,0.5304990757855823,9
1664,163.0,252.0,415.0,0.5563002680965148,9
1665,116.0,225.0,341.0,0.5599343185550082,9
1666,126.0,196.0,322.0,0.5111111111111111,9
1667,128.0,182.0,310.0,0.4434907010014306,9
1668,192.0,292.0,484.0,0.42050390964378803,9
1669,195.0,265.0,460.0,0.5043859649122807,9
1670,132.0,157.0,289.0,0.3948087431693989,9
1671,100.0,195.0,295.0,0.5166374781085814,9
1672,112.0,173.0,285.0,0.5135135135135135,9
1673,67.0,114.0,181.0,0.401330376940133,9
1674,125.0,194.0,319.0,0.44060773480662985,9
1675,112.0,153.0,265.0,0.4121306376360809,9
1676,96.0,120.0,216.0,0.4114285714285714,9
1677,201.0,234.0,435.0,0.4904171364148816,9
1678,156.0,313.0,469.0,0.48854166666666665,9
1679,97.0,233.0,330.0,0.5069124423963134,9
1680,104.0,138.0,242.0,0.38596491228070173,9
1681,107.0,107.0,214.0,0.28763440860215056,9
1682,104.0,217.0,321.0,0.49233128834355827,9
1683,145.0,177.0,322.0,0.39851485148514854,9
1684,116.0,113.0,229.0,0.3045212765957447,9
1685,137.0,204.0,341.0,0.4040284360189573,9
1686,120.0,280.0,400.0,0.5673758865248227,9
1687,167.0,327.0,494.0,0.5375408052230686,9
1688,231.0,151.0,382.0,0.4860050890585242,9
1689,152.0,150.0,302.0,0.34872979214780603,9
1690,170.0,288.0,458.0,0.5175141242937853,9
1691,124.0,251.0,375.0,0.5605381165919282,9
1692,154.0,294.0,448.0,0.49393605292171994,9
1693,231.0,281.0,512.0,0.5156092648539778,9
1694,169.0,204.0,373.0,0.5246132208157525,9
1695,102.0,176.0,278.0,0.4793103448275862,9
1696,169.0,224.0,393.0,0.4918648310387985,9
1697,191.0,245.0,436.0,0.5005740528128588,9
1698,14.0,9.0,23.0,0.107981220657277,9
1973,228.0,317.0,545.0,0.5255544840887174,9
1974,153.0,217.0,370.0,0.42824074074074076,9
1975,170.0,270.0,440.0,0.4386839481555334,9
1976,140.0,240.0,380.0,0.4318181818181818,9
1977,167.0,195.0,362.0,0.45591939546599497,9
1978,189.0,278.0,467.0,0.47604485219164117,9
2511,159.0,149.0,308.0,0.5057471264367817,9
2513,162.0,144.0,306.0,0.44028776978417267,9
2514,273.0,314.0,587.0,0.515817223198594,9
2528,262.0,249.0,511.0,0.4995112414467253,9
2529,238.0,296.0,534.0,0.6095890410958904,9
2546,241.0,273.0,514.0,0.5580890336590663,9
2561,135.0,246.0,381.0,0.381,9
2566,235.0,322.0,557.0,0.5059037238873751,9
2579,2.0,11.0,13.0,,9
2584,2.0,10.0,12.0,,9
2585,1.0,2.0,3.0,,9
