SEZIONE,FRANCESCO LADDAGA,LUIGI AVVEDUTO,TOTALE,AFFLUENZA,MUNICIPIO
1044,152,96,248,0.33649932157394846,7
1045,159,94,253,0.34705075445816186,7
1046,154,88,242,0.38351822503961963,7
1047,165,93,258,0.3932926829268293,7
1048,142,108,250,0.36075036075036077,7
1049,184,102,286,0.4393241167434716,7
1050,201,105,306,0.4935483870967742,7
1051,160,111,271,0.4342948717948718,7
1052,195,99,294,0.4362017804154303,7
1053,156,106,262,0.3700564971751412,7
1054,185,133,318,0.4076923076923077,7
1055,182,131,313,0.4007682458386684,7
1056,186,108,294,0.3466981132075472,7
1057,132,76,208,0.4306418219461698,7
1058,269,137,406,0.4816132858837485,7
1060,273,121,394,0.43973214285714285,7
1061,168,133,301,0.38939197930142305,7
1062,177,105,282,0.3337278106508876,7
1063,211,116,327,0.40977443609022557,7
1064,262,119,381,0.49609375,7
1065,242,103,345,0.46433378196500674,7
1066,283,171,454,0.5089686098654709,7
1067,256,110,366,0.480946123521682,7
1068,144,79,223,0.46265560165975106,7
1069,180,98,278,0.44126984126984126,7
1070,69,82,151,0.2903846153846154,7
1071,200,141,341,0.41183574879227053,7
1072,304,140,444,0.5144843568945539,7
1073,77,63,140,0.25594149908592323,7
1076,252,161,413,0.4375,7
1077,290,144,434,0.4827586206896552,7
1078,189,107,296,0.46984126984126984,7
1079,197,118,315,0.3977272727272727,7
1080,169,110,279,0.3595360824742268,7
1081,147,99,246,0.44324324324324327,7
1082,210,123,333,0.5123076923076924,7
1083,179,88,267,0.37980085348506404,7
1084,91,102,193,0.2859259259259259,7
1085,174,140,314,0.4120734908136483,7
1086,126,124,250,0.43327556325823224,7
1087,205,145,350,0.44136191677175285,7
1088,140,119,259,0.3781021897810219,7
1089,104,117,221,0.32985074626865674,7
1091,194,105,299,0.45718654434250766,7
1092,180,106,286,0.44617784711388453,7
1093,249,116,365,0.5383480825958702,7
1094,256,117,373,0.4953519256308101,7
1095,330,116,446,0.4759871931696905,7
1096,254,141,395,0.4535017221584386,7
1097,225,96,321,0.48710166919575115,7
1098,273,147,420,0.519159456118665,7
1099,250,135,385,0.5317679558011049,7
1100,309,143,452,0.48549946294307195,7
1101,163,114,277,0.4851138353765324,7
1102,303,109,412,0.44929116684841874,7
1103,289,157,446,0.5540372670807453,7
1104,299,161,460,0.5330243337195828,7
1105,300,130,430,0.5218446601941747,7
1106,210,108,318,0.4690265486725664,7
1107,248,133,381,0.48166877370417194,7
1108,198,102,300,0.4702194357366771,7
1109,231,91,322,0.5218800648298217,7
1110,258,158,416,0.4988009592326139,7
1111,228,112,340,0.49926578560939794,7
1112,300,216,516,0.5124131082423039,7
1113,207,163,370,0.49731182795698925,7
1114,246,154,400,0.43478260869565216,7
1115,241,92,333,0.3872093023255814,7
1116,216,122,338,0.4794326241134752,7
1117,268,99,367,0.49527665317139,7
1118,191,132,323,0.39246658566221143,7
1119,236,137,373,0.5088676671214188,7
1120,157,112,269,0.4075757575757576,7
1121,227,108,335,0.5491803278688525,7
1122,141,98,239,0.4742063492063492,7
1123,244,159,403,0.49146341463414633,7
1124,247,167,414,0.4830805134189031,7
1125,253,163,416,0.4388185654008439,7
1126,191,183,374,0.4202247191011236,7
1136,257,169,426,0.4329268292682927,7
1137,242,168,410,0.46223224351747466,7
1138,258,167,425,0.4579741379310345,7
1139,219,100,319,0.47050147492625366,7
1140,172,112,284,0.38430311231393777,7
1141,225,117,342,0.44129032258064516,7
1142,158,108,266,0.36944444444444446,7
1143,218,135,353,0.4508301404853129,7
1144,267,160,427,0.4728682170542636,7
1145,195,107,302,0.5373665480427047,7
1146,187,98,285,0.4391371340523883,7
1147,155,114,269,0.4381107491856677,7
1148,259,128,387,0.4690909090909091,7
1149,168,96,264,0.40993788819875776,7
1150,254,102,356,0.4203069657615112,7
1151,222,119,341,0.41585365853658535,7
1152,295,191,486,0.4438356164383562,7
1153,264,186,450,0.389948006932409,7
1154,148,135,283,0.3389221556886228,7
1155,167,196,363,0.3129310344827586,7
1156,190,215,405,0.3886756238003839,7
1157,178,122,300,0.3618817852834741,7
1158,264,165,429,0.4054820415879017,7
1159,229,185,414,0.476409666283084,7
1160,263,193,456,0.3784232365145228,7
1161,244,239,483,0.4052013422818792,7
1162,298,162,460,0.3868797308662742,7
1163,163,101,264,0.36213991769547327,7
1164,275,138,413,0.47856315179606024,7
1165,214,159,373,0.38335046248715315,7
1166,205,214,419,0.39158878504672895,7
1167,199,131,330,0.4225352112676056,7
1168,244,175,419,0.39195509822263797,7
1169,205,205,410,0.4320337197049526,7
1170,228,162,390,0.4083769633507853,7
1171,202,156,358,0.3729166666666667,7
1172,223,169,392,0.4139387539598733,7
1173,205,177,382,0.38742393509127787,7
1174,193,134,327,0.3678290213723285,7
1175,188,131,319,0.43342391304347827,7
1176,163,129,292,0.48344370860927155,7
1177,204,182,386,0.4132762312633833,7
1178,191,117,308,0.3688622754491018,7
1179,184,106,290,0.38821954484605087,7
1180,195,130,325,0.4298941798941799,7
1181,149,111,260,0.48598130841121495,7
1182,178,100,278,0.4784853700516351,7
1183,185,138,323,0.4430727023319616,7
1184,169,153,322,0.4214659685863874,7
1185,246,189,435,0.47540983606557374,7
1186,169,142,311,0.33085106382978724,7
1187,195,187,382,0.3843058350100604,7
1188,186,187,373,0.3653281096963761,7
1189,175,132,307,0.31135902636916835,7
1190,198,170,368,0.3455399061032864,7
